Inference for Stan model: anon_model_33166e5bedadc9ad4e0a4c977d02af81.
4 chains, each with iter=12000; warmup=6000; thin=1; 
post-warmup draws per chain=6000, total post-warmup draws=24000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]            4.98  3.7e-4 8.5e-3   4.97   4.98   4.98   4.99    5.0  530.0   1.01
dnu[2]            4.63  4.6e-4 8.5e-3   4.61   4.62   4.63   4.63   4.64  343.0   1.02
dnu[3]            4.07  2.6e-3   0.03    4.0   4.05   4.07   4.09   4.13  166.0   1.02
dnu[4]            4.91  5.0e-4 9.8e-3   4.89    4.9   4.91   4.92   4.93  379.0   1.01
dnu[5]             5.9  3.1e-4 6.5e-3   5.88   5.89    5.9    5.9   5.91  434.0   1.02
dnu[6]            5.23  6.8e-4   0.01    5.2   5.22   5.23   5.24   5.26  396.0   1.01
dnu[7]            6.47  3.5e-4 7.8e-3   6.45   6.46   6.47   6.47   6.48  502.0   1.01
dnu[8]            5.69  8.0e-4   0.01   5.66   5.68   5.69    5.7   5.71  286.0   1.01
dnu[9]            5.62  3.2e-4 6.6e-3   5.61   5.62   5.62   5.63   5.64  416.0   1.01
dnu[10]            5.4  4.3e-4 8.0e-3   5.39    5.4    5.4   5.41   5.42  349.0   1.01
dnu[11]           4.58  3.6e-4 8.6e-3   4.56   4.58   4.58   4.59    4.6  577.0    1.0
dnu[12]           5.14  2.7e-4 6.7e-3   5.13   5.13   5.14   5.14   5.15  601.0    1.0
dnu[13]            6.7  2.2e-4 5.3e-3   6.69   6.69    6.7    6.7   6.71  557.0    1.0
dnu[14]           4.84  2.2e-4 4.9e-3   4.83   4.84   4.84   4.85   4.85  490.0   1.01
dnu[15]           4.58  4.7e-4 8.8e-3   4.56   4.58   4.58   4.59    4.6  355.0   1.02
dnu[16]            5.2  3.2e-4 6.4e-3   5.19    5.2    5.2   5.21   5.21  388.0   1.01
dnu[17]           4.61  4.5e-4 7.1e-3   4.59    4.6   4.61   4.61   4.62  252.0   1.01
dnu[18]           6.15  4.5e-4 8.3e-3   6.13   6.14   6.15   6.15   6.16  333.0   1.01
dnu[19]           8.34  6.3e-4 8.8e-3   8.32   8.33   8.34   8.34   8.36  198.0   1.04
dnu[20]           7.03  3.5e-4 7.7e-3   7.01   7.02   7.03   7.03   7.04  470.0   1.01
dnu[21]           6.08  4.0e-4 8.5e-3   6.06   6.08   6.08   6.09    6.1  458.0   1.01
dnu[22]           5.02  4.2e-4 8.3e-3   5.01   5.02   5.02   5.03   5.04  396.0   1.01
dnu[23]           7.23  5.1e-4 9.2e-3   7.21   7.22   7.23   7.23   7.24  326.0   1.01
dnu[24]           5.97  4.6e-4   0.01   5.95   5.96   5.97   5.98   5.99  503.0   1.01
dnu[25]           4.83  3.1e-4 7.2e-3   4.82   4.83   4.83   4.84   4.85  541.0   1.01
dnu[26]           5.35  2.7e-4 6.0e-3   5.34   5.34   5.35   5.35   5.36  482.0    1.0
dnu[27]           5.78  2.4e-4 5.5e-3   5.77   5.77   5.78   5.78   5.79  534.0   1.01
dnu[28]           4.73  5.2e-4 9.1e-3   4.71   4.72   4.73   4.74   4.75  300.0   1.01
dnu[29]           6.98  2.4e-4 5.5e-3   6.97   6.98   6.98   6.99    7.0  557.0   1.01
dnu[30]           4.75  2.8e-4 6.3e-3   4.74   4.75   4.75   4.76   4.76  491.0   1.01
dnu[31]           4.81  4.5e-4 9.6e-3   4.79    4.8   4.81   4.81   4.83  451.0   1.01
dnu[32]           4.75  3.5e-4 7.1e-3   4.73   4.74   4.75   4.75   4.76  405.0   1.01
dnu[33]           4.63  3.4e-4 6.7e-3   4.62   4.63   4.63   4.63   4.64  375.0   1.01
dnu[34]           4.96  4.0e-4 7.5e-3   4.94   4.95   4.96   4.96   4.97  356.0   1.01
dnu[35]           6.65  6.7e-4   0.01   6.63   6.64   6.65   6.65   6.67  276.0   1.02
dnu[36]           4.73  4.2e-4 9.1e-3   4.71   4.72   4.73   4.74   4.75  462.0    1.0
dnu[37]           5.27  3.8e-4 7.3e-3   5.26   5.27   5.27   5.28   5.29  370.0   1.02
