Inference for Stan model: anon_model_6164d8efe974107dc2b96f1559771960.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]            5.62  1.4e-4 4.1e-3   5.61   5.62   5.62   5.62   5.63  901.0    1.0
dnu[2]            4.65  1.3e-4 3.8e-3   4.64   4.64   4.65   4.65   4.65  795.0    1.0
dnu[3]            5.28  1.6e-4 4.8e-3   5.27   5.27   5.28   5.28   5.29  922.0    1.0
dnu[4]            5.92  1.8e-4 5.0e-3   5.91   5.92   5.92   5.93   5.93  749.0    1.0
dnu[5]            8.32  2.4e-4 6.0e-3   8.31   8.31   8.32   8.32   8.33  625.0   1.01
dnu[6]            8.71  2.9e-4 8.4e-3   8.69    8.7   8.71   8.71   8.72  842.0   1.01
dnu[7]            7.34  1.9e-4 5.5e-3   7.33   7.33   7.34   7.34   7.35  832.0    1.0
dnu[8]            4.75  1.3e-4 4.1e-3   4.74   4.75   4.75   4.75   4.76 1062.0    1.0
dnu[9]            6.47  1.9e-4 5.4e-3   6.46   6.47   6.47   6.48   6.48  830.0    1.0
dnu[10]           4.73  1.4e-4 4.1e-3   4.72   4.73   4.73   4.74   4.74  824.0   1.01
dnu[11]           5.28  1.5e-4 4.2e-3   5.27   5.27   5.28   5.28   5.28  810.0    1.0
dnu[12]           8.32  2.6e-4 6.3e-3   8.31   8.32   8.32   8.32   8.33  612.0   1.01
dnu[13]            5.9  2.2e-4 5.0e-3   5.89    5.9    5.9    5.9   5.91  542.0   1.01
dnu[14]           4.84  1.4e-4 4.2e-3   4.84   4.84   4.84   4.85   4.85  846.0   1.01
dnu[15]           4.63  1.5e-4 4.1e-3   4.62   4.62   4.63   4.63   4.64  758.0   1.01
dnu[16]           4.76  1.3e-4 4.0e-3   4.75   4.75   4.76   4.76   4.76 1018.0    1.0
dnu[17]           5.66  1.5e-4 4.2e-3   5.65   5.65   5.66   5.66   5.67  820.0   1.01
dnu[18]           8.19  1.4e-4 4.7e-3   8.18   8.19   8.19   8.19    8.2 1076.0    1.0
dnu[19]           7.86  2.2e-4 5.5e-3   7.85   7.86   7.86   7.87   7.87  626.0   1.01
dnu[20]           4.64  1.3e-4 4.0e-3   4.63   4.63   4.64   4.64   4.64  995.0    1.0
dnu[21]           5.31  1.5e-4 4.5e-3    5.3   5.31   5.31   5.31   5.32  959.0    1.0
dnu[22]           4.79  1.3e-4 4.1e-3   4.79   4.79   4.79    4.8    4.8  921.0   1.01
dnu[23]           6.05  1.5e-4 4.7e-3   6.04   6.05   6.05   6.05   6.06  930.0    1.0
dnu[24]           4.18  1.6e-4 3.8e-3   4.18   4.18   4.18   4.19   4.19  580.0   1.02
dnu[25]           3.97  1.3e-4 3.9e-3   3.96   3.96   3.97   3.97   3.98  943.0   1.01
dnu[26]           6.14  1.9e-4 5.9e-3   6.13   6.14   6.14   6.15   6.16  947.0   1.01
dnu[27]           8.47  2.3e-4 8.0e-3   8.46   8.47   8.47   8.48   8.49 1222.0   1.01
dnu[28]           4.62  1.4e-4 4.2e-3   4.61   4.62   4.62   4.62   4.63  957.0   1.01
dnu[29]           6.36  1.9e-4 4.8e-3   6.35   6.36   6.36   6.36   6.37  635.0   1.01
dnu[30]           4.95  1.4e-4 4.1e-3   4.94   4.94   4.95   4.95   4.96  927.0   1.01
dnu[31]           5.04  1.3e-4 4.4e-3   5.03   5.03   5.04   5.04   5.04 1083.0    1.0
dnu[32]           5.76  1.3e-4 4.1e-3   5.75   5.76   5.76   5.76   5.77  951.0    1.0
