Inference for Stan model: anon_model_fa67fac1b2e90eb68958b740c95db37f.
4 chains, each with iter=60000; warmup=30000; thin=1; 
post-warmup draws per chain=30000, total post-warmup draws=120000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]        4.99  2.3e-4 9.5e-3   4.97   4.98   4.99   4.99   5.01 1653.0    1.0
dnu[2]        4.63  2.3e-4 8.4e-3   4.61   4.62   4.63   4.63   4.64 1307.0   1.01
dnu[3]        4.33  1.3e-3   0.04   4.25    4.3   4.33   4.35    4.4  801.0   1.01
dnu[4]        4.91  2.6e-4 9.7e-3   4.89    4.9   4.91   4.92   4.93 1399.0    1.0
dnu[5]         5.9  1.4e-4 6.6e-3   5.88   5.89    5.9    5.9   5.91 2151.0    1.0
dnu[6]        5.23  4.8e-4   0.02    5.2   5.22   5.23   5.24   5.26 1019.0    1.0
dnu[7]        6.46  2.0e-4 7.9e-3   6.45   6.46   6.46   6.47   6.48 1624.0    1.0
dnu[8]        5.69  5.9e-4   0.02   5.66   5.68   5.69    5.7   5.72  728.0   1.01
dnu[9]        5.63  2.4e-4 7.9e-3   5.62   5.63   5.63   5.64   5.65 1044.0   1.01
dnu[10]        5.4  2.0e-4 8.0e-3   5.39    5.4    5.4   5.41   5.42 1553.0    1.0
dnu[11]       4.58  2.1e-4 8.7e-3   4.57   4.58   4.58   4.59    4.6 1664.0    1.0
dnu[12]       5.14  1.4e-4 6.6e-3   5.12   5.13   5.14   5.14   5.15 2240.0    1.0
dnu[13]        6.7  1.3e-4 5.5e-3   6.69   6.69    6.7    6.7   6.71 1735.0    1.0
dnu[14]       4.85  1.6e-4 5.5e-3   4.84   4.85   4.85   4.85   4.86 1210.0   1.01
dnu[15]       4.58  2.1e-4 8.7e-3   4.57   4.58   4.58   4.59    4.6 1737.0    1.0
dnu[16]        5.2  1.5e-4 6.4e-3   5.19    5.2    5.2    5.2   5.21 1969.0    1.0
dnu[17]       4.61  2.7e-4 8.3e-3    4.6   4.61   4.61   4.62   4.63  971.0    1.0
dnu[18]       6.14  1.9e-4 7.1e-3   6.12   6.13   6.14   6.14   6.15 1365.0    1.0
dnu[19]       8.32  2.0e-4 7.4e-3   8.31   8.32   8.32   8.33   8.34 1395.0    1.0
dnu[20]       7.02  2.1e-4 8.3e-3   7.01   7.02   7.02   7.03   7.04 1549.0    1.0
dnu[21]       6.08  1.7e-4 8.0e-3   6.07   6.08   6.08   6.09    6.1 2091.0    1.0
dnu[22]       5.02  1.8e-4 8.0e-3   5.01   5.02   5.02   5.03   5.04 1965.0    1.0
dnu[23]       7.23  2.7e-4 9.6e-3   7.21   7.22   7.23   7.23   7.25 1233.0    1.0
dnu[24]       5.97  2.9e-4   0.01   5.95   5.96   5.97   5.98   5.99 1370.0    1.0
dnu[25]       4.84  2.0e-4 7.7e-3   4.82   4.83   4.84   4.84   4.85 1481.0    1.0
dnu[26]       5.35  1.5e-4 6.2e-3   5.34   5.34   5.35   5.35   5.36 1755.0    1.0
dnu[27]       5.78  1.4e-4 5.6e-3   5.77   5.77   5.78   5.78   5.79 1636.0    1.0
dnu[28]       4.73  2.6e-4 9.2e-3   4.71   4.72   4.73   4.73   4.75 1247.0    1.0
dnu[29]       6.98  1.1e-4 5.2e-3   6.97   6.98   6.98   6.99    7.0 2326.0    1.0
