Inference for Stan model: anon_model_fcf36ecb9c937b17a466d4b2d8d7eb83.
4 chains, each with iter=180000; warmup=90000; thin=1; 
post-warmup draws per chain=90000, total post-warmup draws=360000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]        5.64  4.5e-5 4.5e-3   5.64   5.64   5.64   5.65   5.65  10149    1.0
dnu[2]        4.66  4.0e-5 4.0e-3   4.66   4.66   4.66   4.67   4.67  10374    1.0
dnu[3]        5.29  4.8e-5 4.9e-3   5.28   5.29   5.29    5.3    5.3  10335    1.0
dnu[4]        5.93  6.1e-5 6.0e-3   5.92   5.93   5.93   5.94   5.95 9869.0    1.0
dnu[5]        8.32  8.3e-5 8.6e-3    8.3   8.31   8.32   8.33   8.34  10701    1.0
dnu[6]        8.71  8.6e-5 8.8e-3   8.69   8.71   8.71   8.72   8.73  10452    1.0
dnu[7]        7.37  5.6e-5 5.9e-3   7.36   7.37   7.37   7.38   7.38  10949    1.0
dnu[8]        4.76  4.1e-5 4.5e-3   4.75   4.76   4.76   4.76   4.77  12066    1.0
dnu[9]         6.5  5.6e-5 5.5e-3   6.49   6.49    6.5    6.5   6.51 9712.0    1.0
dnu[10]       4.75  4.5e-5 4.6e-3   4.74   4.74   4.75   4.75   4.76  10139    1.0
dnu[11]        5.3  4.4e-5 4.4e-3   5.29   5.29    5.3    5.3   5.31  10407    1.0
dnu[12]       8.36  6.4e-5 6.6e-3   8.35   8.36   8.36   8.37   8.38  10645    1.0
dnu[13]       5.91  5.7e-5 5.7e-3    5.9   5.91   5.91   5.92   5.93  10107    1.0
dnu[14]       4.85  4.9e-5 4.9e-3   4.84   4.85   4.85   4.86   4.86 9929.0    1.0
dnu[15]       4.63  2.9e-3 6.5e-3   4.62   4.63   4.63   4.64   4.64    5.0   1.38
dnu[16]       4.77  3.9e-5 4.1e-3   4.76   4.77   4.77   4.78   4.78  11375    1.0
dnu[17]       5.68  4.7e-5 4.6e-3   5.67   5.68   5.68   5.69   5.69 9530.0    1.0
dnu[18]       8.25  5.5e-5 5.6e-3   8.23   8.24   8.25   8.25   8.26  10249    1.0
dnu[19]       7.91  6.7e-5 6.3e-3    7.9   7.91   7.91   7.92   7.92 9068.0    1.0
dnu[20]       4.65  4.0e-5 4.3e-3   4.64   4.65   4.65   4.65   4.66  11321    1.0
dnu[21]       5.32  5.1e-5 5.3e-3   5.31   5.32   5.32   5.32   5.33  10664    1.0
dnu[22]       4.81  3.7e-5 4.1e-3    4.8   4.81   4.81   4.81   4.82  12050    1.0
dnu[23]       6.08  4.9e-5 5.0e-3   6.07   6.07   6.08   6.08   6.09  10299    1.0
dnu[24]       4.19  8.2e-4 4.4e-3   4.18   4.18   4.19   4.19   4.19   28.0   1.05
dnu[25]       3.97  3.5e-5 3.9e-3   3.96   3.96   3.97   3.97   3.98  12656    1.0
dnu[26]       6.15  6.1e-5 6.1e-3   6.13   6.14   6.15   6.15   6.16  10108    1.0
dnu[27]       8.48  7.5e-5 8.4e-3   8.46   8.47   8.48   8.48   8.49  12530    1.0
dnu[28]       4.63  4.2e-5 4.4e-3   4.62   4.63   4.63   4.63   4.64  11030    1.0
dnu[29]       6.39  5.2e-5 5.1e-3   6.38   6.39   6.39    6.4    6.4 9819.0    1.0
dnu[30]       4.96  4.2e-5 4.4e-3   4.95   4.96   4.96   4.97   4.97  10494    1.0
dnu[31]       5.04  4.8e-5 5.0e-3   5.03   5.04   5.04   5.05   5.05  10908    1.0
dnu[32]       5.78  4.2e-5 4.2e-3   5.78   5.78   5.78   5.79   5.79 9607.0    1.0
dnu[33]       4.97  4.9e-5 5.0e-3   4.96   4.97   4.97   4.98   4.98  10079    1.0
dnu[34]       8.88  6.4e-5 5.9e-3   8.87   8.87   8.88   8.88   8.89 8532.0    1.0
dnu[35]       5.68  4.4e-5 4.5e-3   5.67   5.68   5.68   5.68   5.69  10620    1.0
dnu[36]       5.91  5.2e-5 5.3e-3    5.9   5.91   5.91   5.92   5.92  10545    1.0
dnu[37]       5.22  1.6e-4 5.5e-3   5.21   5.22   5.22   5.23   5.23 1183.0    1.0
dnu[38]       5.62  4.5e-5 4.8e-3   5.61   5.62   5.62   5.62   5.63  11021    1.0
dnu[39]       5.86  4.4e-5 4.7e-3   5.85   5.86   5.86   5.87   5.87  11426    1.0
dnu[40]       7.47  8.3e-3   0.01   7.44   7.46   7.48   7.48   7.49    3.0   1.86
dnu[41]       6.08  5.2e-5 5.2e-3   6.07   6.08   6.08   6.09   6.09  10095    1.0
dnu[42]       6.08  5.1e-5 5.2e-3   6.07   6.08   6.08   6.09   6.09  10161    1.0
dnu[43]       5.78  5.0e-5 5.1e-3   5.77   5.77   5.78   5.78   5.79  10154    1.0
dnu[44]       5.61  4.7e-5 4.7e-3    5.6   5.61   5.61   5.62   5.62  10097    1.0
dnu[45]        5.0  4.3e-5 4.4e-3   4.99   4.99    5.0    5.0    5.0  10775    1.0
dnu[46]       6.03  5.0e-5 5.0e-3   6.02   6.03   6.03   6.04   6.04 9877.0    1.0
dnu[47]       6.15  5.0e-5 5.2e-3   6.14   6.15   6.15   6.16   6.16  10680    1.0
dnu[48]       6.81  5.3e-5 5.1e-3    6.8   6.81   6.81   6.81   6.82 8964.0    1.0
dnu[49]       4.89  4.6e-5 4.7e-3   4.88   4.89   4.89    4.9    4.9  10380    1.0
dnu[50]       5.27  5.0e-5 5.2e-3   5.26   5.26   5.27   5.27   5.28  10684    1.0
numax[1]     58.92  4.0e-3   0.35  58.25  58.69  58.92  59.16  59.61 7666.0    1.0
numax[2]     45.96  3.0e-3   0.28  45.42  45.78  45.96  46.15  46.51 8649.0    1.0
numax[3]      50.5  2.5e-3   0.26   50.0  50.33   50.5  50.68  51.01  11008    1.0
numax[4]     70.81  5.6e-3   0.51   69.8  70.47  70.81  71.15  71.79 8256.0    1.0
numax[5]     90.89  3.0e-3    0.3   90.3  90.69  90.89   91.1  91.49  10385    1.0
numax[6]     96.56 10.0e-3   1.05  94.51  95.85  96.57  97.28   98.6  11026    1.0
numax[7]     87.06  5.2e-3   0.49   86.1  86.72  87.05  87.39  88.03 8780.0    1.0
