                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                       pp                                      cno                             he_core_mass                                 log_Teff                       photosphere_csound                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                              surface_he4                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                          acoustic_cutoff                          acoustic_radius                            ng_for_nu_max                          gs_per_delta_nu                              num_retries                              num_backups                                num_iters 
                                       1                                      610                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6599521986901060E-001                  2.4301378494374652E-004                  9.9999975859683432E-001                  9.8449807170444426E-001                  9.6599521986901060E-001                  2.4301378494374652E-004                  9.9999975859683432E-001                  9.8449807170444426E-001                 -1.5467383129190273E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6326498323870235E+000                  6.8057901522550045E+005                  1.7406349589190921E+000                  1.1282766511381259E+000                  2.1813360511368729E+000                 -4.5936276755794918E-002                  5.7789180751096882E+000                 -2.3661322209169153E+000                  1.1546381487264496E+001                  7.3000000000000009E-001                  2.4997339496852580E-001                  2.4997339496852583E-001                  7.3000000000000032E-001                  2.4997339496852578E-001                  2.7089594234091825E+000                  0.0000000000000000E+000                  1.9922079054881728E+001                  1.8301047843646603E+002                  1.8457271662295994E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                       5                                      608                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6599521986901060E-001                  2.4301733181035089E-004                  9.9999975191270440E-001                  9.8449807170389325E-001                  9.6599521986901060E-001                  2.4301733181035089E-004                  9.9999975191270440E-001                  9.8449807170389325E-001                 -1.5467383445084494E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6318147452789851E+000                  6.7974844217489602E+005                  1.7372377887355968E+000                  1.1282482402624547E+000                  2.1813928728882153E+000                 -4.3573922656696046E-002                  5.7789180899134536E+000                 -2.3661321915266562E+000                  1.1546381531538314E+001                  7.3000000000000009E-001                  2.4997339496852580E-001                  2.4997339496852580E-001                  7.3000000000000032E-001                  2.4997339496852578E-001                  2.7096228958092463E+000                  0.0000000000000000E+000                  1.9943851162367427E+001                  1.8316619529961142E+002                  1.8452752254688629E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      10                                      608                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6599521986901060E-001                  2.4302934067040261E-004                  9.9999975191270440E-001                  9.8449807170223258E-001                  9.6599521986901060E-001                  2.4302934067040261E-004                  9.9999975191270440E-001                  9.8449807170223258E-001                 -1.5467384274642171E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6298389017731010E+000                  6.7776235329322645E+005                  1.7291920089424091E+000                  1.1281770373776288E+000                  2.1815352786578677E+000                 -3.6083834220877846E-002                  5.7789181295660690E+000                 -2.3661321174127172E+000                  1.1546381645539386E+001                  7.3000000000000009E-001                  2.4997339496852583E-001                  2.4997339496852578E-001                  7.3000000000000032E-001                  2.4997339496852578E-001                  2.7112669362395567E+000                  0.0000000000000000E+000                  1.9995826138903315E+001                  1.8353215349336708E+002                  1.8441562994659776E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        5 
                                      15                                      608                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6599521986901060E-001                  2.4307226646192904E-004                  9.9999973829865973E-001                  9.8449807169793857E-001                  9.6599521986901060E-001                  2.4307226646192904E-004                  9.9999973829865973E-001                  9.8449807169793857E-001                 -1.5467385976162818E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6264895050390495E+000                  6.7432607892833801E+005                  1.7155281485885687E+000                  1.1280439006688112E+000                  2.1818015520755027E+000                 -2.5458719037477338E-002                  5.7789182129867624E+000                 -2.3661319742491007E+000                  1.1546381872674617E+001                  7.3000000000000009E-001                  2.4997339496852580E-001                  2.4997339496852580E-001                  7.3000000000000032E-001                  2.4997339496852578E-001                  2.7142729198787943E+000                  0.0000000000000000E+000                  2.0085392537157624E+001                  1.8414350731165885E+002                  1.8421139463835768E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        4 
                                      20                                      609                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6599521986901060E-001                  2.4328051609528854E-004                  9.9999973829865973E-001                  9.8347195282316180E-001                  9.6599521986901060E-001                  2.4328051609528854E-004                  9.9999973829865973E-001                  9.8347195282316180E-001                 -1.5467388972874682E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6222246708335541E+000                  6.6981746171891550E+005                  1.6980722195323810E+000                  1.1278456045517085E+000                  2.1821981443097083E+000                 -1.3858960279558505E-002                  5.7789183645014779E+000                 -2.3661317319712767E+000                  1.1546382267547843E+001                  7.3000000000000009E-001                  2.4997339496852580E-001                  2.4997339496852580E-001                  7.3000000000000032E-001                  2.4997339496852566E-001                  2.7185660679539336E+000                  0.0000000000000000E+000                  2.0202696197346757E+001                  1.8490853611491383E+002                  1.8392048878043768E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        4 
                                      25                                      609                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6599521986901060E-001                  2.4472691791228797E-004                  9.9999973829865973E-001                  9.8238151914198879E-001                  9.6599521986901060E-001                  2.4472691791228797E-004                  9.9999973829865973E-001                  9.8238151914198879E-001                 -1.5467393285193559E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6184375223150687E+000                  6.6567126102010801E+005                  1.6824787917969577E+000                  1.1276231877209670E+000                  2.1826429779711907E+000                 -5.5733613116221783E-003                  5.7789186054213033E+000                 -2.3661313606000585E+000                  1.1546382881619833E+001                  7.3000000000000009E-001                  2.4997339496852583E-001                  2.4997339496852583E-001                  7.3000000000000032E-001                  2.4997339496852566E-001                  2.7230636582287322E+000                  0.0000000000000000E+000                  2.0311768636131919E+001                  1.8558653641697470E+002                  1.8361671365598348E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        5 
                                      30                                      607                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6599521986901082E-001                  2.5803871245574553E-004                  9.9999973829865973E-001                  9.8061712822845737E-001                  9.6599521986901082E-001                  2.5803871245574553E-004                  9.9999973829865973E-001                  9.8061712822845737E-001                 -1.5467397961441167E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6161300105947243E+000                  6.6304434255877195E+005                  1.6728802592484011E+000                  1.1274389448873792E+000                  2.1830114636383668E+000                 -1.6338002831986986E-003                  5.7789189713368962E+000                 -2.3661308031488462E+000                  1.1546383807721343E+001                  7.3000000000000009E-001                  2.4997339496852580E-001                  2.4997339496852583E-001                  7.3000000000000032E-001                  2.4997339496852569E-001                  2.7264346469959895E+000                  0.0000000000000000E+000                  2.0383088144092149E+001                  1.8601260941443957E+002                  1.8338968826958849E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      35                                      607                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6899590154192161E-001                  3.6622031340361339E-004                  9.9999973829865973E-001                  9.7800333857359401E-001                  9.6899590154192161E-001                  3.6622031340361339E-004                  9.9999973829865973E-001                  9.7800333857359401E-001                 -1.5467400216792784E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6151965285739118E+000                  6.6195634501929046E+005                  1.6689200469410739E+000                  1.1273258027753399E+000                  2.1832377478624454E+000                 -3.5685177303727730E-004                  5.7789195822010830E+000                 -2.3661298721169106E+000                  1.1546385354180934E+001                  7.3000000000000009E-001                  2.4997339496852578E-001                  2.4997339496852583E-001                  7.3000000000000043E-001                  2.4997339496852580E-001                  2.7282295580111078E+000                  0.0000000000000000E+000                  2.0415640414042564E+001                  1.8621086373950678E+002                  1.8326903560289199E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        5 
                                      40                                      607                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999973829865973E-001                  1.7342005106665205E-003                  2.4562438176102772E-005                  7.8128612900799283E-008                  9.9999973829865973E-001                  1.7342005106665205E-003                  2.4562438176102772E-005                  7.8128612900799283E-008                 -1.5467393901188704E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6149419991574998E+000                  6.6165653302116727E+005                  1.6677901276594311E+000                  1.1272699019673418E+000                  2.1833495494784416E+000                 -6.7687488901234280E-005                  5.7789208313078522E+000                 -2.3661279709827121E+000                  1.1546388513765351E+001                  7.3000000000000009E-001                  2.4997339496852580E-001                  2.4997339496852583E-001                  7.3000000000000032E-001                  2.4997339496852578E-001                  2.7289574194033897E+000                  0.0000000000000000E+000                  2.0426881716657764E+001                  1.8628553375865911E+002                  1.8322015449743113E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
