                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.1989200000000000E+034  0.6654660706983822E+012
                        1                        2                        3                        4                        5
                        l                     n_pg                Re(omega)                Im(omega)                   E_norm
                        0                        1  0.2166599646770187E+001  0.0000000000000000E+000  0.2954284261143428E-001
                        0                        2  0.3868723154481597E+001  0.0000000000000000E+000  0.1219089780750981E-002
                        0                        3  0.5357049716562755E+001  0.0000000000000000E+000  0.1208183148714922E-003
                        0                        4  0.6618447928944044E+001  0.0000000000000000E+000  0.2295457215538601E-004
                        0                        5  0.7880211881420009E+001  0.0000000000000000E+000  0.1016056493789107E-004
                        0                        6  0.9136424426534379E+001  0.0000000000000000E+000  0.5558903321540608E-005
                        0                        7  0.1044606038281963E+002  0.0000000000000000E+000  0.4669180703450298E-005
                        0                        8  0.1179548453424749E+002  0.0000000000000000E+000  0.3740426492781448E-005
                        0                        9  0.1314189866638769E+002  0.0000000000000000E+000  0.3491677062863614E-005
                        0                       10  0.1453013501325850E+002  0.0000000000000000E+000  0.3360785786137270E-005
                        0                       11  0.1591994699668638E+002  0.0000000000000000E+000  0.3229942529082493E-005
                        0                       12  0.1732201533838386E+002  0.0000000000000000E+000  0.3200483232063909E-005
                        0                       13  0.1873115312657995E+002  0.0000000000000000E+000  0.3184550892014508E-005
                        0                       14  0.2014804545652476E+002  0.0000000000000000E+000  0.3201101683323695E-005
                        0                       15  0.2156948344569982E+002  0.0000000000000000E+000  0.3203714417788752E-005
                        0                       16  0.2299404683982100E+002  0.0000000000000000E+000  0.3230093193201230E-005
                        0                       17  0.2442349265827364E+002  0.0000000000000000E+000  0.3248509839728572E-005
                        0                       18  0.2585436341691897E+002  0.0000000000000000E+000  0.3270076259913278E-005
                        0                       19  0.2728903079002274E+002  0.0000000000000000E+000  0.3290946939690907E-005
                        0                       20  0.2872463589466845E+002  0.0000000000000000E+000  0.3299089837106887E-005
                        0                       21  0.3016210992452332E+002  0.0000000000000000E+000  0.3312941519682038E-005
                        0                       22  0.3160166720414218E+002  0.0000000000000000E+000  0.3314553485501600E-005
                        0                       23  0.3304161820797068E+002  0.0000000000000000E+000  0.3308115763437961E-005
                        0                       24  0.3448302665557041E+002  0.0000000000000000E+000  0.3298748501643746E-005
