KIC,dnu,dnu_err,numax,numax_err,metallicity,metallicity_err,radius
10907196,4.67,0.13,44.12,0.96,-0.08,0.06,10.77
10962775,4.11,0.09,35.12,0.86,-0.25,0.06,10.93
11177749,4.11,0.1,34.18,0.79,0.03,0.05,10.51
11231549,3.4,0.08,30.25,0.69,-0.06,0.06,13.31
11284798,1.46,0.04,9.5,0.25,-0.04,0.06,21.76
11337883,11.53,0.21,149.21,3.22,-0.03,0.06,5.93
11178396,3.85,0.08,28.3,1.62,-0.69,0.08,10.31
11284760,4.1,0.08,34.53,0.89,-0.01,0.06,10.67
11072470,3.93,0.09,32.66,1.31,0.15,0.05,10.79
11072334,6.68,1.03,79.25,3.24,0.11,0.05,7.96
11017831,17.06,1.42,225.96,6.17,-0.03,0.06,3.97
11232325,5.92,0.13,60.45,1.49,0.14,0.05,8.79
11339000,4.28,0.09,38.26,0.88,-0.03,0.06,10.95
11232225,3.81,0.12,33.06,1.64,0.15,0.05,11.58
11285650,8.43,0.16,93.87,1.84,0.27,0.05,6.76
11391750,7.95,0.19,85.77,1.96,-0.14,0.06,7.1
11018481,1.5,0.03,9.61,0.29,-0.18,0.06,21.27
11072852,1.45,0.04,9.53,0.26,-0.02,0.06,22.76
11126673,5.65,0.11,55.79,2.7,-0.12,0.06,8.65
11179815,4.17,0.09,36.21,1.23,-0.08,0.06,10.91
11018710,5.39,0.13,53.34,1.12,0.1,0.05,9.34
11126721,3.63,0.08,30.74,0.82,0.45,0.04,
11180468,5.03,0.1,50.71,1.16,0.16,0.05,10.29
11127105,15.1,0.28,190.02,3.66,0.1,0.05,4.31
11180378,4.32,0.12,33.08,1.41,0.02,0.05,9.83
11127586,7.49,0.17,78.1,2.09,-0.4,0.07,7.34
11340165,4.06,0.09,33,0.89,-0.22,0.06,10.51
11180994,6.51,0.13,68.85,2.01,0.05,0.05,8.28
11340377,3.06,0.06,21.71,1.2,-0.32,0.07,12.06
11287844,4.49,0.14,44.16,1.13,-0.12,0.06,11.43
11287679,4.79,0.15,45.53,0.96,-0.18,0.06,11.04
11234625,4.17,0.08,34.41,0.73,-0.14,0.06,10.3
11340747,9.42,0.2,112.27,3.85,0.37,0.04,6.15
11287896,4.05,0.1,33.95,0.84,-0.01,0.06,10.8
11235672,5.93,0.14,73.61,1.57,0.09,0.05,11.24
11181828,4.13,0.09,33.49,0.72,-0.93,0.09,10.32
11181891,4.11,0.09,33.87,1.46,-0.19,0.06,10.56
11129442,4.28,0.1,37.46,1.19,-0.09,0.06,10.2
11128910,4.2,0.12,36.71,0.8,-0.1,0.06,10.98
11129153,3.72,0.1,27.16,0.98,-0.33,0.07,10.55
