                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      8.0000000000000004E-001      1.2200000000000001E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                       pp                                      cno                             he_core_mass                                 log_Teff                       photosphere_csound                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                              surface_he4                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                          acoustic_cutoff                          acoustic_radius                            ng_for_nu_max                          gs_per_delta_nu                              num_retries                              num_backups                                num_iters 
                                       1                                      605                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6256165878247935E-001                  1.7338368284466907E-003                  9.9999975302888466E-001                  9.8716705641986491E-001                  9.6256165878247935E-001                  1.7338368284466907E-003                  9.9999975302888466E-001                  9.8716705641986491E-001                 -1.5603896064778263E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6513307513967286E+000                  6.6220715233543795E+005                  1.6993731313731681E+000                  1.0702838993457533E+000                  2.2004115417135623E+000                 -3.9321443049705543E-002                  5.7788401685344404E+000                 -2.2760056224856284E+000                  1.1601802703676661E+001                  6.2780000000000002E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0224000000000046E-001                  2.8796935100374149E-001                  2.9619329734974746E+000                  0.0000000000000000E+000                  2.0373689832521542E+001                  1.9752877291158015E+002                  1.6880868151773061E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        5 
                                      10                                      607                  2.5958682111999992E-004                 -4.2873687855713767E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6256165878247912E-001                  1.7338368529573305E-003                  9.9999975302888466E-001                  9.8716705641721880E-001                  9.6256165878247912E-001                  1.7338368529573305E-003                  9.9999975302888466E-001                  9.8716705641721880E-001                 -1.5603897253883302E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6487709568354099E+000                  6.5994524115880684E+005                  1.6889438250005149E+000                  1.0701888352820641E+000                  2.2006016698409403E+000                 -3.1114057854514442E-002                  5.7788402274958166E+000                 -2.2760055151259322E+000                  1.1601802870375140E+001                  6.2780000000000002E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0224000000000046E-001                  2.8796935100374149E-001                  2.9640991723898185E+000                  0.0000000000000000E+000                  2.0442768736785538E+001                  1.9811106012867197E+002                  1.6868531412762168E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        4 
                                      20                                      601                  1.8668799962237360E-003                 -3.4955563250951283E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6256165878247935E-001                  1.7338369967586783E-003                  9.9999972957197814E-001                  9.8541036194817444E-001                  9.6256165878247935E-001                  1.7338369967586783E-003                  9.9999972957197814E-001                  9.8541036194817444E-001                 -1.5603902056461706E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6417767400354464E+000                  6.5359311463083536E+005                  1.6603249915389295E+000                  1.0698678521511993E+000                  2.2012436361026699E+000                 -1.2109910261748626E-002                  5.7788404825919990E+000                 -2.2760051038850073E+000                  1.1601803538602303E+001                  6.2780000000000002E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0224000000000046E-001                  2.8796935100374149E-001                  2.9711007000664198E+000                  0.0000000000000000E+000                  2.0638531391449899E+001                  1.9971085821468819E+002                  1.6828779986784776E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        4 
                                      30                                      600                  1.1818815689988476E-002                 -2.7037438646188803E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6556170032523969E-001                  1.7338375830990827E-003                  9.9999971549627331E-001                  9.8342660315734798E-001                  9.6556170032523969E-001                  1.7338375830990827E-003                  9.9999971549627331E-001                  9.8342660315734798E-001                 -1.5603910371433365E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6363853539160704E+000                  6.4852420684266300E+005                  1.6379662267378856E+000                  1.0694712419894290E+000                  2.2020368564262109E+000                 -1.4246973902339759E-003                  5.7788411960177788E+000                 -2.2760040162803312E+000                  1.1601805345220539E+001                  6.2780000000000002E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0224000000000046E-001                  2.8796935100374149E-001                  2.9787067543727366E+000                  0.0000000000000000E+000                  2.0804999211050937E+001                  2.0102609614886512E+002                  1.6785808111725023E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      40                                      600                  7.3438578398454205E-002                 -1.9119314041426323E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999971549627331E-001                  1.7338371117643619E-003                  2.4559374380006088E-005                  7.8128703832429443E-008                  9.9999971549627331E-001                  1.7338371117643619E-003                  2.4559374380006088E-005                  7.8128703832429443E-008                 -1.5603899911529153E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6354003754799251E+000                  6.4757845614636375E+005                  1.6336922394392686E+000                  1.0693042052124109E+000                  2.2023709299802467E+000                 -6.2109198049775376E-005                  5.7788436634013642E+000                 -2.2760002709749396E+000                  1.1601811577312690E+001                  6.2780000000000002E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0224000000000046E-001                  2.8796935100374149E-001                  2.9811833745589196E+000                  0.0000000000000000E+000                  2.0844633637721721E+001                  2.0134751430437788E+002                  1.6771863289824544E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        5 
                                      50                                      600                  4.5497190750010674E-001                 -1.1201189436663841E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999971549627331E-001                  8.6225724628451758E-004                  2.4559374380006305E-005                  7.8128703832646284E-008                  9.9999971549627331E-001                  8.6225724628451758E-004                  2.4559374380006305E-005                  7.8128703832646284E-008                 -1.5603764411695174E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6353508569889330E+000                  6.4753030596817564E+005                  1.6334189261934082E+000                  1.0692665855714643E+000                  2.2024461692621400E+000                 -2.9699776347333712E-006                  5.7788570197092444E+000                 -2.2759799938209886E+000                  1.1601845315782814E+001                  6.2780000000000002E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0224000000000046E-001                  2.8796935100374149E-001                  2.9816003859105598E+000                  0.0000000000000000E+000                  2.0849433773916576E+001                  2.0139059999475000E+002                  1.6769517550464883E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        2 
                                      60                                      600                  2.8173257176583335E+000                 -3.2830648319013606E-001                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999971549627331E-001                  2.4307691705819645E-004                  1.7279924262283145E-005                  7.8128703777243553E-008                  9.9999971549627331E-001                  2.4307691705819645E-004                  1.7279924262283145E-005                  7.8128703777243553E-008                 -1.5602864736282667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6353558373887993E+000                  6.4753421255683678E+005                  1.6333177518340471E+000                  1.0692060375920505E+000                  2.2025672652209676E+000                 -2.3192989221702088E-006                  5.7789443399703355E+000                 -2.2758474390211623E+000                  1.1602065877082172E+001                  6.2780000000000002E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0224000000000046E-001                  2.8796935100374149E-001                  2.9822195854404026E+000                  0.0000000000000000E+000                  2.0855128528785261E+001                  2.0144566417106040E+002                  1.6766035688353310E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        2 
                                      70                                      600                  1.7444397846610439E+001                  4.6350597728611198E-001                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999971549627331E-001                  1.2684877399656523E-004                  1.7279924262283172E-005                  7.8128703777270658E-008                  9.9999971549627331E-001                  1.2684877399656523E-004                  1.7279924262283172E-005                  7.8128703777270658E-008                 -1.5597313161003123E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6353898502682274E+000                  6.4756154964185832E+005                  1.6327170829179547E+000                  1.0688376773751478E+000                  2.2033039856547729E+000                 -2.3117380051170116E-006                  5.7794868585919410E+000                 -2.2750238812236567E+000                  1.1603436203582252E+001                  6.2780000000000002E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0224000000000046E-001                  2.8796935100374149E-001                  2.9859888726252470E+000                  0.0000000000000000E+000                  2.0889718357647169E+001                  2.0178035880015506E+002                  1.6744871509196408E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      80                                      600                  1.0801137310051506E+002                  1.2553184377623601E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999971549627331E-001                  7.8128703752984529E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999971549627331E-001                  7.8128703752984529E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5563291668102252E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6355981735550937E+000                  6.4772891555773548E+005                  1.6290286857654510E+000                  1.0665768322251652E+000                  2.2078256759547381E+000                 -2.2676627379973162E-006                  5.7820743688571801E+000                 -2.2691912455667276E+000                  1.1611867112916414E+001                  6.2780000000000002E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0224000000000046E-001                  2.8796935100374149E-001                  3.0091955524294898E+000                  0.0000000000000000E+000                  2.1103287392705788E+001                  2.0384686582264251E+002                  1.6615736375003026E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
