                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      8.0000000000000004E-001      8.6370000000000006E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                       pp                                      cno                             he_core_mass                                 log_Teff                       photosphere_csound                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                              surface_he4                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                          acoustic_cutoff                          acoustic_radius                            ng_for_nu_max                          gs_per_delta_nu                              num_retries                              num_backups                                num_iters 
                                       1                                      605                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6426495273404955E-001                  2.4314764682177489E-004                  9.9999976840593685E-001                  9.8697759258018025E-001                  9.6426495273404955E-001                  2.4314764682177489E-004                  9.9999976840593685E-001                  9.8697759258018025E-001                 -1.5594654920417939E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6597078777440930E+000                  6.7037599802462535E+005                  1.7289477089119658E+000                  1.0683169354204238E+000                  2.2043454695642208E+000                 -3.9341504205994776E-002                  5.7788590639609954E+000                 -2.2716202750057946E+000                  1.1607773709176548E+001                  6.3136300000000001E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0509039999999983E-001                  2.8796935100374182E-001                  2.9895207565099930E+000                  0.0000000000000000E+000                  2.0361747842160330E+001                  1.9701926208317494E+002                  1.6725088759166427E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      10                                      603                  2.5958682111999992E-004                 -4.2873687855713767E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6426495273404933E-001                  2.4324797718075131E-004                  9.9999975262547969E-001                  9.8697759257771933E-001                  9.6426495273404933E-001                  2.4324797718075131E-004                  9.9999975262547969E-001                  9.8697759257771933E-001                 -1.5594656048928437E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6572214884137693E+000                  6.6822068080308719E+005                  1.7188092141308271E+000                  1.0682204666905015E+000                  2.2045384070240654E+000                 -3.0946820902649712E-002                  5.7788591218832481E+000                 -2.2716201721062470E+000                  1.1607773870374210E+001                  6.3136300000000001E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0509039999999983E-001                  2.8796935100374182E-001                  2.9917161898434101E+000                  0.0000000000000000E+000                  2.0429191855344470E+001                  1.9760686349415798E+002                  1.6712815262940119E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      20                                      601                  1.8668799962237360E-003                 -3.4955563250951283E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6426495273404933E-001                  2.4497281960688365E-004                  9.9999973260988684E-001                  9.8471539106200712E-001                  9.6426495273404933E-001                  2.4497281960688365E-004                  9.9999973260988684E-001                  9.8471539106200712E-001                 -1.5594660613923457E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6504228789968511E+000                  6.6217387368478335E+005                  1.6909664344997481E+000                  1.0678962957087981E+000                  2.2051867489874728E+000                 -1.2021311100429092E-002                  5.7788593575909877E+000                 -2.2716197715981998E+000                  1.1607774508207957E+001                  6.3136300000000001E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0509039999999983E-001                  2.8796935100374182E-001                  2.9987085556391446E+000                  0.0000000000000000E+000                  2.0620482999964814E+001                  1.9922467267152473E+002                  1.6673844447461818E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      30                                      602                  1.1818815689988476E-002                 -2.7037438646188803E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6763585365047833E-001                  3.2925727819121432E-004                  9.9999971160707668E-001                  9.8318382998032550E-001                  9.6763585365047833E-001                  3.2925727819121432E-004                  9.9999971160707668E-001                  9.8318382998032550E-001                 -1.5594668248234248E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6451398506644939E+000                  6.5730505689080479E+005                  1.6690312290032263E+000                  1.0674947496252518E+000                  2.2059898411545653E+000                 -1.4212365422606704E-003                  5.7788597056468154E+000                 -2.2716183291046024E+000                  1.1607776297018006E+001                  6.3136300000000001E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0509039999999983E-001                  2.8796935100374182E-001                  3.0062966526948927E+000                  0.0000000000000000E+000                  2.0784684666146759E+001                  2.0057097659899622E+002                  1.6631758530941780E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      40                                      602                  7.3438578398454205E-002                 -1.9119314041426323E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999971160707668E-001                  8.6255051296536562E-004                  6.8256160511384625E-005                  7.8128804120754739E-008                  9.9999971160707668E-001                  8.6255051296536562E-004                  6.8256160511384625E-005                  7.8128804120754739E-008                 -1.5594656347080372E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6441742745155881E+000                  6.5639674520398944E+005                  1.6648284208031321E+000                  1.0673244978230156E+000                  2.2063303447590372E+000                 -6.2242506229346695E-005                  5.7788614008589745E+000                 -2.2716136362506214E+000                  1.1607782687928669E+001                  6.3136300000000001E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0509039999999983E-001                  2.8796935100374182E-001                  3.0087963852011681E+000                  0.0000000000000000E+000                  2.0824123545454743E+001                  2.0090122645867191E+002                  1.6617940730694210E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      50                                      602                  4.5497190750010674E-001                 -1.1201189436663841E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999971160707668E-001                  8.6254331201552183E-004                  6.8256160511384625E-005                  7.8128804120754739E-008                  9.9999971160707668E-001                  8.6254331201552183E-004                  6.8256160511384625E-005                  7.8128804120754739E-008                 -1.5594510362949082E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6441263529611279E+000                  6.5635112686196202E+005                  1.6645588381077709E+000                  1.0672855495842559E+000                  2.2064082412365567E+000                 -3.1149934979638217E-006                  5.7788744260837515E+000                 -2.2715911218712592E+000                  1.1607818315080792E+001                  6.3136300000000001E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0509039999999983E-001                  2.8796935100374182E-001                  3.0092279392350871E+000                  0.0000000000000000E+000                  2.0829008103973059E+001                  2.0094569229685752E+002                  1.6615557548196052E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      60                                      602                  2.8173257176583335E+000                 -3.2830648319013606E-001                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999971160707668E-001                  2.4303166468606221E-004                  6.8256160511384625E-005                  7.8128804120754739E-008                  9.9999971160707668E-001                  2.4303166468606221E-004                  6.8256160511384625E-005                  7.8128804120754739E-008                 -1.5593547725534355E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6441315977264530E+000                  6.5635523080068931E+005                  1.6644503644583015E+000                  1.0672208232288716E+000                  2.2065376939473254E+000                 -2.4348703173582928E-006                  5.7789666994570110E+000                 -2.2714480632784504E+000                  1.1608054346714718E+001                  6.3136300000000001E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0509039999999983E-001                  2.8796935100374182E-001                  3.0098956695000578E+000                  0.0000000000000000E+000                  2.0835091846283380E+001                  2.0100443204465813E+002                  1.6611871470051643E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      70                                      602                  1.7444397846610439E+001                  4.6350597728611198E-001                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999971160707668E-001                  1.2713278949823915E-004                  3.9128323760524726E-005                  7.8128804106863399E-008                  9.9999971160707668E-001                  1.2713278949823915E-004                  3.9128323760524726E-005                  7.8128804106863399E-008                 -1.5587609399673847E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6441672504070182E+000                  6.5638372490095475E+005                  1.6638054784002789E+000                  1.0668270748387292E+000                  2.2073251907276106E+000                 -2.4264839487614167E-006                  5.7795232510120593E+000                 -2.2705418733803859E+000                  1.1609521087617447E+001                  6.3136300000000001E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0509039999999983E-001                  2.8796935100374182E-001                  3.0139600455587279E+000                  0.0000000000000000E+000                  2.0872049194962930E+001                  2.0136146104339343E+002                  1.6589470080626433E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      80                                      602                  1.0801137310051506E+002                  1.2553184377623601E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999971160707668E-001                  7.8128804136340145E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999971160707668E-001                  7.8128804136340145E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5551233006172312E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6443853735553158E+000                  6.5655797674093291E+005                  1.6598475008576115E+000                  1.0644118397708004E+000                  2.2121556608634680E+000                 -2.3770474656812012E-006                  5.7822466245380140E+000                 -2.2642606578688449E+000                  1.1618536043170845E+001                  6.3136300000000001E-001                  3.5996168875467710E-001                  3.5996168875467704E-001                  5.0509039999999983E-001                  2.8796935100374182E-001                  3.0389811155556230E+000                  0.0000000000000000E+000                  2.1100196427258503E+001                  2.0356547019834935E+002                  1.6452882758653932E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
