                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      1.3999999999999999E+000      7.6999999999999996E-004      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                       pp                                      cno                             he_core_mass                                 log_Teff                       photosphere_csound                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                              surface_he4                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                          acoustic_cutoff                          acoustic_radius                            ng_for_nu_max                          gs_per_delta_nu                              num_retries                              num_backups                                num_iters 
                                       1                                      591                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.7500635963216065E-001                  1.7362845523538279E-003                  9.9999964597372781E-001                  9.9011033304615403E-001                  9.7500635963216065E-001                  1.7362845523538279E-003                  9.9999964597372781E-001                  9.9011033304615403E-001                 -1.5915391959488845E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6941944621506932E+000                  6.8739977585453680E+005                  2.3650236301697523E+000                  1.3173817272361159E+000                  1.9492539346191313E+000                 -1.2233989359028409E-001                  5.7788478624527908E+000                 -2.7826035147397312E+000                  1.1088289560341790E+001                  5.9922999999999993E-001                  3.9995743194964128E-001                  3.9995743194964123E-001                  8.3892200000000006E-001                  5.5994040472949802E-001                  1.7131520037839871E+000                  0.0000000000000000E+000                  1.0876276197318385E+001                  1.0707529760152704E+002                  2.9185968255916971E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      10                                      589                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.8005640216182865E-001                  1.7362857858395332E-003                  9.9999964597372781E-001                  9.9011033301915519E-001                  9.8005640216182865E-001                  1.7362857858395332E-003                  9.9999964597372781E-001                  9.9011033301915519E-001                 -1.5915392673776777E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6924770082663478E+000                  6.8603941536590259E+005                  2.3578039180930879E+000                  1.3172067789664743E+000                  1.9496038311584145E+000                 -9.7540953216752352E-002                  5.7788479231476062E+000                 -2.7826033947000273E+000                  1.1088289741376313E+001                  5.9922999999999993E-001                  3.9995743194964128E-001                  3.9995743194964123E-001                  8.3892200000000006E-001                  5.5994040472949802E-001                  1.7158282401843994E+000                  0.0000000000000000E+000                  1.0906586578349344E+001                  1.0737659600153529E+002                  2.9140445896045235E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      20                                      584                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.8005640216182832E-001                  1.7362944736684476E-003                  9.9999961296707118E-001                  9.8837653160748573E-001                  9.8005640216182832E-001                  1.7362944736684476E-003                  9.9999961296707118E-001                  9.8837653160748573E-001                 -1.5915395237472966E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6874009593427792E+000                  6.8194371987254242E+005                  2.3362805150518478E+000                  1.3165971752929928E+000                  1.9508230385053773E+000                 -4.0056981559493617E-002                  5.7788482125273442E+000                 -2.7826029324535262E+000                  1.1088290494944548E+001                  5.9922999999999993E-001                  3.9995743194964128E-001                  3.9995743194964123E-001                  8.3892200000000006E-001                  5.5994040472949802E-001                  1.7245116061374368E+000                  0.0000000000000000E+000                  1.1001352567623192E+001                  1.0830127069115838E+002                  2.8993716146677645E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      30                                      582                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.8005640216182810E-001                  1.7363614537611795E-003                  9.9999954993889528E-001                  9.8678469380804790E-001                  9.8005640216182810E-001                  1.7363614537611795E-003                  9.9999954993889528E-001                  9.8678469380804790E-001                 -1.5915397847776717E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6827328112405020E+000                  6.7806703213926696E+005                  2.3159080873874096E+000                  1.3157472576653269E+000                  1.9525228737607094E+000                 -5.7001156376300507E-003                  5.7788486868041922E+000                 -2.7826012952169736E+000                  1.1088292605552281E+001                  5.9922999999999993E-001                  3.9995743194964128E-001                  3.9995743194964123E-001                  8.3892200000000017E-001                  5.5994040472949802E-001                  1.7346305133975950E+000                  0.0000000000000000E+000                  1.1104013786773404E+001                  1.0928500999829464E+002                  2.8824582303735532E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      40                                      581                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.9999954993889528E-001                  1.7368466400638680E-003                  6.8321854452075539E-005                  7.8130815262791565E-008                  9.9999954993889528E-001                  1.7368466400638680E-003                  6.8321854452075539E-005                  7.8130815262791565E-008                 -1.5915359272357971E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6816772068523838E+000                  6.7717577401336178E+005                  2.3107987118410431E+000                  1.3153037786683803E+000                  1.9534098317546023E+000                 -3.0129959488244576E-004                  5.7788514200243881E+000                 -2.7825942111042545E+000                  1.1088302428593995E+001                  5.9922999999999993E-001                  3.9995743194964128E-001                  3.9995743194964123E-001                  8.3892200000000017E-001                  5.5994040472949780E-001                  1.7385005124283315E+000                  0.0000000000000000E+000                  1.1140245267487085E+001                  1.0963260277537819E+002                  2.8760417177076451E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      50                                      581                  4.5497190750010674E-001                 -1.1201189436663841E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.9999954993889528E-001                  1.7368997855711013E-003                  6.8321854452075539E-005                  7.8130815262791565E-008                  9.9999954993889528E-001                  1.7368997855711013E-003                  6.8321854452075539E-005                  7.8130815262791565E-008                 -1.5914969248573206E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6816204013740648E+000                  6.7712725370882067E+005                  2.3103193092767191E+000                  1.3151776883428563E+000                  1.9536620124056505E+000                 -1.7898167945014633E-005                  5.7788700778140321E+000                 -2.7825386118880915E+000                  1.1088376690922248E+001                  5.9922999999999993E-001                  3.9995743194964128E-001                  3.9995743194964123E-001                  8.3892200000000017E-001                  5.5994040472949769E-001                  1.7392960811701363E+000                  0.0000000000000000E+000                  1.1147444939277969E+001                  1.0970286513574285E+002                  2.8747261918949295E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        5 
                                      60                                      582                  2.8173257176583335E+000                 -3.2830648319013606E-001                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.9999954993889528E-001                  1.3703400803060544E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999954993889528E-001                  1.3703400803060544E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5912469733216462E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6816316113538079E+000                  6.7713592017225106E+005                  2.3100232052099661E+000                  1.3150072163499946E+000                  1.9540029563913739E+000                 -1.0664199924478671E-005                  5.7791063074194291E+000                 -2.7821716006725197E+000                  1.1088981566623549E+001                  5.9922999999999993E-001                  3.9995743194964134E-001                  3.9995743194964128E-001                  8.3892200000000017E-001                  5.5994040472949747E-001                  1.7403003210532464E+000                  0.0000000000000000E+000                  1.1156055724651349E+001                  1.0978759249173822E+002                  2.8730673318349745E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      70                                      582                  1.7444397846610439E+001                  4.6350597728611198E-001                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.9999954993889528E-001                  8.0360671023974948E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999954993889528E-001                  8.0360671023974948E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5897162734142162E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6817078463347306E+000                  6.7719558759906318E+005                  2.3083215442649272E+000                  1.3140039159156287E+000                  1.9560095572601057E+000                 -1.0569878593332956E-005                  5.7805849546394414E+000                 -2.7798755279253409E+000                  1.1092766596310987E+001                  5.9922999999999993E-001                  3.9995743194964128E-001                  3.9995743194964134E-001                  8.3892200000000017E-001                  5.5994040472949769E-001                  1.7462262747113633E+000                  0.0000000000000000E+000                  1.1206736439161149E+001                  1.1028636605446020E+002                  2.8633173560662742E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      80                                      582                  1.0801137310051506E+002                  1.2553184377623601E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.9999954993889528E-001                  7.8130817109627634E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999954993889528E-001                  7.8130817109627634E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5804877991460492E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6821663168016938E+000                  6.7755441004790820E+005                  2.2980257666341979E+000                  1.3079390861663382E+000                  1.9681392167586866E+000                 -1.0033003009186476E-005                  5.7864336785523971E+000                 -2.7627861180506676E+000                  1.1115708337931871E+001                  5.9923000000000026E-001                  3.9995743194964095E-001                  3.9995743194964134E-001                  8.3892200000000017E-001                  5.5994040472949769E-001                  1.7824172028232532E+000                  0.0000000000000000E+000                  1.1518066524735657E+001                  1.1335027696388124E+002                  2.8051793890231021E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
