                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      1.6000000000000001E+000      1.2200000000000001E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                       pp                                      cno                             he_core_mass                                 log_Teff                       photosphere_csound                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                              surface_he4                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                          acoustic_cutoff                          acoustic_radius                            ng_for_nu_max                          gs_per_delta_nu                              num_retries                              num_backups                                num_iters 
                                       1                                      593                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.6000000000000003E+000                  3.3502798433216107E+001                 -9.8999999999999986E+001                  9.7143271470619930E-001                  2.4336842762754402E-004                  9.9999958040988668E-001                  9.8456081942841056E-001                  9.7143271470619930E-001                  2.4336842762754402E-004                  9.9999958040988668E-001                  9.8456081942841056E-001                 -1.5674698987891128E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6560274262583317E+000                  7.0071012641239574E+005                  2.2330613175368872E+000                  1.3277346427044074E+000                  1.9865400506602349E+000                 -6.8913221793491936E-002                  5.7788660169914170E+000                 -2.7690819493423278E+000                  1.1144960360334464E+001                  7.2780000000000000E-001                  2.5997233076726683E-001                  2.5997233076726678E-001                  1.1644800000000013E+000                  4.1595572922762669E-001                  1.7518062443603342E+000                  0.0000000000000000E+000                  1.2383684009385091E+001                  1.1439497906761807E+002                  2.8541969273695175E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      10                                      595                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.6000000000000003E+000                  3.3502798433216107E+001                 -9.8999999999999986E+001                  9.7230600631073150E-001                  2.4351502178392395E-004                  9.9999955395376006E-001                  9.8456081941568863E-001                  9.7230600631073150E-001                  2.4351502178392395E-004                  9.9999955395376006E-001                  9.8456081941568863E-001                 -1.5674699942259020E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6532423025784846E+000                  6.9824442714556935E+005                  2.2217237621509360E+000                  1.3276361123711251E+000                  1.9867371113267998E+000                 -5.5585721638130900E-002                  5.7788660689965159E+000                 -2.7690818436822728E+000                  1.1144960518241662E+001                  7.2780000000000000E-001                  2.5997233076726683E-001                  2.5997233076726678E-001                  1.1644800000000013E+000                  4.1595572922762669E-001                  1.7531417902395090E+000                  0.0000000000000000E+000                  1.2429094334073660E+001                  1.1478182866537479E+002                  2.8520225961397652E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      20                                      592                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.6000000000000003E+000                  3.3502798433216107E+001                 -9.8999999999999986E+001                  9.7315411667659868E-001                  2.4601695207990628E-004                  9.9999952652557067E-001                  9.8405794879940989E-001                  9.7315411667659868E-001                  2.4601695207990628E-004                  9.9999952652557067E-001                  9.8405794879940989E-001                 -1.5674703754518525E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6451940681270889E+000                  6.9093226057341392E+005                  2.1888285058857462E+000                  1.3272849531413216E+000                  1.9874394297864071E+000                 -2.3624611330012320E-002                  5.7788663085910255E+000                 -2.7690814637322898E+000                  1.1144961139384058E+001                  7.2780000000000000E-001                  2.5997233076726683E-001                  2.5997233076726678E-001                  1.1644800000000017E+000                  4.1595572922762691E-001                  1.7576772035256871E+000                  0.0000000000000000E+000                  1.2565099149890919E+001                  1.1590468670004395E+002                  2.8446633943767415E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      30                                      590                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.6000000000000003E+000                  3.3502798433216107E+001                 -9.8999999999999986E+001                  9.7703991006104562E-001                  3.5854449252321105E-004                  9.9999949808969402E-001                  9.8069865699920544E-001                  9.7703991006104562E-001                  3.5854449252321105E-004                  9.9999949808969402E-001                  9.8069865699920544E-001                 -1.5674710149047170E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6381576816498198E+000                  6.8431894502039358E+005                  2.1596852444703929E+000                  1.3267860953881829E+000                  1.9884371452926841E+000                 -3.4290282813979741E-003                  5.7788666418922929E+000                 -2.7690801642082281E+000                  1.1144962770948611E+001                  7.2780000000000000E-001                  2.5997233076726683E-001                  2.5997233076726672E-001                  1.1644800000000013E+000                  4.1595572922762697E-001                  1.7633497287941344E+000                  0.0000000000000000E+000                  1.2696436024386385E+001                  1.1695254261999766E+002                  2.8355123877889197E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      40                                      588                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.6000000000000003E+000                  3.3502798433216107E+001                 -9.8999999999999986E+001                  9.9999946860921185E-001                  1.7355882653372113E-003                  6.8296633973924598E-005                  7.8130140535108396E-008                  9.9999946860921185E-001                  1.7355882653372113E-003                  6.8296633973924598E-005                  7.8130140535108396E-008                 -1.5674693772315337E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6365387232073743E+000                  6.8276431674171891E+005                  2.1526865150395573E+000                  1.3265246475576564E+000                  1.9889600409537374E+000                 -1.8035366994326879E-004                  5.7788681828910056E+000                 -2.7690753104077892E+000                  1.1144969165135116E+001                  7.2780000000000000E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  1.1644800000000017E+000                  4.1595572922762708E-001                  1.7656432918713674E+000                  0.0000000000000000E+000                  1.2735447314426278E+001                  1.1726754942609423E+002                  2.8318290693363140E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      50                                      588                  4.5497190750010674E-001                 -1.1201189436663841E+000                  1.6000000000000003E+000                  3.3502798433216107E+001                 -9.8999999999999986E+001                  9.9999946860921185E-001                  8.6325739473827319E-004                  6.8296633972645700E-005                  7.8130139256054923E-008                  9.9999946860921185E-001                  8.6325739473827319E-004                  6.8296633972645700E-005                  7.8130139256054923E-008                 -1.5674481611355132E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6364515090258402E+000                  6.8267947257795022E+005                  2.1521909222858562E+000                  1.3264512795438741E+000                  1.9891067769813018E+000                 -1.0452651265574038E-005                  5.7788837857885245E+000                 -2.7690478957005098E+000                  1.1145012274731279E+001                  7.2780000000000000E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  1.1644800000000017E+000                  4.1595572922762708E-001                  1.7661130747792830E+000                  0.0000000000000000E+000                  1.2741030245256914E+001                  1.1731637673786398E+002                  2.8310758078866871E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      60                                      588                  2.8173257176583335E+000                 -3.2830648319013606E-001                  1.6000000000000003E+000                  3.3502798433216107E+001                 -9.8999999999999986E+001                  9.9999946860921185E-001                  2.4319445312318924E-004                  6.8296633971420254E-005                  7.8130138030455979E-008                  9.9999946860921185E-001                  2.4319445312318924E-004                  6.8296633971420254E-005                  7.8130138030455979E-008                 -1.5673103998112655E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6364588988890256E+000                  6.8268543190886849E+005                  2.1520316270220361E+000                  1.3263568521855924E+000                  1.9892956316978652E+000                 -5.9461965498438100E-006                  5.7790132562818126E+000                 -2.7688458098434450E+000                  1.1145344709500273E+001                  7.2780000000000000E-001                  2.5997233076726683E-001                  2.5997233076726678E-001                  1.1644800000000017E+000                  4.1595572922762708E-001                  1.7666822756519069E+000                  0.0000000000000000E+000                  1.2746463492725084E+001                  1.1736643559434872E+002                  2.8301636739718786E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      70                                      588                  1.7444397846610439E+001                  4.6350597728611198E-001                  1.6000000000000003E+000                  3.3502798433216107E+001                 -9.8999999999999986E+001                  9.9999946860921185E-001                  1.2787459642876731E-004                  1.5626029719130196E-007                  7.8130140513621539E-008                  9.9999946860921185E-001                  1.2787459642876731E-004                  1.5626029719130196E-007                  7.8130140513621539E-008                 -1.5664657292268000E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6365163153343678E+000                  6.8273398015404318E+005                  2.1511609227436179E+000                  1.3258066671556989E+000                  1.9903960017576521E+000                 -5.9153968971773401E-006                  5.7798255985235141E+000                 -2.7675746443471860E+000                  1.1147433728137017E+001                  7.2780000000000000E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  1.1644800000000011E+000                  4.1595572922762708E-001                  1.7700077827354734E+000                  0.0000000000000000E+000                  1.2777955409975609E+001                  1.1765698955567986E+002                  2.8248463361402333E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      80                                      588                  1.0801137310051506E+002                  1.2553184377623601E+000                  1.6000000000000003E+000                  3.3502798433216107E+001                 -9.8999999999999986E+001                  9.9999949808969402E-001                  7.8130140513729960E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999949808969402E-001                  7.8130140513729960E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5613115237615887E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6368646774597084E+000                  6.8302827893291705E+005                  2.1458276901395568E+000                  1.3224433266029876E+000                  1.9971226828630748E+000                 -5.7505917889770973E-006                  5.7833928439338873E+000                 -2.7583484557262890E+000                  1.1160235022264505E+001                  7.2780000000000000E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  1.1644800000000011E+000                  4.1595572922762708E-001                  1.7904399555050390E+000                  0.0000000000000000E+000                  1.2972206944691594E+001                  1.1944915796500365E+002                  2.7926097072546749E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        4 
