                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.1989200000000000E+034  0.6656850402269884E+012
                        1                        2                        3                        4                        5
                        l                     n_pg                 Re(freq)                 Im(freq)                   E_norm
                        0                        2  0.1298044700081908E+002  0.0000000000000000E+000  0.1256549343940481E-002
                        0                        3  0.1798072409316061E+002  0.0000000000000000E+000  0.1394491586722631E-003
                        0                        4  0.2234438027048325E+002  0.0000000000000000E+000  0.2518775863185736E-004
                        0                        5  0.2656018570655169E+002  0.0000000000000000E+000  0.1140593722328019E-004
                        0                        6  0.3089513371434881E+002  0.0000000000000000E+000  0.5845620772889492E-005
                        0                        7  0.3520933790334651E+002  0.0000000000000000E+000  0.4837420545830783E-005
                        0                        8  0.3982838916086091E+002  0.0000000000000000E+000  0.4034989707857296E-005
                        0                        9  0.4435752544195985E+002  0.0000000000000000E+000  0.3528149729298990E-005
                        0                       10  0.4901080536826231E+002  0.0000000000000000E+000  0.3472460735803815E-005
                        0                       11  0.5371760387918621E+002  0.0000000000000000E+000  0.3319102532912708E-005
                        0                       12  0.5843192335712025E+002  0.0000000000000000E+000  0.3280723799927271E-005
                        0                       13  0.6319384259143601E+002  0.0000000000000000E+000  0.3253123122066731E-005
                        0                       14  0.6795782102384939E+002  0.0000000000000000E+000  0.3248913383315739E-005
                        0                       15  0.7275240944196746E+002  0.0000000000000000E+000  0.3278383536556397E-005
                        0                       16  0.7755695566810097E+002  0.0000000000000000E+000  0.3288434201138674E-005
                        0                       17  0.8237251462664837E+002  0.0000000000000000E+000  0.3314257334150365E-005
                        0                       18  0.8719883529601788E+002  0.0000000000000000E+000  0.3332466341280305E-005
                        0                       19  0.9203008769248183E+002  0.0000000000000000E+000  0.3359089476102010E-005
                        0                       20  0.9687341007649107E+002  0.0000000000000000E+000  0.3380965098034496E-005
                        0                       21  0.1017195731816434E+003  0.0000000000000000E+000  0.3388821053213773E-005
                        0                       22  0.1065697305071557E+003  0.0000000000000000E+000  0.3402355966598413E-005
                        0                       23  0.1114271763950180E+003  0.0000000000000000E+000  0.3406819538751560E-005
                        0                       24  0.1162862663246546E+003  0.0000000000000000E+000  0.3402030956704478E-005
                        0                       25  0.1211488419682340E+003  0.0000000000000000E+000  0.3394598440077376E-005
                        0                       26  0.1260140774851351E+003  0.0000000000000000E+000  0.3377114453658539E-005
                        0                       27  0.1308812002119109E+003  0.0000000000000000E+000  0.3355407762151440E-005
                        0                       28  0.1357506034276026E+003  0.0000000000000000E+000  0.3327810165826801E-005
                        0                       29  0.1406209647411916E+003  0.0000000000000000E+000  0.3290416164980109E-005
                        0                       30  0.1454920564391870E+003  0.0000000000000000E+000  0.3249305634667806E-005
