                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      8.0000000000000004E-001      1.7232999999999998E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                       pp                                      cno                             he_core_mass                                 log_Teff                       photosphere_csound                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                              surface_he4                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                          acoustic_cutoff                          acoustic_radius                            ng_for_nu_max                          gs_per_delta_nu                              num_retries                              num_backups                                num_iters 
                                       1                                      610                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.5564645570412665E-001                  1.7347166184524486E-003                  9.9999981485401479E-001                  9.8155291515376319E-001                  9.5564645570412665E-001                  1.7347166184524486E-003                  9.9999981485401479E-001                  9.8155291515376319E-001                 -1.5341157714979136E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6268254261906390E+000                  6.7592267969729356E+005                  1.5172429925254660E+000                  1.0282294803340817E+000                  2.2845203797369051E+000                 -2.9734990077461092E-002                  5.7788284639880896E+000                 -2.1625839036753609E+000                  1.1753233453462354E+001                  7.4276700000000007E-001                  2.3997445916978474E-001                  2.3997445916978477E-001                  5.9421360000000001E-001                  1.9197956733582791E-001                  3.4093960833876786E+000                  0.0000000000000000E+000                  2.5434967722171699E+001                  2.3151978410940498E+002                  1.4665353856545320E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      10                                      610                  2.5958682111999992E-004                 -4.2873687855713767E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.5564645570412665E-001                  1.7347166289207318E-003                  9.9999980764299812E-001                  9.8155291515278764E-001                  9.5564645570412665E-001                  1.7347166289207318E-003                  9.9999980764299812E-001                  9.8155291515278764E-001                 -1.5341158996353613E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6245981988314662E+000                  6.7344337267154537E+005                  1.5081746494947323E+000                  1.0281497635370609E+000                  2.2846798133309472E+000                 -2.3002374945969073E-002                  5.7788285245502049E+000                 -2.1625837977354636E+000                  1.1753233620381243E+001                  7.4276700000000007E-001                  2.3997445916978474E-001                  2.3997445916978477E-001                  5.9421360000000001E-001                  1.9197956733582791E-001                  3.4117710695759040E+000                  0.0000000000000000E+000                  2.5509634616844963E+001                  2.3195886363494168E+002                  1.4655145078715726E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      20                                      609                  1.8668799962237360E-003                 -3.4955563250951283E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.5793380852203591E-001                  1.7347166885669336E-003                  9.9999980764299812E-001                  9.8034146295922842E-001                  9.5793380852203591E-001                  1.7347166885669336E-003                  9.9999980764299812E-001                  9.8034146295922842E-001                 -1.5341164254841184E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6186192609627028E+000                  6.6647671458142728E+005                  1.4837425582515282E+000                  1.0278915936529855E+000                  2.2851961530990978E+000                 -8.4595492419897497E-003                  5.7788287748483542E+000                 -2.1625833991809311E+000                  1.1753234271152621E+001                  7.4276700000000007E-001                  2.3997445916978474E-001                  2.3997445916978477E-001                  5.9421359999999990E-001                  1.9197956733582786E-001                  3.4190630212877271E+000                  0.0000000000000000E+000                  2.5716392570460147E+001                  2.3307162221099068E+002                  1.4623889553567930E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      30                                      611                  1.1818815689988476E-002                 -2.7037438646188803E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6101140362606652E-001                  1.7347169128020272E-003                  9.9999979527048566E-001                  9.7623933049175382E-001                  9.6101140362606652E-001                  1.7347169128020272E-003                  9.9999979527048566E-001                  9.7623933049175382E-001                 -1.5341173870851533E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6140530515852118E+000                  6.6078666153579368E+005                  1.4648850201929164E+000                  1.0275952433786608E+000                  2.2857888536477473E+000                 -8.9801100917930954E-004                  5.7788294334962167E+000                 -2.1625823962540447E+000                  1.1753235938004865E+001                  7.4276700000000007E-001                  2.3997445916978474E-001                  2.3997445916978477E-001                  5.9421359999999990E-001                  1.9197956733582791E-001                  3.4264159562273533E+000                  0.0000000000000000E+000                  2.5887246079106472E+001                  2.3389542959771629E+002                  1.4592507342585566E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        5 
                                      40                                      611                  7.3438578398454205E-002                 -1.9119314041426323E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999979527048566E-001                  8.6270062669322476E-004                  5.0001962403312440E-006                  7.8128066013404824E-008                  9.9999979527048566E-001                  8.6270062669322476E-004                  5.0001962403312440E-006                  7.8128066013404824E-008                 -1.5341172055588137E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6132356956614129E+000                  6.5972771777217684E+005                  1.4613966746825267E+000                  1.0274857824710644E+000                  2.2860077754629398E+000                 -3.2386086392899282E-005                  5.7788313661813175E+000                 -2.1625794646398582E+000                  1.1753240817846406E+001                  7.4276700000000007E-001                  2.3997445916978474E-001                  2.3997445916978477E-001                  5.9421359999999979E-001                  1.9197956733582786E-001                  3.4285171305238831E+000                  0.0000000000000000E+000                  2.5924682830816085E+001                  2.3408906945915052E+002                  1.4583564292227969E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      50                                      611                  4.5497190750010674E-001                 -1.1201189436663841E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999979527048566E-001                  8.6269630717591788E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999979527048566E-001                  8.6269630717591788E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5341091809918391E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6131978499525834E+000                  6.5967782161954010E+005                  1.4612024729025264E+000                  1.0274643729987227E+000                  2.2860505944076235E+000                 -1.5025400162929128E-006                  5.7788403121056851E+000                 -2.1625658917407113E+000                  1.1753263408597034E+001                  7.4276700000000007E-001                  2.3997445916978474E-001                  2.3997445916978477E-001                  5.9421359999999990E-001                  1.9197956733582786E-001                  3.4288039794830967E+000                  0.0000000000000000E+000                  2.5928368694691773E+001                  2.3411535950505629E+002                  1.4582344251577093E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        2 
                                      60                                      611                  2.8173257176583335E+000                 -3.2830648319013606E-001                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999979527048566E-001                  2.4318833427064811E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999979527048566E-001                  2.4318833427064811E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5340539137240036E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6132003097436685E+000                  6.5967975361110980E+005                  1.4611388795012183E+000                  1.0274276567158993E+000                  2.2861240269732699E+000                 -1.2622519421972639E-006                  5.7788941538103975E+000                 -2.1624841995422805E+000                  1.1753399375443781E+001                  7.4276700000000007E-001                  2.3997445916978474E-001                  2.3997445916978477E-001                  5.9421359999999979E-001                  1.9197956733582783E-001                  3.4292375205323049E+000                  0.0000000000000000E+000                  2.5932679716725346E+001                  2.3415431149621185E+002                  1.4580500679999188E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      70                                      611                  1.7444397846610439E+001                  4.6350597728611198E-001                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999979527048566E-001                  1.2688398116593273E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999979527048566E-001                  1.2688398116593273E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5337123248730334E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6132173373541159E+000                  6.5969413230141543E+005                  1.4607570443262432E+000                  1.0272026839075155E+000                  2.2865739725900376E+000                 -1.2596407460968874E-006                  5.7792280334366435E+000                 -2.1619776158424515E+000                  1.1754242525787724E+001                  7.4276700000000007E-001                  2.3997445916978474E-001                  2.3997445916978477E-001                  5.9421359999999979E-001                  1.9197956733582783E-001                  3.4318939848541237E+000                  0.0000000000000000E+000                  2.5959051982676886E+001                  2.3439294645912966E+002                  1.4569214614630732E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      80                                      611                  1.0801137310051506E+002                  1.2553184377623601E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999979527048566E-001                  7.8128066051839367E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999979527048566E-001                  7.8128066051839367E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5316117175260656E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6133220426947608E+000                  6.5978247436014237E+005                  1.4584053329796218E+000                  1.0258174175529160E+000                  2.2893445052992365E+000                 -1.2445952519018046E-006                  5.7810945860321832E+000                 -2.1586547986454598E+000                  1.1759444547495134E+001                  7.4276700000000018E-001                  2.3997445916978469E-001                  2.3997445916978477E-001                  5.9421359999999979E-001                  1.9197956733582783E-001                  3.4482815266230351E+000                  0.0000000000000000E+000                  2.6122035067880400E+001                  2.3586771411113466E+002                  1.4499976180589266E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        4 
