                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      8.0000000000000004E-001      6.1139999999999996E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                       pp                                      cno                             he_core_mass                                 log_Teff                       photosphere_csound                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                              surface_he4                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                          acoustic_cutoff                          acoustic_radius                            ng_for_nu_max                          gs_per_delta_nu                              num_retries                              num_backups                                num_iters 
                                       1                                      617                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.5328165259984532E-001                  1.7360520448565057E-003                  9.9999981184599429E-001                  9.8184971303280555E-001                  9.5328165259984532E-001                  1.7360520448565057E-003                  9.9999981184599429E-001                  9.8184971303280555E-001                 -1.5359084755064437E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6559062056797322E+000                  7.0025771987734770E+005                  1.6367973855230169E+000                  1.0298451178546697E+000                  2.2812891046957295E+000                 -2.9936315929613364E-002                  5.7788966911578639E+000                 -2.1692513609279569E+000                  1.1744612781819882E+001                  7.3388600000000004E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  5.8710879999999999E-001                  2.0797786461381346E-001                  3.4149080297613859E+000                  0.0000000000000000E+000                  2.4415157265213001E+001                  2.2401169760771126E+002                  1.4641682752285927E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      10                                      618                  2.5958682111999992E-004                 -4.2873687855713767E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.5328165259984510E-001                  1.7360520626581615E-003                  9.9999979956663643E-001                  9.8184971303165436E-001                  9.5328165259984510E-001                  1.7360520626581615E-003                  9.9999979956663643E-001                  9.8184971303165436E-001                 -1.5359085977950084E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6537981196024978E+000                  6.9818303175257554E+005                  1.6281983171509984E+000                  1.0297617558231296E+000                  2.2814558287588094E+000                 -2.3360822207988262E-002                  5.7788967527764736E+000                 -2.1692512629356369E+000                  1.1744612941883201E+001                  7.3388600000000004E-001                  2.5997233076726683E-001                  2.5997233076726678E-001                  5.8710880000000010E-001                  2.0797786461381343E-001                  3.4172154535608041E+000                  0.0000000000000000E+000                  2.4483882868095009E+001                  2.2453021853448243E+002                  1.4631796174250307E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      20                                      611                  1.8668799962237360E-003                 -3.4955563250951283E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6390230934049081E-001                  1.7360521511955366E-003                  9.9999978399050837E-001                  9.8126254938913737E-001                  9.6390230934049081E-001                  1.7360521511955366E-003                  9.9999978399050837E-001                  9.8126254938913737E-001                 -1.5359091187553378E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6479690554710307E+000                  6.9229479873526760E+005                  1.6043343014507143E+000                  1.0294878762359221E+000                  2.2820035879332243E+000                 -8.7374842223902124E-003                  5.7788969646386636E+000                 -2.1692508768066974E+000                  1.1744613541192473E+001                  7.3388600000000004E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  5.8710879999999999E-001                  2.0797786461381343E-001                  3.4243639781290991E+000                  0.0000000000000000E+000                  2.4679853897769970E+001                  2.2595876347819356E+002                  1.4601251595724790E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      30                                      610                  1.1818815689988476E-002                 -2.7037438646188803E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.6390230934049093E-001                  1.7360522507717810E-003                  9.9999978399050837E-001                  9.7734392780332069E-001                  9.6390230934049093E-001                  1.7360522507717810E-003                  9.9999978399050837E-001                  9.7734392780332069E-001                 -1.5359099950409854E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6434490517143576E+000                  6.8755447868411697E+005                  1.5856095839092506E+000                  1.0291655249785359E+000                  2.2826482904479972E+000                 -9.6099837403789063E-004                  5.7788972050101561E+000                 -2.1692494419495243E+000                  1.1744615213109590E+001                  7.3388600000000004E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  5.8710879999999999E-001                  2.0797786461381343E-001                  3.4317180265058731E+000                  0.0000000000000000E+000                  2.4845474125064012E+001                  2.2712400212253883E+002                  1.4569961638401070E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      40                                      610                  7.3438578398454205E-002                 -1.9119314041426323E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999977315876809E-001                  8.6337243355167433E-004                  6.8314373350679904E-005                  7.8128377289120655E-008                  9.9999977315876809E-001                  8.6337243355167433E-004                  6.8314373350679904E-005                  7.8128377289120655E-008                 -1.5359094213045294E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6426390374923305E+000                  6.8668624201792141E+005                  1.5821194511215151E+000                  1.0290404870287231E+000                  2.2828983663476228E+000                 -3.7488243451382308E-005                  5.7788984640889023E+000                 -2.1692452338260297E+000                  1.1744620678917835E+001                  7.3388600000000004E-001                  2.5997233076726683E-001                  2.5997233076726678E-001                  5.8710880000000010E-001                  2.0797786461381343E-001                  3.4339338496066243E+000                  0.0000000000000000E+000                  2.4882978928741959E+001                  2.2739699642248254E+002                  1.4560560042741583E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      50                                      610                  4.5497190750010674E-001                 -1.1201189436663841E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999977315876809E-001                  8.6336623094431452E-004                  6.8314373349454932E-005                  7.8128376063979149E-008                  9.9999977315876809E-001                  8.6336623094431452E-004                  6.8314373349454932E-005                  7.8128376063979149E-008                 -1.5358984650947443E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6426013438325091E+000                  6.8664529237994447E+005                  1.5819143363318318E+000                  1.0290133169535238E+000                  2.2829527064980208E+000                 -1.9799212590720787E-006                  5.7789084741003069E+000                 -2.1692271390020617E+000                  1.1744648846751426E+001                  7.3388600000000004E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  5.8710880000000010E-001                  2.0797786461381343E-001                  3.4342828980105646E+000                  0.0000000000000000E+000                  2.4887172543027766E+001                  2.2743189371906257E+002                  1.4559080158761630E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      60                                      610                  2.8173257176583335E+000                 -3.2830648319013606E-001                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999977315876809E-001                  2.4328425534497110E-004                  6.8314373348605378E-005                  7.8128375214174974E-008                  9.9999977315876809E-001                  2.4328425534497110E-004                  6.8314373348605378E-005                  7.8128375214174974E-008                 -1.5358251830818382E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6426045878944833E+000                  6.8664783313405782E+005                  1.5818298025578443E+000                  1.0289645619425813E+000                  2.2830502165199058E+000                 -1.6107805252550720E-006                  5.7789785291612947E+000                 -2.1691177383971922E+000                  1.1744828826470751E+001                  7.3388600000000004E-001                  2.5997233076726683E-001                  2.5997233076726678E-001                  5.8710880000000021E-001                  2.0797786461381346E-001                  3.4348583117687794E+000                  0.0000000000000000E+000                  2.4892667994934154E+001                  2.2748211003255850E+002                  1.4556641194976252E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      70                                      610                  1.7444397846610439E+001                  4.6350597728611198E-001                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999977315876809E-001                  7.8128374089583108E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999977315876809E-001                  7.8128374089583108E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5353728121627867E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6426269494924304E+000                  6.8666608638427721E+005                  1.5813238765295550E+000                  1.0286668757325428E+000                  2.2836455889399829E+000                 -1.6064634646195394E-006                  5.7793967109550390E+000                 -2.1684210267877360E+000                  1.1745946638849123E+001                  7.3388600000000004E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  5.8710879999999999E-001                  2.0797786461381343E-001                  3.4383723304723963E+000                  0.0000000000000000E+000                  2.4926174921027954E+001                  2.2778851124668520E+002                  1.4541764298437838E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      80                                      610                  1.0801137310051506E+002                  1.2553184377623601E+000                  8.0000000000000016E-001                  3.3201768437552126E+001                 -9.8999999999999986E+001                  9.9999978399050837E-001                  7.8128372796450015E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999978399050837E-001                  7.8128372796450015E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5325952298553114E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6427641641932200E+000                  6.8677804013463622E+005                  1.5782130594120536E+000                  1.0268370377722122E+000                  2.2873052648606440E+000                 -1.5812172232929266E-006                  5.7816436913350087E+000                 -2.1637973992013113E+000                  1.1752828719086924E+001                  7.3388600000000004E-001                  2.5997233076726683E-001                  2.5997233076726689E-001                  5.8710879999999999E-001                  2.0797786461381343E-001                  3.4600321623581896E+000                  0.0000000000000000E+000                  2.5133137485231085E+001                  2.2968104496830028E+002                  1.4450732725536989E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
