                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                       pp                                      cno                             he_core_mass                                 log_Teff                       photosphere_csound                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                              surface_he4                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                          acoustic_cutoff                          acoustic_radius                            ng_for_nu_max                          gs_per_delta_nu                              num_retries                              num_backups                                num_iters 
                                       1                                      611                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6324692380003929E-001                  1.7340509821343394E-003                  9.9999974409731940E-001                  9.8508029099029604E-001                  9.6324692380003929E-001                  1.7340509821343394E-003                  9.9999974409731940E-001                  9.8508029099029604E-001                 -1.5489154211571355E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6336870807122694E+000                  6.7732108812561212E+005                  1.7519475739706487E+000                  1.1318584620134122E+000                  2.1741724293863007E+000                 -4.7239946013226009E-002                  5.7788586184254793E+000                 -2.3756682681257435E+000                  1.1533553231030623E+001                  7.1999999999999997E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  7.1999999999999997E-001                  2.5997233076726667E-001                  2.6760920440643399E+000                  0.0000000000000000E+000                  1.9572775430363610E+001                  1.8095052875663418E+002                  1.8683961230295364E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                       5                                      609                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6324692380003929E-001                  1.7340509875539876E-003                  9.9999974409731940E-001                  9.8508029098977101E-001                  9.6324692380003929E-001                  1.7340509875539876E-003                  9.9999974409731940E-001                  9.8508029098977101E-001                 -1.5489154534238869E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6328346847732647E+000                  6.7648776948577631E+005                  1.7484802428434723E+000                  1.1318295883278331E+000                  2.1742301767574586E+000                 -4.4456243922542292E-002                  5.7788586341301551E+000                 -2.3756682388721893E+000                  1.1533553276082289E+001                  7.1999999999999997E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  7.1999999999999997E-001                  2.5997233076726667E-001                  2.6767549175130378E+000                  0.0000000000000000E+000                  1.9594598026227324E+001                  1.8111027856235907E+002                  1.8679334321146889E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      10                                      609                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6324692380003929E-001                  1.7340510029355983E-003                  9.9999974409731940E-001                  9.8508029098807404E-001                  9.6324692380003929E-001                  1.7340510029355983E-003                  9.9999974409731940E-001                  9.8508029098807404E-001                 -1.5489155380299509E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6308458380169375E+000                  6.7452566476457333E+005                  1.7403803908790538E+000                  1.1317573558582790E+000                  2.1743746416965672E+000                 -3.7129505087332655E-002                  5.7788586764297367E+000                 -2.3756681655208034E+000                  1.1533553392009138E+001                  7.2000000000000008E-001                  2.5997233076726689E-001                  2.5997233076726695E-001                  7.1999999999999997E-001                  2.5997233076726667E-001                  2.6783927731748607E+000                  0.0000000000000000E+000                  1.9646050084619368E+001                  1.8148174134828034E+002                  1.8667911779321291E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      15                                      609                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6324692380003929E-001                  1.7340510402060522E-003                  9.9999974409731940E-001                  9.8508029098322047E-001                  9.6324692380003929E-001                  1.7340510402060522E-003                  9.9999974409731940E-001                  9.8508029098322047E-001                 -1.5489157109096299E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6274578089275500E+000                  6.7111651516412024E+005                  1.7265575613848605E+000                  1.1316219992899563E+000                  2.1746453548332121E+000                 -2.6239736634643931E-002                  5.7788587670306812E+000                 -2.3756680260118030E+000                  1.1533553622788300E+001                  7.1999999999999997E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  7.1999999999999997E-001                  2.5997233076726667E-001                  2.6813967160747203E+000                  0.0000000000000000E+000                  1.9735129228360808E+001                  1.8210561675294485E+002                  1.8646998297661333E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      20                                      608                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6324692380003929E-001                  1.7340511282692879E-003                  9.9999973359729910E-001                  9.8409148001655566E-001                  9.6324692380003929E-001                  1.7340511282692879E-003                  9.9999973359729910E-001                  9.8409148001655566E-001                 -1.5489160140492915E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6231405509602821E+000                  6.6662375527576788E+005                  1.7088846587738493E+000                  1.1314200639189869E+000                  2.1750492255751510E+000                 -1.4304562676473844E-002                  5.7788589135839254E+000                 -2.3756677789217417E+000                  1.1533554017418780E+001                  7.2000000000000008E-001                  2.5997233076726689E-001                  2.5997233076726695E-001                  7.1999999999999997E-001                  2.5997233076726667E-001                  2.6856955374590372E+000                  0.0000000000000000E+000                  1.9851918075303228E+001                  1.8288508561239900E+002                  1.8617151237964036E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      25                                      608                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6569198062201522E-001                  1.7340513256726287E-003                  9.9999973359729910E-001                  9.8304057640178155E-001                  9.6569198062201522E-001                  1.7340513256726287E-003                  9.9999973359729910E-001                  9.8304057640178155E-001                 -1.5489164438261053E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6193080816219720E+000                  6.6247021151844726E+005                  1.6931012000882573E+000                  1.1311932732528103E+000                  2.1755028069075046E+000                 -5.7636499720960903E-003                  5.7788590693565229E+000                 -2.3756673212911696E+000                  1.1533554631003387E+001                  7.1999999999999997E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  7.1999999999999997E-001                  2.5997233076726667E-001                  2.6902009318308688E+000                  0.0000000000000000E+000                  1.9960540185959463E+001                  1.8357094206056709E+002                  1.8585972299835432E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      30                                      606                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6569198062201500E-001                  1.7340517265937638E-003                  9.9999972651354885E-001                  9.8133990823409512E-001                  9.6569198062201500E-001                  1.7340517265937638E-003                  9.9999972651354885E-001                  9.8133990823409512E-001                 -1.5489169026759942E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6169718007892535E+000                  6.5984809934834437E+005                  1.6833791572872165E+000                  1.1310048135177273E+000                  2.1758797263776701E+000                 -1.6971575435028986E-003                  5.7788592183045324E+000                 -2.3756665405412023E+000                  1.1533555559347610E+001                  7.2000000000000008E-001                  2.5997233076726689E-001                  2.5997233076726695E-001                  7.1999999999999997E-001                  2.5997233076726667E-001                  2.6935854194428748E+000                  0.0000000000000000E+000                  2.0031678907376605E+001                  1.8400552095479446E+002                  1.8562619042666821E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      35                                      605                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.6919463723268040E-001                  1.7340523757019622E-003                  9.9999972651354885E-001                  9.7882000827511839E-001                  9.6919463723268040E-001                  1.7340523757019622E-003                  9.9999972651354885E-001                  9.7882000827511839E-001                 -1.5489171101097089E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6160201058564891E+000                  6.5875737867889879E+005                  1.6793398059812712E+000                  1.1308885277302831E+000                  2.1761122979525584E+000                 -3.7256552216603800E-004                  5.7788594965277218E+000                 -2.3756652525000326E+000                  1.1533557123841321E+001                  7.1999999999999997E-001                  2.5997233076726683E-001                  2.5997233076726683E-001                  7.1999999999999997E-001                  2.5997233076726667E-001                  2.6953958610389970E+000                  0.0000000000000000E+000                  2.0064381148953629E+001                  1.8420970837456380E+002                  1.8550150915764354E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      40                                      605                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999972651354885E-001                  1.7340526760694166E-003                  6.8243496122496740E-005                  7.8128609342909492E-008                  9.9999972651354885E-001                  1.7340526760694166E-003                  6.8243496122496740E-005                  7.8128609342909492E-008                 -1.5489164362575362E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6157613964425486E+000                  6.5845791928124253E+005                  1.6781891541832961E+000                  1.1308306206591772E+000                  2.1762281120947709E+000                 -7.1336431012450105E-005                  5.7788603389733195E+000                 -2.3756628787830869E+000                  1.1533560341435651E+001                  7.2000000000000008E-001                  2.5997233076726689E-001                  2.5997233076726695E-001                  7.1999999999999997E-001                  2.5997233076726667E-001                  2.6961357730799613E+000                  0.0000000000000000E+000                  2.0075711133998134E+001                  1.8428672968313998E+002                  1.8545060118720183E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
