                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.1989200000000000E+034  0.1110872010043496E+013
                        1                        2                        3                        4                        5
                        l                     n_pg                 Re(freq)                 Im(freq)                   E_norm
                        0                        5  0.1190315920460332E+002  0.0000000000000000E+000  0.1737939509322632E-004
                        0                        6  0.1398320667752162E+002  0.0000000000000000E+000  0.1585332898782191E-004
                        0                        7  0.1611283772785190E+002  0.0000000000000000E+000  0.1271963629751747E-004
                        0                        8  0.1826698452305765E+002  0.0000000000000000E+000  0.1275741986501741E-004
                        0                        9  0.2048154983160154E+002  0.0000000000000000E+000  0.1224828311030909E-004
                        0                       10  0.2269076578051163E+002  0.0000000000000000E+000  0.1216928853071985E-004
                        0                       11  0.2492906423761057E+002  0.0000000000000000E+000  0.1217823149337200E-004
                        0                       12  0.2717267277205058E+002  0.0000000000000000E+000  0.1234445355631588E-004
                        0                       13  0.2943096762302005E+002  0.0000000000000000E+000  0.1239344936359280E-004
                        0                       14  0.3169167061301131E+002  0.0000000000000000E+000  0.1252794654217278E-004
                        0                       15  0.3396055919421629E+002  0.0000000000000000E+000  0.1258549032424243E-004
                        0                       16  0.3623281524380855E+002  0.0000000000000000E+000  0.1268108280356176E-004
                        0                       17  0.3851064871143499E+002  0.0000000000000000E+000  0.1265531780686632E-004
                        0                       18  0.4078817548322662E+002  0.0000000000000000E+000  0.1263977674292960E-004
                        0                       19  0.4307152868564857E+002  0.0000000000000000E+000  0.1256243629464120E-004
                        0                       20  0.4535383052010053E+002  0.0000000000000000E+000  0.1242452482353101E-004
                        0                       21  0.4763932261340495E+002  0.0000000000000000E+000  0.1226392779470926E-004
                        0                       22  0.4992474339575851E+002  0.0000000000000000E+000  0.1203421818198614E-004
                        0                       23  0.5221112291420820E+002  0.0000000000000000E+000  0.1177580537769875E-004
                        0                       24  0.5449741133651563E+002  0.0000000000000000E+000  0.1147430325950934E-004
                        0                       25  0.5678394675930804E+002  0.0000000000000000E+000  0.1114359121107375E-004
                        0                       26  0.5906993562878858E+002  0.0000000000000000E+000  0.1077683528047090E-004
                        0                       27  0.6135513945164251E+002  0.0000000000000000E+000  0.1039991165530383E-004
                        0                       28  0.6363971487320457E+002  0.0000000000000000E+000  0.1000958058029041E-004
                        0                       29  0.6592303506487002E+002  0.0000000000000000E+000  0.9612539175043827E-005
                        0                       30  0.6820542793876635E+002  0.0000000000000000E+000  0.9212775660869609E-005
                        0                       31  0.7048569016054665E+002  0.0000000000000000E+000  0.8828261218172363E-005
                        0                       32  0.7276514346905239E+002  0.0000000000000000E+000  0.8452019521558919E-005
                        0                       33  0.7504242176235958E+002  0.0000000000000000E+000  0.8095337998980900E-005
                        0                       34  0.7731815153489440E+002  0.0000000000000000E+000  0.7766765182743307E-005
                        0                       35  0.7959215500995388E+002  0.0000000000000000E+000  0.7465416711479501E-005
                        0                       36  0.8186455008117819E+002  0.0000000000000000E+000  0.7200238304131281E-005
                        0                       37  0.8413564360836889E+002  0.0000000000000000E+000  0.6963859841078157E-005
                        0                       38  0.8640488312508022E+002  0.0000000000000000E+000  0.6775203249180459E-005
                        0                       39  0.8867364578618009E+002  0.0000000000000000E+000  0.6622171497501733E-005
                        0                       40  0.9094162224604190E+002  0.0000000000000000E+000  0.6513144792939365E-005
                        0                       41  0.9320935032923428E+002  0.0000000000000000E+000  0.6443178748823103E-005
                        0                       42  0.9547721481191483E+002  0.0000000000000000E+000  0.6418875918825936E-005
                        0                       43  0.9774582605982698E+002  0.0000000000000000E+000  0.6426952357119991E-005
                        0                       44  0.1000150433258325E+003  0.0000000000000000E+000  0.6473419132895518E-005
                        0                       45  0.1022857902014845E+003  0.0000000000000000E+000  0.6553761790050611E-005
                        0                       46  0.1045577834210467E+003  0.0000000000000000E+000  0.6659682866134075E-005
                        0                       47  0.1068314663867266E+003  0.0000000000000000E+000  0.6793442014365343E-005
                        0                       48  0.1091070730672075E+003  0.0000000000000000E+000  0.6951768329800207E-005
                        0                       49  0.1113841809720476E+003  0.0000000000000000E+000  0.7122012174700321E-005
                        0                       50  0.1136632965530616E+003  0.0000000000000000E+000  0.7312400758696824E-005
                        0                       51  0.1159443485720676E+003  0.0000000000000000E+000  0.7505545181820448E-005
                        0                       52  0.1182268583334879E+003  0.0000000000000000E+000  0.7706530427467130E-005
                        0                       53  0.1205111864552752E+003  0.0000000000000000E+000  0.7901604064282408E-005
                        0                       54  0.1227971929327050E+003  0.0000000000000000E+000  0.8093719865479033E-005
                        0                       55  0.1250843907552146E+003  0.0000000000000000E+000  0.8273921021477657E-005
                        0                       56  0.1273726945187021E+003  0.0000000000000000E+000  0.8433940595521504E-005
                        0                       57  0.1296618774895861E+003  0.0000000000000000E+000  0.8580777218440735E-005
                        0                       58  0.1319521977085455E+003  0.0000000000000000E+000  0.8714672207857374E-005
                        0                       59  0.1342431183388479E+003  0.0000000000000000E+000  0.8807401895511871E-005
                        0                       60  0.1365342519823021E+003  0.0000000000000000E+000  0.8883424757590099E-005
                        0                       61  0.1388255706106746E+003  0.0000000000000000E+000  0.8945092226668126E-005
                        0                       62  0.1411175016771153E+003  0.0000000000000000E+000  0.8982347237832138E-005
                        0                       63  0.1434098592478312E+003  0.0000000000000000E+000  0.8983150262072914E-005
                        0                       64  0.1457022026136956E+003  0.0000000000000000E+000  0.8968483186632401E-005
                        0                       65  0.1479940901968418E+003  0.0000000000000000E+000  0.8912734638626152E-005
