                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      1.3999999999999999E+000      6.1139999999999996E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                       pp                                      cno                             he_core_mass                                 log_Teff                       photosphere_csound                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                              surface_he4                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                          acoustic_cutoff                          acoustic_radius                            ng_for_nu_max                          gs_per_delta_nu                              num_retries                              num_backups                                num_iters 
                                       1                                      594                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.6923210782237657E-001                  1.7366354858104882E-003                  9.9999968765496605E-001                  9.8374649635339872E-001                  9.6923210782237657E-001                  1.7366354858104882E-003                  9.9999968765496605E-001                  9.8374649635339872E-001                 -1.5561428672213719E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6675307001434980E+000                  7.1857676099341887E+005                  2.1457123632743751E+000                  1.2610536178028173E+000                  2.0619101534857283E+000                 -6.3592418068634429E-002                  5.7788612149623502E+000                 -2.6295369765222083E+000                  1.1292710485547158E+001                  7.5388600000000006E-001                  2.3997445916978469E-001                  2.3997445916978472E-001                  1.0554404000000008E+000                  3.3596424283769871E-001                  2.0629217288884978E+000                  0.0000000000000000E+000                  1.4536783673295886E+001                  1.3253852890595047E+002                  2.4237468295483995E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      10                                      596                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.6923210782237657E-001                  1.7366356258279828E-003                  9.9999966344654334E-001                  9.8374649635040246E-001                  9.6923210782237657E-001                  1.7366356258279828E-003                  9.9999966344654334E-001                  9.8374649635040246E-001                 -1.5561429709907399E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6651278685058086E+000                  7.1641656950148393E+005                  2.1358854896104176E+000                  1.2609458442462176E+000                  2.0621257005989277E+000                 -5.0494535095224793E-002                  5.7788612720139545E+000                 -2.6295368701973234E+000                  1.1292710649213497E+001                  7.5388600000000006E-001                  2.3997445916978469E-001                  2.3997445916978472E-001                  1.0554404000000006E+000                  3.3596424283769860E-001                  2.0647527328013342E+000                  0.0000000000000000E+000                  1.4584289970301013E+001                  1.3294293066707505E+002                  2.4215974729411287E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      20                                      595                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.6923210782237634E-001                  1.7366365214498080E-003                  9.9999964827993781E-001                  9.8374649630252053E-001                  9.6923210782237634E-001                  1.7366365214498080E-003                  9.9999964827993781E-001                  9.8374649630252053E-001                 -1.5561433884863462E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6580555283827239E+000                  7.0991609792758687E+005                  2.1068551928590127E+000                  1.2605753761166847E+000                  2.0628666368579935E+000                 -2.0326917135298179E-002                  5.7788615122560936E+000                 -2.6295364871169467E+000                  1.1292711274034479E+001                  7.5388600000000006E-001                  2.3997445916978469E-001                  2.3997445916978472E-001                  1.0554404000000008E+000                  3.3596424283769860E-001                  2.0706280932417416E+000                  0.0000000000000000E+000                  1.4728631509997181E+001                  1.3414009260298218E+002                  2.4147262448139983E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      30                                      589                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.7085647929294860E-001                  1.7366419072248468E-003                  9.9999960052279391E-001                  9.7968296253083453E-001                  9.7085647929294860E-001                  1.7366419072248468E-003                  9.9999960052279391E-001                  9.7968296253083453E-001                 -1.5561441188605572E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6517824068525315E+000                  7.0394294096450147E+005                  2.0807731037486881E+000                  1.2600805746219066E+000                  2.0638562398475502E+000                 -2.7270757836654076E-003                  5.7788618060331807E+000                 -2.6295352178217493E+000                  1.1292712835496456E+001                  7.5388600000000006E-001                  2.3997445916978469E-001                  2.3997445916978472E-001                  1.0554404000000008E+000                  3.3596424283769860E-001                  2.0773725901222040E+000                  0.0000000000000000E+000                  1.4869232785535917E+001                  1.3526745655500847E+002                  2.4068864794763990E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      40                                      590                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.9999960052279391E-001                  1.7366655431603445E-003                  6.8334800854717544E-005                  7.8129702817757202E-008                  9.9999960052279391E-001                  1.7366655431603445E-003                  6.8334800854717544E-005                  7.8129702817757202E-008                 -1.5561427132804488E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6504281044833409E+000                  7.0262402421993250E+005                  2.0748747191927466E+000                  1.2598399870823185E+000                  2.0643374149267264E+000                 -1.3331925859575968E-004                  5.7788632652341176E+000                 -2.6295306280960138E+000                  1.1292718883796628E+001                  7.5388600000000006E-001                  2.3997445916978469E-001                  2.3997445916978472E-001                  1.0554404000000011E+000                  3.3596424283769860E-001                  2.0798825928652329E+000                  0.0000000000000000E+000                  1.4908944116652030E+001                  1.3558917892985167E+002                  2.4039818483754084E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      50                                      590                  4.5497190750010674E-001                 -1.1201189436663841E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.9999960052279391E-001                  8.6379635749951221E-004                  6.8334800857140139E-005                  7.8129705240379825E-008                  9.9999960052279391E-001                  8.6379635749951221E-004                  6.8334800857140139E-005                  7.8129705240379825E-008                 -1.5561227989928472E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6503577023555582E+000                  7.0255456794376276E+005                  2.0744644884168695E+000                  1.2597756759499443E+000                  2.0644660371914743E+000                 -7.6582076695390564E-006                  5.7788780950005441E+000                 -2.6295047393315287E+000                  1.1292759685183402E+001                  7.5388600000000006E-001                  2.3997445916978469E-001                  2.3997445916978472E-001                  1.0554404000000006E+000                  3.3596424283769860E-001                  2.0803682097137068E+000                  0.0000000000000000E+000                  1.4914569086977913E+001                  1.3563811023460619E+002                  2.4034206909401307E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      60                                      590                  2.8173257176583335E+000                 -3.2830648319013606E-001                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.9999960052279391E-001                  2.4335961985037181E-004                  6.8334800858024170E-005                  7.8129706124566893E-008                  9.9999960052279391E-001                  2.4335961985037181E-004                  6.8334800858024170E-005                  7.8129706124566893E-008                 -1.5559940022343071E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6503641827152515E+000                  7.0255986497955443E+005                  2.0743157882000389E+000                  1.2596883651221431E+000                  2.0646406588470767E+000                 -4.6335978811146775E-006                  5.7789998315545459E+000                 -2.6293154125137250E+000                  1.1293071528134353E+001                  7.5388600000000006E-001                  2.3997445916978472E-001                  2.3997445916978469E-001                  1.0554404000000006E+000                  3.3596424283769860E-001                  2.0809887031262915E+000                  0.0000000000000000E+000                  1.4920455842104058E+001                  1.3569166112505749E+002                  2.4027040572053305E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      70                                      590                  1.7444397846610439E+001                  4.6350597728611198E-001                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.9999960052279391E-001                  1.2813223052103416E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999960052279391E-001                  1.2813223052103416E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5552034883674475E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6504129234954084E+000                  7.0260137805099110E+005                  2.0734815809063432E+000                  1.2591737799149814E+000                  2.0656698292614002E+000                 -4.6118564648309269E-006                  5.7797568854469725E+000                 -2.6281224604988092E+000                  1.1295026303270038E+001                  7.5388600000000006E-001                  2.3997445916978472E-001                  2.3997445916978480E-001                  1.0554404000000011E+000                  3.3596424283769871E-001                  2.0846533648993830E+000                  0.0000000000000000E+000                  1.4955016333921197E+001                  1.3600636788676823E+002                  2.3984802865493795E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      80                                      590                  1.0801137310051506E+002                  1.2553184377623601E+000                  1.3999999999999999E+000                  3.3444806486238420E+001                 -9.8999999999999986E+001                  9.9999960052279391E-001                  7.8129704070046935E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999960052279391E-001                  7.8129704070046935E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5503762124538051E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6507101626881102E+000                  7.0285439690132788E+005                  2.0683749380919418E+000                  1.2560259801223770E+000                  2.0719654288466089E+000                 -4.4905540447223687E-006                  5.7831437204093490E+000                 -2.6195308819163752E+000                  1.1307011789700875E+001                  7.5388600000000006E-001                  2.3997445916978472E-001                  2.3997445916978480E-001                  1.0554404000000011E+000                  3.3596424283769871E-001                  2.1071755592306172E+000                  0.0000000000000000E+000                  1.5168193897766740E+001                  1.3794754007132840E+002                  2.3728445302514924E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
