                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      1.8000000000000000E+000      1.2200000000000001E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                       pp                                      cno                             he_core_mass                                 log_Teff                       photosphere_csound                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                              surface_he4                            total_mass_h1                           total_mass_he4                                 delta_nu                                 delta_Pg                                   nu_max                          acoustic_cutoff                          acoustic_radius                            ng_for_nu_max                          gs_per_delta_nu                              num_retries                              num_backups                                num_iters 
                                       1                                      584                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.8000000000000000E+000                  3.3553950955663488E+001                 -9.8999999999999986E+001                  9.9999944881395419E-001                  1.7352109760438808E-003                  6.8283403278464913E-005                  7.8131163799041552E-008                  9.9999944881395419E-001                  1.7352109760438808E-003                  6.8283403278464913E-005                  7.8131163799041552E-008                 -1.5857749553142229E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6620642900310103E+000                  6.8594915058296092E+005                  2.4003176144874425E+000                  1.3992890636343276E+000                  1.8945837312477760E+000                 -8.9105788012540724E-002                  5.7788872491548657E+000                 -2.9278993814736269E+000                  1.0966952487615258E+001                  6.6779999999999995E-001                  3.1996594555971297E-001                  3.1996594555971297E-001                  1.2020399999999998E+000                  5.7593870200748276E-001                  1.4593958815538948E+000                  0.0000000000000000E+000                  9.9511921088881987E+000                  9.4709123587730701E+001                  3.4260751748019457E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      10                                      584                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.8000000000000000E+000                  3.3553950955663488E+001                 -9.8999999999999986E+001                  9.9999942108486484E-001                  1.7352112496100906E-003                  6.8283403278242868E-005                  7.8131163576996947E-008                  9.9999942108486484E-001                  1.7352112496100906E-003                  6.8283403278242868E-005                  7.8131163576996947E-008                 -1.5857750426491892E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6591546893284832E+000                  6.8356238964910258E+005                  2.3884667679862761E+000                  1.3991828417887988E+000                  1.8947961749388333E+000                 -7.2326233834309805E-002                  5.7788872921348409E+000                 -2.9278992603289269E+000                  1.0966952651812557E+001                  6.6779999999999995E-001                  3.1996594555971297E-001                  3.1996594555971297E-001                  1.2020399999999998E+000                  5.7593870200748276E-001                  1.4605655675131877E+000                  0.0000000000000000E+000                  9.9894678723486194E+000                  9.5062045769553706E+001                  3.4233314212063636E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      20                                      583                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.8000000000000000E+000                  3.3553950955663488E+001                 -9.8999999999999986E+001                  9.9999936357819330E-001                  1.7352130640180461E-003                  6.8283403278242868E-005                  7.8131163576996947E-008                  9.9999936357819330E-001                  1.7352130640180461E-003                  6.8283403278242868E-005                  7.8131163576996947E-008                 -1.5857753834261638E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6506353031558221E+000                  6.7636454643815162E+005                  2.3536182066570470E+000                  1.3987973334695061E+000                  1.8955671915774190E+000                 -3.1715354574574112E-002                  5.7788875398877710E+000                 -2.9278988603034590E+000                  1.0966953301609008E+001                  6.6779999999999995E-001                  3.1996594555971297E-001                  3.1996594555971297E-001                  1.2020399999999998E+000                  5.7593870200748276E-001                  1.4645817978598823E+000                  0.0000000000000000E+000                  1.0105855036135774E+001                  9.6101801029692453E+001                  3.4139438352342229E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      30                                      582                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.8000000000000000E+000                  3.3553950955663488E+001                 -9.8999999999999986E+001                  9.9999932347697085E-001                  1.7352246448490273E-003                  6.8283403278242868E-005                  7.8131163576996947E-008                  9.9999932347697085E-001                  1.7352246448490273E-003                  6.8283403278242868E-005                  7.8131163576996947E-008                 -1.5857758471690776E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6428961778198676E+000                  6.6958064295364683E+005                  2.3214993504686516E+000                  1.3982161560472171E+000                  1.8967295464219973E+000                 -5.0324256766202877E-003                  5.7788879759270948E+000                 -2.9278974779781310E+000                  1.0966955119888585E+001                  6.6779999999999995E-001                  3.1996594555971297E-001                  3.1996594555971297E-001                  1.2020399999999998E+000                  5.7593870200748276E-001                  1.4698604353143379E+000                  0.0000000000000000E+000                  1.0223626657507497E+001                  9.7118776308896216E+001                  3.4016835067274410E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      40                                      583                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.8000000000000000E+000                  3.3553950955663488E+001                 -9.8999999999999986E+001                  9.9999930287939232E-001                  1.7352878174330592E-003                  6.8283403278242868E-005                  7.8131163576996947E-008                  9.9999930287939232E-001                  1.7352878174330592E-003                  6.8283403278242868E-005                  7.8131163576996947E-008                 -1.5857731704074636E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6410819002315442E+000                  6.6795998104364111E+005                  2.3135698059178904E+000                  1.3978799389484826E+000                  1.8974019806194660E+000                 -2.9457312246227498E-004                  5.7788900815943594E+000                 -2.9278916765055434E+000                  1.0966963031303004E+001                  6.6779999999999995E-001                  3.1996594555971297E-001                  3.1996594555971297E-001                  1.2020399999999998E+000                  5.7593870200748276E-001                  1.4722090807085590E+000                  0.0000000000000000E+000                  1.0260878726242076E+001                  9.7442624742542435E+001                  3.3962567311387265E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      50                                      581                  4.5497190750010674E-001                 -1.1201189436663841E+000                  1.8000000000000000E+000                  3.3553950955663488E+001                 -9.8999999999999986E+001                  9.9999930287939232E-001                  1.7352236672918298E-003                  6.8283403278242868E-005                  7.8131163576996947E-008                  9.9999930287939232E-001                  1.7352236672918298E-003                  6.8283403278242868E-005                  7.8131163576996947E-008                 -1.5857443615574216E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6409563621499874E+000                  6.6784674542058597E+005                  2.3128630427872556E+000                  1.3977776335462784E+000                  1.8976065914238744E+000                 -1.7888409153472213E-005                  5.7789105206187745E+000                 -2.9278563841148619E+000                  1.0967018916910702E+001                  6.6779999999999995E-001                  3.1996594555971297E-001                  3.1996594555971297E-001                  1.2020399999999998E+000                  5.7593870200748276E-001                  1.4727466224384962E+000                  0.0000000000000000E+000                  1.0267197933617069E+001                  9.7500391038020766E+001                  3.3950171223080205E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        6 
                                      60                                      582                  2.8173257176583335E+000                 -3.2830648319013606E-001                  1.8000000000000000E+000                  3.3553950955663488E+001                 -9.8999999999999986E+001                  9.9999930287939232E-001                  1.3340521557156371E-004                  1.0000789044625976E-005                  7.8131162492762772E-008                  9.9999930287939232E-001                  1.3340521557156371E-004                  1.0000789044625976E-005                  7.8131162492762772E-008                 -1.5855585766770155E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6409672193896832E+000                  6.6785533467992465E+005                  2.3126492413977786E+000                  1.3976490183721499E+000                  1.8978638217721311E+000                 -9.6659050344747106E-006                  5.7790757039628833E+000                 -2.9275761194491619E+000                  1.0967465637300901E+001                  6.6779999999999995E-001                  3.1996594555971297E-001                  3.1996594555971303E-001                  1.2020399999999998E+000                  5.7593870200748276E-001                  1.4733911191909783E+000                  0.0000000000000000E+000                  1.0273152528735325E+001                  9.7556980856062651E+001                  3.3935320600720338E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      70                                      582                  1.7444397846610439E+001                  4.6350597728611198E-001                  1.8000000000000000E+000                  3.3553950955663488E+001                 -9.8999999999999986E+001                  9.9999930287939232E-001                  1.2757902534033829E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999930287939232E-001                  1.2757902534033829E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5844214564790875E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6410498561095510E+000                  6.6792292212280491E+005                  2.3114959748377597E+000                  1.3969071116524041E+000                  1.8993476352116230E+000                 -9.5993307964946724E-006                  5.7801787337460127E+000                 -2.9258763403059542E+000                  1.0970277847145393E+001                  6.6779999999999995E-001                  3.1996594555971297E-001                  3.1996594555971303E-001                  1.2020399999999998E+000                  5.7593870200748276E-001                  1.4771232755881998E+000                  0.0000000000000000E+000                  1.0307331202955380E+001                  9.7882128489535049E+001                  3.3849578316399956E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
                                      80                                      582                  1.0801137310051506E+002                  1.2553184377623601E+000                  1.8000000000000000E+000                  3.3553950955663488E+001                 -9.8999999999999986E+001                  9.9999932347697085E-001                  7.8131162492762772E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999932347697085E-001                  7.8131162492762772E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5775147938017286E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6415459453348937E+000                  6.6832823699226475E+005                  2.3044478420012520E+000                  1.3923908667834652E+000                  1.9083801249495007E+000                 -9.2441159502471199E-006                  5.7847230034600363E+000                 -2.9132631018010677E+000                  1.0987443466701309E+001                  6.6779999999999995E-001                  3.1996594555971297E-001                  3.1996594555971303E-001                  1.2020399999999998E+000                  5.7593870200748276E-001                  1.5000053342581834E+000                  0.0000000000000000E+000                  1.0517939695798235E+001                  9.9885589959717237E+001                  3.3333214794684137E+005                 -9.9999999999999997E+098                 -9.9999999999999997E+098                                        0                                        0                                        3 
