Inference for Stan model: anon_model_36d21e616971c881d1e45dd863be4cb0.
4 chains, each with iter=12000; warmup=6000; thin=1; 
post-warmup draws per chain=6000, total post-warmup draws=24000.

                   mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]             4.63  1.3e-3 9.3e-3   4.61   4.62   4.63   4.64   4.65   52.0   1.09
dnu[2]             5.28  9.3e-4 9.9e-3   5.26   5.28   5.28   5.29    5.3  113.0   1.05
dnu[3]              4.7  8.4e-4 9.6e-3   4.69    4.7    4.7   4.71   4.72  132.0   1.03
dnu[4]             5.76  6.8e-4 7.0e-3   5.75   5.76   5.76   5.77   5.78  107.0   1.05
dnu[5]             6.48  1.0e-3   0.01   6.46   6.47   6.48   6.49    6.5  117.0   1.02
dnu[6]             6.31  8.3e-4   0.01   6.29   6.31   6.31   6.32   6.33  151.0   1.03
dnu[7]             4.74  5.5e-4 6.9e-3   4.73   4.74   4.74   4.75   4.76  161.0   1.03
dnu[8]             4.59  6.3e-4 7.4e-3   4.58   4.59   4.59    4.6   4.61  141.0   1.05
dnu[9]             8.44  4.6e-4 5.9e-3   8.42   8.43   8.44   8.44   8.45  162.0   1.01
dnu[10]            7.05  5.2e-4 6.9e-3   7.03   7.04   7.05   7.05   7.06  172.0   1.02
dnu[11]            5.64  5.7e-4 7.1e-3   5.63   5.63   5.64   5.64   5.65  156.0   1.02
dnu[12]            4.83  6.1e-4 7.2e-3   4.81   4.82   4.83   4.83   4.84  141.0   1.02
dnu[13]            4.63  7.4e-4 8.1e-3   4.61   4.62   4.63   4.63   4.64  119.0   1.03
dnu[14]            5.67  5.3e-4 6.7e-3   5.66   5.67   5.67   5.68   5.69  158.0   1.04
dnu[15]            5.31  1.2e-3   0.01   5.29    5.3   5.31   5.32   5.33   82.0   1.05
dnu[16]            5.14  6.4e-4 6.8e-3   5.12   5.13   5.14   5.14   5.15  114.0   1.05
dnu[17]             7.3  5.7e-4 7.2e-3   7.28   7.29    7.3    7.3   7.31  160.0   1.01
dnu[18]            4.93  8.3e-4 7.4e-3   4.92   4.93   4.93   4.94   4.95   80.0   1.04
dnu[19]            5.88  4.0e-4 5.4e-3   5.87   5.88   5.88   5.89   5.89  179.0   1.01
dnu[20]            4.87  8.5e-4   0.01   4.85   4.86   4.87   4.88   4.89  165.0   1.02
dnu[21]             9.1  4.3e-4 6.2e-3   9.09    9.1    9.1    9.1   9.11  212.0   1.01
dnu[22]            5.19  4.5e-4 5.7e-3   5.18   5.19   5.19    5.2   5.21  159.0   1.02
dnu[23]            4.99  6.8e-4 8.2e-3   4.97   4.99   4.99    5.0   5.01  147.0   1.01
dnu[24]            8.08  7.0e-4 6.9e-3   8.07   8.07   8.08   8.08   8.09   99.0   1.02
dnu[25]            4.73  7.7e-4 8.4e-3   4.71   4.72   4.73   4.73   4.74  120.0   1.06
dnu[26]            6.17  6.9e-4 7.5e-3   6.16   6.17   6.17   6.18   6.19  118.0   1.01
dnu[27]            5.24  1.4e-3   0.01   5.21   5.23   5.24   5.24   5.26   91.0   1.02
dnu[28]            6.72  8.8e-4   0.01    6.7   6.72   6.72   6.73   6.74  139.0   1.05
dnu[29]            8.79  1.9e-3   0.02   8.74   8.77   8.79    8.8   8.83  136.0   1.03
dnu[30]            4.79  5.9e-4 7.0e-3   4.78   4.79   4.79    4.8   4.81  140.0   1.05
dnu[31]            7.29  1.0e-3   0.01   7.27   7.28   7.29    7.3   7.31  137.0   1.02
dnu[32]            5.89  1.2e-3   0.01   5.87   5.88   5.89    5.9   5.91   66.0   1.06
dnu[33]            6.08  1.0e-3 8.3e-3   6.07   6.08   6.08   6.09    6.1   68.0   1.09
dnu[34]            6.05  1.8e-3   0.01   6.02   6.04   6.05   6.06   6.07   38.0    1.1
dnu[35]            4.21  7.2e-3   0.03   4.16   4.19   4.21   4.22   4.26   13.0   1.16
dnu[36]            4.92  7.5e-4 8.8e-3    4.9   4.91   4.92   4.92   4.93  137.0   1.01
dnu[37]            4.72  1.0e-3   0.01    4.7   4.71   4.72   4.73   4.74  100.0   1.03
dnu[38]            4.65  4.9e-4 6.9e-3   4.63   4.64   4.65   4.65   4.66  194.0   1.02
dnu[39]            5.39  8.5e-4 8.7e-3   5.37   5.38   5.39   5.39    5.4  104.0   1.04
dnu[40]            7.95  5.8e-4 7.3e-3   7.94   7.95   7.95   7.96   7.97  154.0   1.03
dnu[41]            8.82  4.0e-4 5.4e-3   8.81   8.81   8.82   8.82   8.83  176.0   1.04
dnu[42]            7.95  1.1e-3 9.4e-3   7.93   7.94   7.95   7.96   7.97   73.0   1.06
dnu[43]            6.15  7.8e-4 7.6e-3   6.13   6.14   6.15   6.15   6.16   94.0   1.02
dnu[44]            5.13  6.2e-4 5.9e-3   5.12   5.12   5.13   5.13   5.14   90.0   1.06
dnu[45]            5.59  8.2e-4 9.0e-3   5.58   5.59   5.59    5.6   5.61  120.0   1.02
dnu[46]            5.79  7.7e-4 8.3e-3   5.78   5.79   5.79    5.8   5.81  114.0   1.02
dnu[47]            5.53  9.7e-4 9.3e-3   5.52   5.53   5.53   5.54   5.55   91.0   1.05
dnu[48]            4.99  5.2e-4 6.4e-3   4.98   4.99   4.99   4.99    5.0  152.0   1.04
dnu[49]            5.95  7.4e-4 6.6e-3   5.94   5.95   5.95   5.96   5.96   80.0   1.08
dnu[50]            5.64  9.4e-4   0.01   5.61   5.63   5.64   5.64   5.66  134.0   1.03
dnu[51]            4.85  7.3e-4 8.1e-3   4.84   4.85   4.85   4.86   4.87  121.0   1.05
dnu[52]             4.8  6.7e-4 7.5e-3   4.78   4.79   4.79    4.8   4.81  127.0   1.02
dnu[53]            4.43  1.2e-3   0.01   4.41   4.43   4.43   4.44   4.46   95.0   1.08
dnu[54]            4.61  7.0e-4 7.3e-3   4.59    4.6   4.61   4.61   4.62  108.0   1.02
dnu[55]            6.12  7.8e-4 7.7e-3   6.11   6.12   6.12   6.13   6.14   98.0   1.05
dnu[56]            7.99  7.5e-4 8.2e-3   7.98   7.99   7.99    8.0   8.01  118.0   1.02
dnu[57]            5.97  1.2e-3   0.01   5.95   5.96   5.97   5.98   5.99   81.0   1.03
dnu[58]            5.75  6.4e-4 7.6e-3   5.73   5.74   5.75   5.75   5.76  143.0   1.01
dnu[59]            4.43  1.4e-3   0.01   4.41   4.43   4.43   4.44   4.46   90.0   1.05
dnu[60]            6.48  6.4e-4 7.0e-3   6.46   6.47   6.48   6.48   6.49  118.0   1.04
dnu[61]            6.16  6.3e-4 6.8e-3   6.14   6.15   6.16   6.16   6.17  115.0   1.06
dnu[62]            7.69  4.8e-4 7.6e-3   7.68   7.69   7.69    7.7   7.71  252.0   1.02
dnu[63]            4.57  1.8e-3   0.01   4.54   4.56   4.57   4.58    4.6   67.0   1.07
dnu[64]            8.36  5.9e-4 7.4e-3   8.34   8.35   8.36   8.37   8.37  160.0   1.01
dnu[65]            5.76  7.2e-4 6.9e-3   5.75   5.76   5.76   5.77   5.77   92.0   1.06
dnu[66]            5.68  1.2e-3 8.5e-3   5.66   5.67   5.68   5.68   5.69   51.0   1.05
dnu[67]            4.51  5.6e-4 8.2e-3   4.49    4.5   4.51   4.51   4.52  218.0   1.01
dnu[68]            4.79  6.7e-4 7.2e-3   4.78   4.79   4.79    4.8   4.81  115.0   1.03
dnu[69]            8.44  5.3e-4 6.0e-3   8.42   8.43   8.44   8.44   8.45  128.0   1.04
dnu[70]            7.82  1.2e-3   0.01   7.79   7.81   7.82   7.83   7.85  135.0   1.03
dnu[71]            8.44  4.6e-4 5.8e-3   8.42   8.43   8.44   8.44   8.45  160.0   1.02
dnu[72]            4.76  5.7e-4 8.1e-3   4.74   4.75   4.76   4.76   4.77  203.0   1.02
dnu[73]            9.22  5.9e-4 8.6e-3    9.2   9.21   9.22   9.23   9.24  212.0   1.01
dnu[74]            6.36  8.5e-4 7.8e-3   6.34   6.35   6.36   6.36   6.37   84.0   1.04
dnu[75]            4.59  9.9e-4 8.3e-3   4.58   4.59   4.59    4.6   4.61   70.0    1.1
dnu[76]            7.03  5.7e-4 7.7e-3   7.01   7.02   7.03   7.03   7.04  183.0   1.02
dnu[77]            5.54  4.5e-3   0.03   5.49   5.53   5.54   5.56   5.59   35.0   1.08
dnu[78]             8.3  4.6e-4 6.4e-3   8.29    8.3    8.3    8.3   8.31  197.0   1.03
dnu[79]            5.31  1.5e-3   0.01   5.29   5.31   5.31   5.32   5.34   56.0   1.07
dnu[80]            4.66  7.4e-4 7.6e-3   4.65   4.66   4.66   4.67   4.68  104.0   1.04
dnu[81]            5.57  5.6e-4 6.5e-3   5.56   5.57   5.57   5.58   5.59  135.0   1.03
dnu[82]            4.79  5.8e-4 6.9e-3   4.78   4.79   4.79    4.8   4.81  141.0   1.02
dnu[83]            5.97  9.5e-4   0.01   5.95   5.96   5.97   5.98   5.99  125.0   1.02
dnu[84]            4.72  1.1e-3   0.01   4.69   4.71   4.72   4.73   4.74  156.0   1.03
dnu[85]            5.78  8.9e-4 9.3e-3   5.76   5.78   5.78   5.79    5.8  107.0   1.02
dnu[86]            5.31  1.2e-3   0.01   5.29    5.3   5.31   5.32   5.33   94.0   1.04
dnu[87]            7.69  9.2e-4 9.1e-3   7.67   7.69   7.69    7.7   7.71   97.0   1.06
dnu[88]            8.64  3.9e-4 5.3e-3   8.63   8.64   8.64   8.64   8.65  184.0   1.02
dnu[89]            4.43  1.2e-3   0.01   4.41   4.43   4.43   4.44   4.46  113.0   1.01
dnu[90]            5.79  7.8e-4 7.7e-3   5.78   5.79   5.79    5.8   5.81   98.0   1.04
dnu[91]            4.73  7.8e-4 9.1e-3   4.71   4.72   4.73   4.73   4.75  137.0   1.01
dnu[92]            5.55  2.9e-3   0.02    5.5   5.53   5.55   5.56   5.59   71.0   1.05
dnu[93]            7.73  3.9e-4 5.6e-3   7.72   7.73   7.73   7.74   7.74  204.0   1.02
dnu[94]            4.58  6.1e-4 6.4e-3   4.57   4.58   4.58   4.58   4.59  110.0   1.05
dnu[95]            4.73  5.6e-4 6.8e-3   4.72   4.73   4.73   4.74   4.75  146.0   1.02
dnu[96]            5.65  5.6e-4 5.9e-3   5.64   5.65   5.65   5.65   5.66  110.0   1.03
dnu[97]            9.22  8.3e-4 8.7e-3   9.21   9.21   9.22   9.23   9.24  109.0   1.05
dnu[98]             5.3  7.2e-4 7.8e-3   5.28   5.29    5.3    5.3   5.31  120.0   1.03
dnu[99]            4.99  5.2e-4 6.1e-3   4.98   4.99   4.99   4.99    5.0  140.0   1.02
dnu[100]           5.43  1.1e-3 7.9e-3   5.42   5.43   5.43   5.44   5.45   48.0   1.11
dnu[101]           7.38  5.6e-4 5.7e-3   7.37   7.38   7.38   7.39   7.39  104.0   1.03
dnu[102]           5.35  4.5e-4 5.3e-3   5.34   5.34   5.35   5.35   5.36  140.0   1.03
dnu[103]           4.56  1.1e-3   0.01   4.54   4.56   4.56   4.57   4.58  108.0   1.01
dnu[104]           5.77  1.2e-3   0.01   5.75   5.76   5.77   5.77   5.79   68.0   1.07
dnu[105]           5.84  7.4e-4 8.5e-3   5.82   5.83   5.84   5.84   5.85  130.0   1.04
dnu[106]           4.71  2.0e-3   0.02   4.68    4.7   4.71   4.72   4.74   61.0   1.05
dnu[107]           5.04  6.3e-4 6.4e-3   5.03   5.04   5.04   5.05   5.06  101.0   1.04
dnu[108]           9.22  6.3e-4 8.6e-3    9.2   9.21   9.22   9.23   9.24  187.0   1.02
dnu[109]           5.35  6.2e-4 6.5e-3   5.33   5.34   5.35   5.35   5.36  110.0   1.04
dnu[110]           6.03  4.7e-4 6.2e-3   6.02   6.03   6.03   6.04   6.04  174.0   1.01
dnu[111]           5.97  6.6e-4 8.9e-3   5.95   5.96   5.97   5.97   5.99  180.0   1.03
dnu[112]           6.73  7.1e-4 9.1e-3   6.71   6.73   6.73   6.74   6.75  162.0   1.02
dnu[113]           6.29  6.2e-4 7.1e-3   6.28   6.28   6.29   6.29    6.3  131.0   1.04
dnu[114]           5.61  6.4e-4 7.1e-3    5.6   5.61   5.61   5.62   5.63  123.0   1.03
dnu[115]           4.54  5.3e-4 6.3e-3   4.53   4.53   4.54   4.54   4.55  141.0   1.02
dnu[116]           4.86  1.7e-3   0.02   4.82   4.85   4.86   4.87   4.89  108.0   1.09
dnu[117]           5.55  2.1e-3   0.02    5.5   5.53   5.55   5.56   5.59  115.0    1.1
dnu[118]           6.56  5.9e-4 6.1e-3   6.55   6.55   6.56   6.56   6.57  107.0   1.03
dnu[119]           6.18  1.6e-3   0.02   6.15   6.17   6.18   6.19   6.21   92.0   1.03
dnu[120]           4.85  5.7e-4 7.6e-3   4.84   4.84   4.85   4.85   4.87  178.0   1.04
dnu[121]           4.81  7.3e-4   0.01   4.79    4.8   4.81   4.82   4.83  193.0   1.02
dnu[122]           6.15  6.4e-4 5.9e-3   6.14   6.15   6.15   6.16   6.16   86.0   1.08
dnu[123]           5.61  4.1e-3 9.3e-3   5.59    5.6   5.61   5.62   5.62    5.0   1.41
dnu[124]           6.14  6.0e-4 5.8e-3   6.13   6.14   6.14   6.15   6.15   95.0   1.05
dnu[125]           4.09  2.9e-3   0.02   4.04   4.07   4.09   4.11   4.14   72.0   1.06
dnu[126]           4.75  6.6e-4 6.7e-3   4.74   4.75   4.75   4.76   4.77  103.0   1.02
dnu[127]           8.25  8.3e-4 9.4e-3   8.23   8.24   8.25   8.26   8.27  129.0   1.02
dnu[128]           4.79  6.3e-4 7.4e-3   4.78   4.79   4.79    4.8   4.81  138.0   1.04
dnu[129]           4.86  5.1e-4 6.4e-3   4.85   4.86   4.86   4.87   4.88  156.0   1.03
dnu[130]           8.63  7.8e-4 8.5e-3   8.62   8.63   8.63   8.64   8.65  119.0   1.05
dnu[131]           6.65  7.8e-4 9.7e-3   6.64   6.65   6.65   6.66   6.67  156.0   1.01
dnu[132]           7.82  1.3e-3   0.01   7.79   7.81   7.82   7.83   7.85  142.0   1.04
dnu[133]           5.28  7.7e-4 8.5e-3   5.26   5.27   5.28   5.29    5.3  124.0   1.05
dnu[134]           7.01  8.8e-4 9.7e-3   6.99    7.0   7.01   7.01   7.03  124.0   1.03
dnu[135]           6.89  6.3e-4 8.5e-3   6.87   6.88   6.89   6.89    6.9  179.0   1.02
dnu[136]           5.46  6.2e-4 6.2e-3   5.45   5.45   5.46   5.46   5.47  100.0   1.05
dnu[137]           5.68  7.9e-4 8.1e-3   5.66   5.67   5.68   5.68   5.69  105.0   1.02
dnu[138]           6.25  1.3e-3   0.01   6.23   6.24   6.25   6.26   6.27   72.0   1.06
