Inference for Stan model: anon_model_36d21e616971c881d1e45dd863be4cb0.
4 chains, each with iter=10000; warmup=5000; thin=1; 
post-warmup draws per chain=5000, total post-warmup draws=20000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]            5.41  3.7e-4 8.7e-3    5.4   5.41   5.41   5.42   5.43  566.0   1.01
dnu[2]            8.82  2.4e-4 6.0e-3   8.81   8.81   8.82   8.82   8.83  611.0    1.0
dnu[3]            7.47  1.8e-4 5.1e-3   7.46   7.47   7.47   7.47   7.48  819.0    1.0
dnu[4]            5.79  1.6e-3   0.03   5.73   5.78    5.8   5.81   5.84  292.0   1.01
dnu[5]            5.14  2.4e-4 5.7e-3   5.13   5.13   5.14   5.14   5.15  556.0   1.01
dnu[6]            8.79  2.2e-4 5.7e-3   8.78   8.79   8.79   8.79    8.8  682.0    1.0
dnu[7]            5.53  4.1e-4 9.2e-3   5.51   5.52   5.52   5.53   5.54  508.0    1.0
dnu[8]            5.25  2.7e-4 6.3e-3   5.23   5.24   5.25   5.25   5.26  543.0    1.0
dnu[9]            4.66  3.2e-4 7.6e-3   4.65   4.66   4.66   4.67   4.68  565.0    1.0
dnu[10]            4.8  4.9e-4 8.9e-3   4.78   4.79    4.8    4.8   4.81  333.0    1.0
dnu[11]           5.96  3.4e-4 7.9e-3   5.95   5.96   5.96   5.97   5.98  553.0    1.0
dnu[12]           4.71  3.1e-4 7.8e-3   4.69    4.7   4.71   4.71   4.72  630.0   1.01
dnu[13]           5.52  3.6e-4 8.7e-3   5.51   5.52   5.52   5.53   5.54  595.0    1.0
dnu[14]           7.82  5.3e-4   0.01   7.79   7.81   7.82   7.83   7.85  726.0    1.0
dnu[15]           5.67  3.1e-4 7.4e-3   5.66   5.67   5.67   5.68   5.69  554.0   1.01
dnu[16]           5.48  4.1e-4   0.01   5.46   5.47   5.48   5.49    5.5  591.0   1.01
dnu[17]           7.46  1.7e-3   0.03    7.4   7.44   7.45   7.47   7.51  282.0   1.03
dnu[18]           6.12  3.5e-4 8.0e-3   6.11   6.12   6.12   6.13   6.14  536.0   1.01
dnu[19]           6.14  2.4e-4 5.7e-3   6.13   6.14   6.14   6.15   6.15  547.0   1.01
dnu[20]            5.6  3.2e-4 8.3e-3   5.58   5.59    5.6    5.6   5.61  651.0   1.01
dnu[21]           5.69  9.1e-4   0.01   5.66   5.68   5.69    5.7   5.72  273.0   1.01
dnu[22]           8.82  2.5e-4 5.9e-3   8.81   8.81   8.82   8.82   8.83  578.0   1.02
dnu[23]           4.91  4.5e-4   0.01   4.89    4.9   4.91   4.92   4.93  500.0   1.01
dnu[24]           5.68  3.0e-4 7.5e-3   5.66   5.67   5.68   5.68   5.69  604.0    1.0
dnu[25]           4.99  3.8e-4 8.4e-3   4.97   4.98   4.99   4.99   5.01  499.0   1.02
dnu[26]           6.96  7.5e-4   0.02   6.92   6.95   6.96   6.97   6.99  431.0   1.02
