Inference for Stan model: anon_model_893ae0f30707a4f59ccad73c820dc14f.
4 chains, each with iter=60000; warmup=30000; thin=1; 
post-warmup draws per chain=30000, total post-warmup draws=120000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]         5.4  1.5e-4   0.01   5.38    5.4   5.41   5.41   5.43 6642.0    1.0
dnu[2]        8.82  5.6e-5 5.8e-3   8.81   8.82   8.82   8.82   8.83  10720    1.0
dnu[3]        7.47  4.6e-5 5.5e-3   7.46   7.47   7.47   7.47   7.48  14456    1.0
dnu[4]        5.75  1.8e-4   0.02   5.72   5.74   5.75   5.76   5.78 7086.0    1.0
dnu[5]        5.14  7.4e-5 5.6e-3   5.13   5.13   5.14   5.14   5.15 5829.0    1.0
dnu[6]        8.79  4.3e-5 5.3e-3   8.78   8.78   8.79   8.79    8.8  15812    1.0
dnu[7]        5.52  7.7e-5 8.1e-3    5.5   5.51   5.52   5.52   5.53  11052    1.0
dnu[8]        5.25  5.8e-5 5.9e-3   5.24   5.24   5.25   5.25   5.26  10360    1.0
dnu[9]        4.67  6.4e-5 6.8e-3   4.65   4.66   4.67   4.67   4.68  11063    1.0
dnu[10]        4.8  8.5e-5 8.0e-3   4.78   4.79    4.8    4.8   4.81 8876.0    1.0
dnu[11]       5.97  8.8e-5 8.0e-3   5.96   5.97   5.97   5.98   5.99 8269.0    1.0
dnu[12]       4.71  6.7e-5 7.3e-3   4.69    4.7   4.71   4.71   4.72  11753    1.0
dnu[13]       5.52  8.1e-5 8.2e-3    5.5   5.51   5.52   5.52   5.53  10274    1.0
dnu[14]       7.82  1.3e-4   0.01   7.79   7.81   7.82   7.83   7.85  12182    1.0
dnu[15]       5.67  6.2e-5 6.8e-3   5.66   5.67   5.67   5.68   5.69  12130    1.0
dnu[16]       5.48  8.8e-5 8.9e-3   5.46   5.47   5.48   5.49    5.5  10177    1.0
dnu[17]       6.12  8.0e-5 7.7e-3   6.11   6.12   6.12   6.13   6.14 9105.0    1.0
dnu[18]       6.14  5.3e-5 5.5e-3   6.13   6.14   6.14   6.15   6.15  10795    1.0
dnu[19]        5.6  7.8e-5 8.2e-3   5.58   5.59    5.6    5.6   5.61  10971    1.0
dnu[20]        5.7  1.6e-4   0.01   5.67   5.69    5.7   5.71   5.72 6033.0    1.0
dnu[21]       8.82  5.9e-5 5.8e-3   8.81   8.82   8.82   8.82   8.83 9914.0    1.0
dnu[22]       4.91  8.5e-5 8.6e-3   4.89   4.91   4.91   4.92   4.93  10458    1.0
