Inference for Stan model: anon_model_da9d43ec9f02d0266a58a977075d376a.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]      11.688   0.037  0.064 11.573 11.629 11.698 11.735 11.798    3.0  1.722
dnu[2]      12.052   0.007  0.138 11.794 11.961 12.045 12.137 12.336  407.0  1.022
dnu[3]      10.548 3.23e-4  0.012 10.525  10.54 10.548 10.556 10.571   1338  1.001
dnu[4]      10.067 1.55e-4  0.008 10.052 10.062 10.067 10.073 10.083   2594  1.002
dnu[5]       9.662   0.004  0.079  9.507  9.609  9.659  9.713  9.828  464.0  1.018
dnu[6]       8.932   0.003   0.07  8.797  8.884  8.931  8.979  9.071  419.0  1.007
dnu[7]       8.244 1.72e-4  0.009  8.227  8.238  8.244   8.25  8.261   2564  1.001
dnu[8]       8.092   0.002  0.045  8.003  8.062  8.091  8.121  8.181  490.0  1.007
dnu[9]       7.818   0.002  0.048  7.725  7.786  7.817  7.849  7.917  482.0   1.01
dnu[10]       6.48 5.97e-4  0.018  6.445  6.468   6.48  6.492  6.516  904.0  1.002
dnu[11]      6.619   0.002  0.043  6.534  6.591  6.619  6.648  6.704  490.0  1.005
dnu[12]      6.136 1.08e-4  0.005  6.125  6.132  6.136  6.139  6.146   2414  1.003
dnu[13]      5.747   0.011  0.106  5.528  5.681   5.75  5.816  5.954   89.0  1.054
dnu[14]      5.584 9.22e-4  0.023  5.539  5.568  5.584  5.599   5.63  625.0  1.002
dnu[15]       5.33 9.42e-4  0.021  5.288  5.316   5.33  5.344   5.37  492.0  1.005
dnu[16]      5.132    0.01   0.03  5.077  5.112   5.13  5.153  5.194    9.0  1.163
dnu[17]      4.807   0.025  0.097  4.614  4.741  4.805  4.871  4.995   15.0  1.118
dnu[18]      4.729   0.002  0.007  4.715  4.725  4.729  4.734  4.744   13.0  1.108
dnu[19]      4.744   0.035  0.055  4.656  4.704  4.732  4.801   4.84    2.0  2.345
dnu[20]      4.782 3.63e-4  0.012  4.758  4.774  4.782  4.791  4.806   1142  1.003
dnu[21]      4.805   0.002  0.039   4.73  4.779  4.805   4.83  4.883  307.0   1.02
dnu[22]      4.727 7.02e-4  0.019  4.685  4.716  4.729   4.74  4.758  706.0  1.008
dnu[23]      4.552   0.001  0.025  4.504  4.535  4.551  4.569  4.602  423.0  1.017
dnu[24]      4.742 2.08e-4  0.008  4.727  4.737  4.742  4.748  4.758   1507  1.003
dnu[25]      4.682 3.26e-4   0.01  4.662  4.675  4.682  4.688  4.701  923.0  1.011
dnu[26]      4.706   0.008  0.028  4.655  4.686  4.703  4.724  4.762   11.0  1.153
dnu[27]       4.68   0.009  0.024  4.631  4.666  4.681  4.696  4.725    7.0  1.208
dnu[28]      4.682 2.69e-4  0.009  4.662  4.677  4.683  4.689    4.7   1240  1.003
dnu[29]      4.674   0.025  0.038  4.599  4.643  4.686  4.701   4.73    2.0  2.626
dnu[30]      4.669   0.006  0.021  4.623  4.656   4.67  4.683  4.708   12.0  1.142
dnu[31]      4.661 1.49e-4  0.007  4.647  4.656  4.661  4.666  4.674   2150  1.002
dnu[32]      4.386 3.42e-4  0.011  4.365  4.379  4.386  4.394  4.408   1009  1.006
dnu[33]      4.538 1.92e-4  0.007  4.525  4.533  4.538  4.542  4.551   1194  1.016
dnu[34]      4.245 2.56e-4  0.008  4.227  4.239  4.245   4.25   4.26   1089  1.004
dnu[35]      4.328 3.16e-4   0.01  4.307  4.322  4.329  4.335  4.347  970.0  1.003
dnu[36]      4.095   0.011  0.029  4.039  4.075  4.095  4.115  4.149    6.0  1.242
dnu[37]      4.307 4.22e-4  0.012  4.281    4.3  4.308  4.316  4.329  815.0  1.005
dnu[38]      4.552   0.009  0.176   4.23  4.429  4.543  4.664  4.919  388.0  1.008
dnu[39]      3.908   0.018  0.034  3.846  3.883  3.906  3.936  3.972    4.0  1.482
dnu[40]      4.009   0.011  0.031  3.946  3.989   4.01   4.03  4.069    8.0  1.185
dnu[41]      4.115   0.015  0.031  4.055  4.095  4.115  4.135  4.178    4.0  1.444
dnu[42]      3.656  5.5e-4  0.015  3.622  3.647  3.657  3.666  3.682  745.0  1.009
dnu[43]      3.551 6.13e-4  0.013  3.528  3.543   3.55  3.558  3.579  439.0  1.012
dnu[44]      4.032 2.06e-4  0.009  4.016  4.027  4.033  4.038  4.049   1775  1.004
dnu[45]      3.079   0.036  0.054   3.01  3.044   3.06  3.114  3.185    2.0  3.326
dnu[46]      2.777 2.72e-4  0.008  2.759  2.772  2.778  2.783  2.791  915.0  1.007
dnu[47]      2.004   0.004  0.015  1.973  1.995  2.005  2.014  2.033   18.0  1.097
dnu[48]      1.777   0.003  0.038   1.71  1.752  1.774  1.799  1.861  221.0  1.032
dnu[49]      1.155   0.004  0.036  1.085  1.129  1.156   1.18  1.221   83.0  1.068
dnu[50]      0.899   0.001  0.032  0.842  0.879  0.896  0.917  0.971  557.0  1.003
numax[1]    151.15    4.82  8.197 137.27 142.51 152.66 157.46 164.69    3.0  1.813
numax[2]    157.44   0.505 10.223 138.62 150.28 157.29 164.37 177.36  409.0  1.024
numax[3]    134.51   0.007  0.305 133.91 134.31 134.51 134.72 135.11   1847  1.002
numax[4]    126.09 2.07e-5  0.004 126.08 126.08 126.09 126.09 126.09  30931    1.0
numax[5]    120.35   0.332  7.114 106.63 115.56 120.06 125.07 135.12  459.0  1.018
numax[6]    108.77   0.265  5.449 98.356 105.06 108.74 112.49 119.31  423.0  1.007
numax[7]    98.412   0.006  0.248  97.93 98.244 98.412 98.577 98.899   1842  1.005
numax[8]    95.286   0.193  4.271 86.698 92.432 95.333 98.174 103.71  491.0  1.007
numax[9]    95.751   0.209   4.56 86.693 92.726 95.799 98.831 104.82  476.0  1.013
numax[10]   79.389   0.047  1.407 76.599 78.444 79.379 80.349 82.141  911.0  1.003
numax[11]   72.381   0.133  2.898 66.715  70.44 72.333 74.351 78.159  474.0  1.005
numax[12]   68.435 2.48e-4   0.03 68.377 68.415 68.435 68.455 68.493  14225    1.0
numax[13]   64.122   0.483   4.26 55.636 61.395 64.147 66.818 72.725   78.0  1.057
numax[14]   55.081   0.066  1.639 51.927  53.96 55.065 56.174 58.368  623.0  1.002
numax[15]   52.641   0.078  1.741 49.219 51.465 52.646 53.809 56.021  495.0  1.004
numax[16]   51.053   0.761  2.276 46.845 49.494 50.843 52.617 55.712    9.0   1.17
numax[17]   44.183   1.635  6.394 31.613 39.733 43.925 48.328 56.961   15.0   1.12
numax[18]   48.253   0.176  0.448 47.376 47.946 48.263 48.562 49.113    6.0  1.214
numax[19]   47.327   2.599  3.966 41.564 44.269 46.212 52.047 54.181    2.0  2.649
numax[20]   45.975    0.01  0.348 45.309 45.736 45.968 46.214 46.666   1275  1.002
numax[21]    46.48   0.109  1.963 42.694 45.168 46.478  47.77 50.384  322.0  1.019
numax[22]   44.055   0.042  1.097 41.468 43.428 44.214 44.838 45.781  672.0  1.007
numax[23]   45.245   0.071  1.454 42.463 44.247 45.202 46.226 48.118  421.0  1.018
numax[24]   45.601   0.009  0.299 45.026 45.399   45.6   45.8 46.192   1063  1.005
numax[25]    44.98   0.035  0.481 44.045 44.657  44.98 45.304 45.927  192.0  1.033
numax[26]    44.37   0.576  1.777 41.156 43.115 44.168 45.615  47.98   10.0  1.174
numax[27]   44.429   0.862  2.048 40.492 43.061 44.367 45.757 48.558    6.0  1.266
numax[28]   45.181 3.85e-5   0.01 45.162 45.175 45.181 45.188   45.2  64233    1.0
numax[29]   42.465   2.046  3.111 36.964 38.978  43.44 44.564 47.106    2.0  2.728
numax[30]   43.475   0.776  1.749 40.163 42.318 43.393 44.607 47.015    5.0   1.31
numax[31]   44.416   0.002  0.091 44.239 44.355 44.416 44.477 44.596   1851  1.003
numax[32]   42.555   0.011    0.4  41.77 42.285 42.558 42.822 43.351   1349  1.004
numax[33]   43.168   0.002  0.084 43.005 43.111 43.168 43.224 43.332   2029  1.001
numax[34]   41.423    0.01  0.346 40.739 41.191 41.427 41.658 42.086   1207  1.001
numax[35]   40.756   0.007  0.219 40.325 40.607 40.757 40.906 41.179   1058  1.005
numax[36]   38.355     0.9  2.013 34.699 36.842 38.327 39.818 42.304    5.0  1.326
numax[37]   39.942   0.011  0.344 39.278 39.706 39.943 40.172 40.621  967.0  1.006
numax[38]   38.126   0.032  0.678 36.759 37.691 38.146 38.589 39.375  450.0  1.005
numax[39]   39.918   1.275  2.423 35.476 38.086 39.698 41.967 44.376    4.0  1.509
numax[40]    36.73   0.751  1.676 33.442 35.603 36.739 37.867 39.975    5.0  1.312
numax[41]   34.352   0.879  1.672 31.129  33.23  34.33 35.466   37.7    4.0  1.521
numax[42]   32.581   0.008  0.278 32.044 32.392  32.58 32.768  33.13   1219  1.002
numax[43]   32.374   0.025  0.872 30.636 31.799  32.37 32.949 34.114   1228  1.003
numax[44]   28.345 4.11e-4  0.026 28.293 28.327 28.345 28.363 28.397   4133    1.0
numax[45]   26.945   1.805  2.644 23.686  25.22 25.959 28.904 31.842    2.0  3.755
numax[46]   25.636   0.003  0.135 25.375 25.546 25.635 25.728 25.897   1500  1.001
numax[47]   18.058   0.431  1.321  15.42 17.118 18.164 18.975 20.508    9.0  1.159
numax[48]   13.666   0.188  1.074 11.151 13.091 13.715 14.353 15.633   33.0  1.074
numax[49]    7.312   0.014  0.342  6.645  7.081  7.311  7.541  7.984  629.0  1.022
numax[50]    6.282   0.178  1.174  4.001  5.612  6.182  6.862   9.17   44.0  1.099
G[1]         3.621   0.008  0.282  3.127  3.429  3.597  3.789  4.249   1273  1.012
G[2]         3.459   0.016  0.463  2.575  3.144   3.45  3.761   4.41  865.0  1.002
G[3]         2.365   0.044  0.287  1.702  2.249  2.409  2.548  2.841   44.0  1.028
G[4]         3.178   0.011  0.356  2.659  2.928  3.115  3.362  4.044   1032  1.006
G[5]         3.169   0.047  0.391  2.352  3.001  3.168   3.36  3.878   68.0  1.053
G[6]         4.086   0.012  0.379  3.398  3.817  4.067  4.334  4.871   1012  1.008
G[7]         2.826   0.027  0.374  1.923  2.626  2.842  3.044  3.534  191.0  1.025
G[8]         2.905   0.006  0.223  2.519  2.755  2.888  3.035  3.403   1320  1.005
G[9]         3.117   0.712  1.035  1.322  2.177   3.54  3.793  4.326    2.0  4.206
G[10]        2.657   0.078  0.645  1.799  2.351   2.46  2.597  4.501   69.0  1.043
G[11]         4.21   0.011  0.397  3.508  3.933  4.186  4.462  5.053   1247  1.003
G[12]        2.981   0.003  0.126  2.736  2.899  2.981  3.062  3.233   1355  1.004
G[13]        3.225    0.02  0.618  2.071  2.791  3.202   3.64  4.469  971.0  1.001
G[14]        2.638   0.039  0.446  1.697  2.371  2.592  2.869  3.667  129.0  1.037
G[15]        2.706   0.019  0.261   2.22  2.568  2.708  2.854  3.196  181.0  1.015
G[16]        2.784   0.005  0.191  2.454  2.655  2.769  2.895  3.203   1290  1.002
G[17]        2.461   0.015  0.201  1.907  2.358  2.465  2.575  2.832  178.0  1.019
G[18]         3.51   0.028  0.284  3.059   3.31  3.471  3.668  4.174  105.0  1.038
G[19]        2.536   0.386  0.603  1.495    1.8  2.699  2.919  3.518    2.0  2.345
G[20]        3.207   0.011  0.391  2.579  2.922  3.166  3.447  4.081   1333  1.004
G[21]        3.218    0.03  0.631  1.549  2.905  3.219  3.591   4.42  448.0  1.005
G[22]        3.125   0.008  0.294  2.671  2.923  3.082  3.275  3.846   1367  1.002
G[23]         2.91    0.02   0.54  1.639  2.623  2.903  3.222  4.023  714.0   1.01
G[24]        3.301   0.006  0.223  2.911  3.151  3.284  3.432  3.787   1471  1.002
G[25]        3.626    0.01  0.394  2.895  3.364  3.607  3.865  4.484   1556  1.005
G[26]        2.823   0.006  0.173  2.555  2.705  2.799  2.912  3.239  816.0  1.003
G[27]        3.795   0.033  0.608   2.45  3.546   3.89  4.186  4.809  332.0  1.028
G[28]         3.25   0.034  0.576  1.562  2.975  3.242  3.565  4.385  292.0   1.01
G[29]        2.526   0.807   1.17  1.257  1.378  2.102  3.658  4.313    2.0  4.475
G[30]        3.037   0.013  0.396  2.338  2.793  3.001  3.255   3.92  967.0  1.007
G[31]        2.183   0.006  0.209  1.796  2.028  2.181  2.332  2.588   1355  1.004
G[32]         3.11   0.073  0.865  1.805  2.396  2.764  3.888  4.765  142.0  1.037
G[33]        2.671   0.465  0.691  1.464  2.007  2.908  3.111  3.643    2.0  3.146
G[34]        3.643   0.011  0.359  3.062  3.388  3.602   3.85  4.454   1079  1.004
G[35]        3.437    0.01  0.296  2.968  3.226  3.398   3.61  4.103  848.0  1.007
G[36]        2.565   0.004  0.145  2.312  2.469  2.555  2.646  2.871   1159  1.006
G[37]        3.799   0.024  0.553  2.414  3.477    3.8  4.148  4.852  530.0  1.006
G[38]        9.483   0.009  0.276  8.953  9.292  9.479  9.667 10.036  993.0  1.002
G[39]        2.312   0.525   0.78  1.432  1.527  2.661  3.039  3.463    2.0  3.282
