Inference for Stan model: anon_model_397458fbbd01e7b8f1803282df68c37b.
4 chains, each with iter=60000; warmup=30000; thin=1; 
post-warmup draws per chain=30000, total post-warmup draws=120000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]      11.656   0.058  0.089 11.483 11.584 11.687 11.719 11.774    2.0  2.701
dnu[2]      12.041   0.004  0.111 11.854 11.967  12.03 12.103 12.296  880.0  1.016
dnu[3]      10.545 1.92e-4  0.011 10.524 10.538 10.545 10.553 10.567   3358  1.001
dnu[4]      10.064  1.2e-4  0.008 10.049 10.059 10.064 10.069 10.079   4058  1.001
dnu[5]        9.65   0.008  0.086  9.469  9.596  9.651  9.707  9.815  126.0  1.025
dnu[6]       8.919   0.004   0.06    8.8   8.88  8.917  8.958  9.039  272.0  1.005
dnu[7]       8.244 1.12e-4  0.008  8.228  8.239  8.244   8.25  8.261   5560  1.001
dnu[8]       8.087   0.002  0.043  8.004  8.058  8.087  8.116  8.172  507.0  1.018
dnu[9]       7.818   0.002  0.041  7.743   7.79  7.816  7.844  7.902  712.0  1.003
dnu[10]      6.481   0.002  0.019  6.439  6.468  6.481  6.494  6.517  103.0  1.033
dnu[11]      6.618   0.004  0.038  6.542  6.593  6.619  6.644  6.691  115.0  1.044
dnu[12]      6.136 1.33e-4  0.007  6.124  6.132  6.136   6.14  6.151   2484  1.001
dnu[13]      5.731   0.006  0.104  5.523  5.663  5.732    5.8  5.932  327.0  1.016
dnu[14]      5.581 5.59e-4  0.023  5.535  5.566  5.581  5.596  5.626   1723  1.005
dnu[15]      5.331  6.4e-4  0.021  5.289  5.317  5.331  5.346  5.373   1125  1.004
dnu[16]      5.113 6.62e-4  0.015  5.077  5.105  5.115  5.124  5.137  547.0  1.005
dnu[17]      4.799   0.024  0.093    4.6  4.742  4.805  4.855  4.986   15.0  1.192
dnu[18]      4.731  2.8e-4  0.011  4.714  4.724  4.729  4.736  4.756   1464  1.003
dnu[19]      4.692   0.033  0.053  4.583  4.654  4.703   4.73  4.776    3.0  2.079
dnu[20]      4.783 1.87e-4  0.012  4.759  4.775  4.783  4.791  4.806   4108  1.002
dnu[21]      4.805   0.001  0.036  4.733  4.781  4.805  4.829  4.875   1089  1.003
dnu[22]      4.737   0.007  0.022  4.693  4.723  4.736  4.749  4.788   10.0  1.136
dnu[23]      4.551 7.33e-4  0.025    4.5  4.535  4.551  4.568  4.601   1200  1.003
dnu[24]      4.745 1.22e-4  0.008  4.729   4.74  4.745  4.751  4.761   4501  1.001
dnu[25]      4.684 2.79e-4   0.01  4.664  4.677  4.683   4.69  4.705   1377  1.009
dnu[26]      4.669   0.023  0.036  4.595  4.639  4.683  4.695  4.712    2.0  2.537
dnu[27]      4.681 6.05e-4  0.019   4.64   4.67  4.682  4.693  4.717  988.0  1.003
dnu[28]      4.682 1.24e-4  0.009  4.662  4.676  4.682  4.688  4.699   5826    1.0
dnu[29]      4.641   0.025  0.037  4.597  4.616  4.627  4.659   4.72    2.0  2.804
dnu[30]       4.67   0.002  0.019  4.628  4.658  4.671  4.683  4.705  119.0  1.037
dnu[31]      4.661 6.91e-5  0.007  4.647  4.656  4.661  4.665  4.674  10082  1.001
dnu[32]      4.388 2.24e-4  0.011  4.367  4.381  4.388  4.395   4.41   2404  1.001
dnu[33]      4.539 7.86e-5  0.007  4.526  4.535  4.539  4.544  4.552   7174  1.001
dnu[34]      4.246 1.46e-4  0.008  4.228   4.24  4.246  4.251  4.261   3256  1.001
dnu[35]      4.331 2.23e-4  0.011  4.307  4.324  4.331  4.338  4.351   2488  1.002
dnu[36]       4.09   0.014  0.029  4.038   4.07  4.087   4.11   4.15    4.0  1.375
dnu[37]       4.31 2.42e-4  0.012  4.284  4.302   4.31  4.318  4.332   2597  1.002
dnu[38]       4.57   0.003  0.163  4.268  4.458  4.564  4.675  4.913   2648  1.002
dnu[39]       3.98   0.022  0.034   3.94  3.955  3.967  4.002  4.053    2.0  2.401
dnu[40]      4.023   0.001  0.025   3.97  4.007  4.024  4.039  4.071  364.0  1.023
dnu[41]      4.109   0.004  0.029  4.054  4.091  4.108  4.127  4.169   47.0  1.048
dnu[42]       3.66 4.87e-4  0.016  3.625  3.651  3.662  3.671  3.687   1057  1.003
dnu[43]      3.552 3.24e-4  0.013  3.528  3.544  3.552  3.559  3.581   1617   1.01
dnu[44]      4.034  1.8e-4  0.009  4.016  4.028  4.034   4.04  4.052   2589  1.002
dnu[45]      2.939 7.24e-4   0.02  2.898  2.926   2.94  2.953  2.975  737.0  1.006
dnu[46]      2.787 7.38e-4  0.017  2.759  2.776  2.784  2.795  2.825  522.0   1.01
dnu[47]      2.001 3.44e-4  0.013  1.972  1.994  2.002  2.009  2.024   1513  1.008
dnu[48]      1.782   0.001  0.034  1.723   1.76  1.778  1.801  1.861  831.0   1.02
dnu[49]      1.154   0.002  0.035  1.087   1.13  1.153  1.177  1.222  372.0  1.016
dnu[50]      0.898   0.001  0.032  0.837  0.879  0.896  0.916   0.97  970.0  1.008
numax[1]    147.58    8.16 12.297 126.24 132.05 151.92 156.47 163.71    2.0  2.878
numax[2]    158.43   0.344  9.178 141.63 151.73 158.42 164.95 176.11  712.0  1.006
numax[3]    134.50   0.006    0.3 133.91 134.30 134.50 134.70 135.09   2899  1.001
numax[4]    126.09 9.42e-6  0.004 126.08 126.08 126.09 126.09 126.09 146183    1.0
numax[5]    119.37   0.684  7.636 103.49 114.62 119.55 124.51 133.90  125.0  1.025
numax[6]    108.57   0.338   5.55 97.653 104.78 108.53 112.44 119.29  270.0  1.003
numax[7]    98.422   0.005   0.25 97.933 98.252 98.422 98.591 98.914   2141  1.001
numax[8]    94.723   0.189  4.213 86.546 91.834 94.751 97.585 102.91  496.0  1.018
numax[9]    96.417   0.161  4.635 87.451  93.25 96.365 99.558 105.47  833.0  1.002
numax[10]   79.222   0.184  1.565 75.885  78.24 79.284 80.284 82.135   72.0   1.05
numax[11]   71.619   0.244  2.937  66.29 69.511 71.543 73.622 77.542  145.0  1.038
numax[12]   68.435 3.15e-4  0.029 68.377 68.415 68.435 68.454 68.492   8658  1.001
numax[13]   63.536   0.242  4.376 55.149 60.542 63.456 66.416 72.351  328.0  1.015
numax[14]   54.934   0.039  1.605 51.817 53.851 54.934 56.014 58.061   1724  1.005
numax[15]   52.663   0.054  1.815 49.173 51.417 52.636 53.899  56.27   1138  1.003
numax[16]   49.533   0.054   1.18 46.736 48.876 49.751 50.385 51.252  473.0  1.006
numax[17]   43.686   1.678  6.182 30.807 39.844 44.001 47.313 56.349   14.0  1.191
numax[18]   47.964   0.007  0.385 47.226 47.701 47.958  48.22 48.732   2867  1.001
