Inference for Stan model: anon_model_36d21e616971c881d1e45dd863be4cb0.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]            8.08  3.7e-4 7.9e-3   8.07   8.08   8.08   8.09    8.1  450.0   1.01
dnu[2]            5.05  3.5e-4 7.3e-3   5.04   5.05   5.05   5.06   5.07  434.0    1.0
dnu[3]            6.01  2.6e-4 6.5e-3   5.99    6.0   6.01   6.01   6.02  598.0   1.01
dnu[4]            5.67  8.2e-4   0.02   5.64   5.66   5.67   5.68    5.7  442.0   1.01
dnu[5]            5.61  3.5e-4 7.5e-3    5.6    5.6   5.61   5.62   5.62  457.0    1.0
dnu[6]            5.35  2.5e-4 6.2e-3   5.33   5.34   5.35   5.35   5.36  612.0    1.0
dnu[7]            5.03  3.6e-4 8.9e-3   5.01   5.03   5.03   5.04   5.05  622.0   1.01
dnu[8]            5.43  6.6e-4 8.6e-3   5.41   5.42   5.43   5.44   5.44  170.0   1.02
dnu[9]             4.8  4.1e-4 9.4e-3   4.78   4.79    4.8   4.81   4.82  526.0    1.0
dnu[10]            6.0  3.8e-4 8.6e-3   5.99    6.0    6.0   6.01   6.02  507.0   1.01
dnu[11]            5.8  1.5e-3   0.03   5.74   5.79    5.8   5.82   5.85  304.0   1.01
dnu[12]           5.85  3.5e-4 7.0e-3   5.83   5.84   5.85   5.85   5.86  402.0   1.01
dnu[13]           5.76  3.3e-4 6.9e-3   5.75   5.76   5.76   5.77   5.78  428.0    1.0
dnu[14]           4.75  3.0e-4 7.0e-3   4.73   4.74   4.75   4.75   4.76  552.0   1.01
dnu[15]           8.39  2.9e-4 7.8e-3   8.37   8.38   8.39   8.39    8.4  721.0    1.0
dnu[16]            6.5  5.6e-4   0.01   6.47   6.49    6.5   6.51   6.52  527.0    1.0
dnu[17]           5.23  7.1e-4   0.01    5.2   5.22   5.23   5.24   5.25  324.0   1.02
dnu[18]           7.47  4.7e-4   0.01   7.45   7.46   7.47   7.47   7.49  484.0   1.01
dnu[19]            6.5  4.2e-4 8.1e-3   6.48   6.49    6.5    6.5   6.51  369.0   1.01
dnu[20]           6.25  5.5e-4   0.01   6.23   6.24   6.25   6.26   6.27  353.0   1.01
dnu[21]           4.89  2.9e-4 6.3e-3   4.88   4.89   4.89   4.89    4.9  464.0   1.02
dnu[22]           5.32  4.9e-4   0.01    5.3   5.31   5.32   5.33   5.34  426.0   1.02
dnu[23]           5.67  3.0e-4 7.0e-3   5.66   5.67   5.67   5.68   5.69  552.0   1.01
dnu[24]           6.26  3.2e-4 7.8e-3   6.25   6.26   6.26   6.27   6.28  583.0   1.01
dnu[25]           5.24  4.0e-4 9.2e-3   5.22   5.24   5.24   5.25   5.26  518.0    1.0
dnu[26]           6.73  4.1e-4 9.8e-3   6.71   6.73   6.73   6.74   6.75  554.0    1.0
dnu[27]           6.15  3.9e-4 8.2e-3   6.13   6.14   6.15   6.15   6.16  430.0   1.01
dnu[28]           4.91  4.8e-4   0.01   4.89    4.9   4.91   4.92   4.93  435.0   1.01
dnu[29]           5.87  3.6e-4 7.8e-3   5.85   5.86   5.86   5.87   5.88  464.0   1.01
dnu[30]           6.47  3.7e-4 8.2e-3   6.45   6.46   6.47   6.47   6.48  491.0   1.02
dnu[31]            4.6  3.9e-4 9.0e-3   4.59    4.6    4.6   4.61   4.62  540.0   1.01
dnu[32]            5.2  2.7e-4 6.4e-3   5.19    5.2    5.2    5.2   5.21  544.0   1.01
dnu[33]           4.69  4.7e-4 8.6e-3   4.67   4.68   4.69   4.69    4.7  329.0   1.02
dnu[34]           6.47  3.7e-4 8.1e-3   6.45   6.46   6.47   6.47   6.48  489.0   1.01
dnu[35]            7.3  3.2e-4 7.3e-3   7.28   7.29    7.3    7.3   7.31  527.0    1.0
dnu[36]           5.56  3.6e-4 7.2e-3   5.54   5.55   5.56   5.56   5.57  404.0   1.01
dnu[37]           3.95  1.2e-3   0.02   3.91   3.94   3.95   3.97    4.0  336.0   1.01
dnu[38]           5.65  3.8e-4 7.2e-3   5.64   5.65   5.65   5.66   5.66  356.0   1.01
dnu[39]           8.31  4.1e-4 9.1e-3    8.3   8.31   8.31   8.32   8.33  504.0    1.0
dnu[40]            6.7  2.1e-4 5.1e-3   6.69   6.69    6.7    6.7   6.71  583.0   1.01
dnu[41]           4.73  4.0e-4 7.9e-3   4.72   4.73   4.73   4.74   4.75  386.0   1.01
dnu[42]           4.86  2.7e-4 6.1e-3   4.84   4.85   4.86   4.86   4.87  529.0   1.01
dnu[43]           5.35  9.5e-4 6.4e-3   5.34   5.35   5.35   5.36   5.37   46.0    1.1
dnu[44]           7.95  4.6e-4 9.3e-3   7.93   7.94   7.95   7.95   7.97  408.0   1.01
dnu[45]           5.21  3.4e-4 7.5e-3   5.19    5.2   5.21   5.21   5.22  474.0    1.0
dnu[46]           8.33  3.4e-4 8.4e-3   8.31   8.32   8.33   8.33   8.35  614.0   1.01
dnu[47]           5.05  3.4e-4 7.3e-3   5.04   5.05   5.05   5.06   5.07  467.0   1.01
dnu[48]           5.67  3.9e-4 7.6e-3   5.66   5.67   5.67   5.68   5.69  377.0   1.01
dnu[49]           5.03  3.2e-4 7.5e-3   5.01   5.02   5.03   5.03   5.04  536.0   1.01
dnu[50]           5.48  4.7e-4 9.4e-3   5.46   5.47   5.48   5.49    5.5  394.0    1.0
dnu[51]           9.22  3.9e-4 8.7e-3    9.2   9.21   9.22   9.23   9.24  486.0   1.01
dnu[52]           5.67  8.9e-4   0.02   5.64   5.66   5.67   5.68    5.7  357.0   1.02
dnu[53]            5.3  3.9e-4 8.1e-3   5.28   5.29    5.3   5.31   5.32  426.0   1.01
dnu[54]           5.28  4.4e-4 8.1e-3   5.27   5.28   5.28   5.29    5.3  344.0   1.01
dnu[55]           6.42  4.9e-4 9.9e-3    6.4   6.41   6.42   6.42   6.44  403.0   1.02
dnu[56]           6.61  3.0e-4 7.0e-3    6.6   6.61   6.61   6.62   6.62  529.0   1.01
dnu[57]           6.05  5.5e-4   0.01   6.02   6.04   6.05   6.05   6.06  353.0   1.01
dnu[58]           5.78  4.9e-4 8.6e-3   5.76   5.78   5.78   5.79    5.8  313.0   1.02
dnu[59]           6.05  3.9e-4 7.7e-3   6.03   6.04   6.05   6.05   6.06  376.0   1.01
dnu[60]           5.42  3.6e-4 8.4e-3    5.4   5.41   5.42   5.42   5.43  549.0    1.0
dnu[61]           4.65  2.8e-4 7.1e-3   4.63   4.64   4.65   4.65   4.66  638.0   1.01
dnu[62]           5.41  5.8e-4   0.01   5.39    5.4   5.41   5.42   5.43  386.0    1.0
dnu[63]           6.01  4.8e-4 7.4e-3   5.99    6.0   6.01   6.01   6.02  236.0   1.04
dnu[64]           4.63  3.7e-4 8.8e-3   4.61   4.62   4.63   4.64   4.65  563.0   1.01
dnu[65]            8.3  3.0e-4 6.6e-3   8.29   8.29    8.3    8.3   8.31  479.0   1.01
dnu[66]           5.28  5.1e-4 8.1e-3   5.27   5.28   5.28   5.29    5.3  255.0   1.02
