Inference for Stan model: anon_model_893ae0f30707a4f59ccad73c820dc14f.
4 chains, each with iter=36000; warmup=18000; thin=1; 
post-warmup draws per chain=18000, total post-warmup draws=72000.

               mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]         4.63  7.9e-5 7.4e-3   4.62   4.63   4.63   4.64   4.65 8739.0    1.0
dnu[2]         5.29  1.1e-4 9.3e-3   5.27   5.28   5.29    5.3   5.31 6882.0    1.0
dnu[3]          4.7  8.2e-5 8.2e-3   4.68   4.69    4.7   4.71   4.72  10019    1.0
dnu[4]         5.76  6.6e-5 6.1e-3   5.75   5.75   5.76   5.76   5.77 8664.0    1.0
dnu[5]         6.47  9.1e-5 9.3e-3   6.45   6.47   6.47   6.48   6.49  10409    1.0
dnu[6]         6.31  7.9e-5 8.6e-3    6.3   6.31   6.31   6.32   6.33  12038    1.0
dnu[7]         4.74  6.4e-5 6.4e-3   4.73   4.74   4.74   4.75   4.76 9853.0    1.0
dnu[8]          4.6  7.0e-5 7.1e-3   4.59    4.6    4.6   4.61   4.61  10244    1.0
dnu[9]         8.44  4.9e-5 5.6e-3   8.43   8.43   8.44   8.44   8.45  13083    1.0
dnu[10]        7.05  7.2e-5 7.0e-3   7.04   7.05   7.05   7.06   7.07 9495.0    1.0
dnu[11]        5.64  6.7e-5 6.9e-3   5.63   5.63   5.64   5.64   5.65  10461    1.0
dnu[12]        4.82  7.8e-5 7.3e-3   4.81   4.82   4.82   4.83   4.83 8790.0    1.0
dnu[13]        4.63  7.8e-5 7.4e-3   4.62   4.63   4.63   4.64   4.65 9040.0    1.0
dnu[14]        5.67  6.4e-5 6.7e-3   5.66   5.67   5.67   5.68   5.69  11044    1.0
dnu[15]        5.32  8.6e-5 8.7e-3    5.3   5.31   5.32   5.32   5.33  10409    1.0
dnu[16]        5.14  5.5e-5 6.1e-3   5.12   5.13   5.14   5.14   5.15  12496    1.0
dnu[17]        7.29  7.9e-5 7.5e-3   7.28   7.29   7.29    7.3   7.31 8927.0    1.0
dnu[18]        4.93  7.6e-5 6.9e-3   4.92   4.93   4.93   4.93   4.94 8297.0    1.0
dnu[19]        5.88  5.2e-5 5.2e-3   5.87   5.88   5.88   5.89   5.89  10112    1.0
dnu[20]         9.1  5.3e-5 6.1e-3   9.09    9.1    9.1    9.1   9.11  13011    1.0
dnu[21]        5.19  5.6e-5 5.7e-3   5.18   5.19   5.19    5.2    5.2  10252    1.0
dnu[22]        8.08  6.4e-5 6.4e-3   8.07   8.08   8.08   8.08   8.09 9976.0    1.0
dnu[23]        4.72  7.6e-5 7.6e-3   4.71   4.72   4.72   4.73   4.74  10053    1.0
dnu[24]        6.17  6.4e-5 6.7e-3   6.16   6.17   6.17   6.18   6.19  10903    1.0
dnu[25]        5.23  1.3e-4   0.01    5.2   5.22   5.23   5.23   5.25 7606.0    1.0
dnu[26]        6.72  9.9e-5 9.4e-3    6.7   6.71   6.72   6.72   6.73 9036.0    1.0
dnu[27]        8.78  1.9e-4   0.02   8.75   8.77   8.78    8.8   8.82 8170.0    1.0
dnu[28]         4.8  6.3e-5 6.7e-3   4.78   4.79    4.8    4.8   4.81  11094    1.0
dnu[29]        7.29  9.3e-5   0.01   7.27   7.28   7.29    7.3   7.31  12308    1.0
