Inference for Stan model: anon_model_893ae0f30707a4f59ccad73c820dc14f.
4 chains, each with iter=90000; warmup=45000; thin=1; 
post-warmup draws per chain=45000, total post-warmup draws=180000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]        8.08  1.3e-4 7.5e-3   8.07   8.08   8.08   8.09    8.1 3358.0    1.0
dnu[2]        5.05  1.4e-4 7.2e-3   5.04   5.05   5.05   5.06   5.07 2693.0    1.0
dnu[3]        6.01  1.2e-4 6.6e-3   5.99    6.0   6.01   6.01   6.02 3121.0    1.0
dnu[4]        5.66  3.6e-4   0.02   5.63   5.65   5.66   5.68    5.7 2278.0    1.0
dnu[5]        5.61  1.5e-4 7.3e-3    5.6   5.61   5.61   5.62   5.62 2521.0    1.0
dnu[6]        5.35  1.1e-4 6.3e-3   5.33   5.34   5.35   5.35   5.36 3553.0    1.0
dnu[7]        5.04  2.3e-4   0.01   5.02   5.03   5.04   5.04   5.06 2039.0    1.0
dnu[8]        5.43  1.6e-4 7.5e-3   5.41   5.42   5.43   5.43   5.44 2145.0    1.0
dnu[9]         4.8  1.7e-4 9.9e-3   4.78   4.79    4.8   4.81   4.82 3409.0    1.0
dnu[10]        6.0  1.8e-4 9.0e-3   5.99    6.0   6.01   6.01   6.02 2535.0    1.0
dnu[11]       5.79  2.2e-3   0.03   5.74   5.77   5.79   5.81   5.84  157.0   1.04
dnu[12]       5.85  1.4e-4 7.3e-3   5.83   5.84   5.85   5.85   5.86 2752.0    1.0
dnu[13]       5.76  1.4e-4 6.7e-3   5.75   5.76   5.76   5.77   5.78 2257.0    1.0
dnu[14]       4.74  1.3e-4 7.1e-3   4.73   4.74   4.74   4.75   4.76 2884.0    1.0
dnu[15]       8.39  1.2e-4 7.7e-3   8.37   8.38   8.39   8.39    8.4 3967.0    1.0
dnu[16]        6.5  2.5e-4   0.01   6.47   6.49    6.5    6.5   6.52 2467.0    1.0
dnu[17]       5.23  3.6e-4   0.02   5.19   5.22   5.23   5.24   5.25 1825.0    1.0
dnu[18]       7.46  2.0e-4   0.01   7.44   7.46   7.46   7.47   7.48 2758.0    1.0
dnu[19]       6.49  1.4e-4 7.5e-3   6.48   6.49   6.49    6.5   6.51 2988.0    1.0
dnu[20]       6.25  2.1e-4   0.01   6.23   6.24   6.25   6.25   6.27 2249.0    1.0
dnu[21]       4.89  1.3e-4 6.4e-3   4.88   4.89   4.89    4.9   4.91 2272.0    1.0
dnu[22]       5.32  2.5e-4   0.01   5.29   5.31   5.32   5.32   5.34 1876.0    1.0
dnu[23]       5.67  1.3e-4 7.0e-3   5.66   5.67   5.67   5.68   5.69 3085.0    1.0
dnu[24]       6.26  1.6e-4 8.2e-3   6.24   6.25   6.26   6.26   6.28 2527.0    1.0
dnu[25]       5.24  2.0e-4 9.7e-3   5.22   5.23   5.24   5.25   5.26 2325.0    1.0
dnu[26]       6.73  1.8e-4 9.9e-3   6.72   6.73   6.73   6.74   6.75 2942.0    1.0
dnu[27]       6.14  1.5e-4 7.3e-3   6.12   6.13   6.14   6.14   6.15 2536.0    1.0
