Inference for Stan model: anon_model_36d21e616971c881d1e45dd863be4cb0.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]           4.118 8.15e-4  0.023  4.074  4.103  4.119  4.133  4.162  770.0  1.005
dnu[2]           3.721 3.24e-4  0.013  3.694  3.713  3.722   3.73  3.745   1539  1.001
dnu[3]           3.722 3.29e-4  0.012  3.696  3.714  3.723  3.731  3.745   1412  1.001
dnu[4]          12.951   0.004  0.104 12.756 12.881 12.945 13.016 13.169  832.0  1.006
dnu[5]           0.858 1.85e-4  0.008  0.843  0.853  0.858  0.863  0.874   1816  1.001
dnu[6]           6.592   0.002  0.046    6.5  6.562  6.593  6.623  6.679  691.0  1.005
dnu[7]           8.511 7.33e-4  0.028  8.458  8.493   8.51  8.529  8.568   1447  1.002
dnu[8]           8.509 7.32e-4  0.028  8.455  8.491  8.509  8.528  8.565   1427  1.003
dnu[9]           2.423 6.38e-4  0.017  2.391  2.411  2.423  2.435  2.455  684.0   1.01
dnu[10]          6.028 2.82e-4  0.011  6.005  6.022  6.029  6.036  6.048   1473  1.007
dnu[11]          3.655   0.001  0.023  3.609  3.641  3.655   3.67    3.7  412.0  1.027
dnu[12]          3.075 5.65e-4  0.018  3.039  3.063  3.075  3.087   3.11   1012  1.005
dnu[13]          4.118 8.28e-4  0.022  4.073  4.103  4.118  4.133   4.16  717.0  1.003
dnu[14]           3.65 8.75e-4  0.024  3.605  3.634   3.65  3.666  3.699  754.0  1.003
dnu[15]          0.996  2.4e-4  0.007  0.981  0.991  0.995    1.0  1.011  955.0  1.005
dnu[16]          3.727 8.18e-4  0.023  3.681   3.71  3.727  3.743  3.772  825.0   1.01
dnu[17]          3.741   0.001  0.029  3.684  3.721  3.741  3.761  3.799  677.0  1.004
dnu[18]          6.594   0.002  0.047  6.502  6.562  6.594  6.625  6.688  827.0  1.003
dnu[19]          3.753 3.36e-4  0.012  3.729  3.745  3.753  3.761  3.777   1293  1.002
dnu[20]          6.029 2.99e-4  0.011  6.006  6.022  6.029  6.036  6.048   1290  1.004
dnu[21]          4.183   0.001  0.028  4.127  4.164  4.184  4.202  4.236  665.0  1.009
dnu[22]          4.916 8.24e-4  0.023   4.87  4.901  4.916  4.932  4.961  788.0  1.005
dnu[23]          4.116 8.75e-4  0.023  4.072  4.101  4.116  4.131  4.164  696.0  1.005
dnu[24]          4.117 8.38e-4  0.023  4.072  4.102  4.118  4.133  4.161  733.0  1.001
