Inference for Stan model: anon_model_44e3c749f7a7110bcaebb3c656940e7c.
4 chains, each with iter=50000; warmup=25000; thin=1; 
post-warmup draws per chain=25000, total post-warmup draws=100000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]       3.985   0.063  0.155  3.732  3.793  4.066  4.076  4.243    6.0  2.572
dnu[2]       4.001   0.073  0.142  3.777  3.812  4.101  4.115  4.122    4.0  2.871
dnu[3]       4.113   0.004  0.014  4.074  4.108  4.117  4.123  4.131   11.0  1.321
dnu[4]       5.668   0.009  0.031  5.617  5.658   5.66  5.667  5.768   11.0  1.754
dnu[5]       3.301   0.003  0.014  3.268  3.297  3.299  3.306  3.335   17.0  1.205
dnu[6]       3.574   0.085  0.144  3.371  3.396   3.69  3.696  3.699    3.0   2.61
dnu[7]       4.078   0.009  0.022  4.056  4.063  4.068  4.088  4.131    5.0   1.83
dnu[8]       5.742   0.008  0.016   5.72  5.732  5.734  5.756  5.777    4.0  1.556
dnu[9]       9.623   0.036  0.069  9.433  9.629  9.631  9.648  9.734    4.0  1.758
dnu[10]     11.337   0.034  0.069 11.266 11.292 11.317 11.336 11.538    4.0    1.9
dnu[11]      7.212   0.013  0.025  7.186  7.191  7.202  7.231  7.274    4.0   1.57
dnu[12]      3.567   0.014  0.039  3.522   3.54  3.551    3.6  3.646    7.0  2.377
dnu[13]      3.968   0.037  0.085  3.776  3.877  4.021   4.03  4.032    5.0  3.237
dnu[14]      3.061   0.021   0.04  3.024  3.031  3.039  3.081  3.168    4.0  2.306
dnu[15]      8.782   0.012  0.031  8.735  8.762  8.774  8.795  8.862    7.0  1.651
dnu[16]      3.977   0.008   0.02  3.954  3.961  3.971  3.993  4.021    6.0  1.762
dnu[17]      4.014   0.041  0.123  3.729  4.014  4.061  4.071  4.191    9.0  2.068
dnu[18]      2.996   0.009  0.021  2.967  2.977  2.989  3.014   3.04    5.0  1.595
dnu[19]      4.778   0.009   0.02   4.75  4.764  4.767  4.799  4.816    5.0  2.175
dnu[20]      6.463   0.012  0.028  6.436  6.441  6.454  6.475  6.539    6.0  2.324
dnu[21]      8.434   0.017  0.054  8.263  8.413   8.46  8.465  8.479   11.0  1.426
dnu[22]      3.987   0.087  0.151  3.779  3.801  4.106  4.112  4.118    3.0  2.441
dnu[23]     12.933   0.034  0.091 12.681 12.919 12.973 12.986  13.01    7.0  2.113
dnu[24]      4.755   0.016  0.028  4.726  4.732  4.734  4.783  4.806    3.0   1.93
dnu[25]      2.394    0.01  0.024  2.369  2.376  2.387    2.4  2.457    5.0   2.85
dnu[26]       6.22   0.012  0.021  6.192  6.201  6.211  6.241  6.261    3.0  1.859
dnu[27]      2.757    0.06   0.11   2.56  2.642  2.831   2.84  2.848    3.0  2.392
dnu[28]      4.045   0.058   0.12  3.831  3.922  4.128  4.134   4.14    4.0  3.415
dnu[29]      4.537   0.007  0.017    4.5  4.531  4.535  4.539   4.58    5.0  1.609
dnu[30]       7.01   0.025  0.042  6.967  6.973   6.99  7.042  7.098    3.0  2.175
dnu[31]      3.945   0.046  0.098   3.76   3.83   4.01  4.016  4.021    5.0  3.237
dnu[32]      7.855   0.056   0.09   7.78  7.783  7.795  7.923  8.037    3.0   2.79
dnu[33]      2.741   0.177  0.324  2.473  2.482  2.597   3.14  3.279    3.0  4.697
dnu[34]      3.954   0.082  0.146  3.748  3.773  4.066  4.075   4.08    3.0  2.376
dnu[35]      2.482   0.051  0.097  2.332  2.357  2.553  2.557  2.562    4.0  3.098
dnu[36]      9.335   0.041  0.085  9.062  9.308  9.376   9.39  9.408    4.0  1.592
dnu[37]      8.492   0.008  0.021  8.467  8.476  8.486  8.499  8.549    7.0  1.383
dnu[38]      7.825   0.009  0.017  7.804  7.809  7.821  7.839  7.863    4.0  1.744
dnu[39]      8.144   0.009  0.022  8.119  8.123  8.141  8.156  8.193    7.0  1.424
dnu[40]      6.107   0.015  0.037  6.075  6.083  6.084   6.13  6.198    6.0  2.884
