Inference for Stan model: anon_model_122fa4c7d85ec26172d820d9fa2c8950.
4 chains, each with iter=12000; warmup=6000; thin=1; 
post-warmup draws per chain=6000, total post-warmup draws=24000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]      11.714   0.006  0.042 11.625 11.687 11.715 11.742 11.794   45.0  1.085
dnu[2]      11.926   0.069  0.147 11.645 11.838 11.923 12.004 12.243    5.0  1.388
dnu[3]      10.546   0.001  0.012 10.522 10.538 10.547 10.555  10.57   68.0  1.098
dnu[4]      10.067 3.69e-4  0.008 10.053 10.062 10.067 10.072 10.082  414.0  1.026
dnu[5]       9.642   0.046  0.093  9.504  9.558   9.63  9.722  9.816    4.0   1.46
dnu[6]        8.92   0.006  0.067  8.798  8.877  8.912   8.96  9.067  114.0  1.044
dnu[7]       8.243  5.1e-4  0.009  8.227  8.237  8.243  8.249   8.26  282.0  1.016
dnu[8]       8.077   0.006  0.043    8.0  8.049  8.071  8.103  8.172   45.0  1.083
dnu[9]        7.79   0.062  0.095  7.601  7.705  7.826  7.863  7.909    2.0  2.651
dnu[10]       6.48   0.003  0.018  6.442  6.467  6.481  6.493  6.514   39.0  1.081
dnu[11]      6.618   0.006   0.04  6.531  6.593  6.625  6.644  6.689   49.0  1.075
dnu[12]      6.136 1.98e-4  0.005  6.125  6.132  6.136  6.139  6.145  641.0  1.003
dnu[13]      5.819    0.01  0.093  5.619  5.769  5.817  5.868  6.021   89.0  1.065
dnu[14]      5.593   0.011  0.027  5.541  5.575  5.592  5.612  5.646    6.0  1.266
dnu[15]      5.334  9.7e-4  0.019  5.293  5.323  5.334  5.345  5.372  392.0  1.014
dnu[16]      5.141   0.004   0.03  5.085  5.121  5.141  5.161  5.198   43.0   1.12
dnu[17]      4.816   0.037  0.099  4.598  4.766  4.815  4.865  5.012    7.0  1.255
dnu[18]      4.732 5.98e-4  0.007  4.718  4.727  4.732  4.737  4.745  132.0  1.017
dnu[19]      4.728   0.002  0.027  4.673  4.712  4.727  4.744  4.783  279.0  1.011
dnu[20]      4.783 8.07e-4  0.012  4.759  4.776  4.783  4.791  4.804  212.0  1.007
dnu[21]      4.792   0.025  0.049  4.712  4.753  4.795  4.827  4.884    4.0  1.513
dnu[22]      4.765   0.005   0.03  4.704  4.746  4.764  4.784  4.824   35.0  1.129
dnu[23]      4.545   0.011  0.026  4.493  4.526  4.547  4.564  4.592    5.0  1.344
dnu[24]      4.741 7.91e-4  0.008  4.726  4.735  4.741  4.747  4.758  113.0  1.035
dnu[25]      4.682 8.58e-4   0.01  4.663  4.675  4.681  4.688  4.701  133.0  1.045
dnu[26]      4.707   0.014  0.032  4.654  4.682  4.708   4.73  4.769    5.0  1.332
dnu[27]      4.682   0.006  0.022  4.632  4.668  4.683  4.697  4.719   15.0  1.156
dnu[28]      4.681 9.78e-4   0.01  4.659  4.675  4.682  4.688  4.699  103.0   1.03
dnu[29]      4.706   0.001  0.018  4.668  4.696  4.708  4.717  4.738  200.0  1.032
dnu[30]      4.664   0.007   0.02  4.624  4.651  4.663  4.678  4.704   10.0  1.181
dnu[31]      4.664   0.004  0.011  4.647  4.657  4.662  4.668  4.693    9.0  1.348
dnu[32]      4.384   0.002  0.011  4.362  4.376  4.384  4.392  4.406   23.0  1.107
dnu[33]      4.537   0.001  0.007  4.524  4.532  4.536  4.541   4.55   19.0  1.104
dnu[34]      4.245 4.95e-4  0.008  4.228  4.239  4.245   4.25  4.259  265.0  1.008
dnu[35]      4.329  4.2e-4  0.009  4.312  4.323  4.329  4.335  4.346  436.0  1.014
dnu[36]      4.103   0.006  0.026  4.056  4.085  4.101  4.122  4.156   20.0  1.112
dnu[37]       4.31 7.79e-4  0.011  4.286  4.303  4.311  4.318  4.329  204.0  1.031
dnu[38]      2.775   1.134  1.607  0.326  1.184  3.119  3.934  4.867    2.0 16.774
dnu[39]      3.879   0.048  0.069  3.754  3.821  3.889  3.938  3.981    2.0  4.555
dnu[40]      4.018   0.004  0.026  3.963  4.002  4.019  4.034  4.068   52.0  1.118
dnu[41]      4.117   0.002   0.03  4.059  4.098  4.116  4.135   4.18  171.0  1.012
dnu[42]      3.654   0.002  0.015  3.625  3.643  3.654  3.664   3.68   36.0  1.071
dnu[43]      3.537   0.015  0.023  3.489  3.521  3.544  3.554  3.568    3.0  2.157
dnu[44]      4.028   0.005  0.012  4.001  4.021  4.029  4.036  4.048    5.0   1.44
dnu[45]      3.072   0.003  0.024   3.02  3.056  3.072   3.09  3.115   71.0  1.062
dnu[46]      2.778   0.003  0.009  2.759  2.773  2.779  2.784  2.794   11.0  1.146
dnu[47]      2.007   0.006  0.013  1.982  1.999  2.006  2.015  2.033    5.0  1.324
dnu[48]      1.785   0.007  0.038   1.72  1.759  1.781  1.809  1.865   34.0  1.156
dnu[49]      1.157   0.005  0.028  1.107  1.138  1.152  1.175   1.22   33.0  1.104
dnu[50]      0.891   0.029  0.052  0.792   0.85  0.896  0.924  0.992    3.0  1.672
numax[1]    154.80   1.103   5.47 143.31 151.31 154.95 158.75 164.17   25.0   1.13
