Inference for Stan model: anon_model_44e3c749f7a7110bcaebb3c656940e7c.
4 chains, each with iter=48000; warmup=24000; thin=1; 
post-warmup draws per chain=24000, total post-warmup draws=96000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[1]      11.718 2.43e-4  0.029 11.661 11.699 11.718 11.737 11.775  14058    1.0
dnu[2]      11.986 3.85e-4   0.04 11.907  11.96 11.986 12.012 12.067  11002  1.001
dnu[3]      10.548  5.3e-5   0.01 10.528 10.541 10.548 10.555 10.568  37099    1.0
dnu[4]      10.063 2.97e-5  0.007 10.049 10.058 10.063 10.068 10.077  57540    1.0
dnu[5]       9.655 2.64e-4  0.032  9.592  9.634  9.655  9.676  9.717  14326  1.001
dnu[6]       8.928 2.35e-4  0.027  8.874   8.91  8.928  8.946  8.982  13420  1.001
dnu[7]       8.248  3.5e-5  0.008  8.232  8.243  8.248  8.253  8.263  48463    1.0
dnu[8]       8.097 2.07e-4  0.024  8.049  8.081  8.097  8.113  8.145  13459  1.001
dnu[9]       6.463 1.14e-4  0.015  6.434  6.453  6.463  6.473  6.493  17002  1.001
dnu[10]      6.649 1.72e-4   0.02  6.608  6.636  6.649  6.663  6.688  14169    1.0
dnu[11]      6.135 2.97e-5  0.006  6.125  6.132  6.135  6.139  6.146  34366    1.0
dnu[12]      5.722 1.56e-4  0.021  5.681  5.708  5.722  5.735  5.763  17669    1.0
dnu[13]      5.593 1.56e-4  0.016  5.561  5.583  5.594  5.604  5.625  10699  1.003
dnu[14]      5.351 1.35e-4  0.016   5.32  5.341  5.352  5.362  5.381  13213    1.0
dnu[15]      5.161 1.48e-4  0.017  5.127   5.15  5.161  5.172  5.193  12623  1.001
dnu[16]      4.888 1.68e-4   0.02  4.848  4.875  4.888  4.901  4.927  14220    1.0
dnu[17]      4.729 3.76e-5  0.007  4.716  4.724  4.729  4.733  4.741  30780    1.0
dnu[18]      4.742  1.3e-4  0.016  4.709  4.731  4.742  4.752  4.773  15547    1.0
dnu[19]      4.779 5.96e-5   0.01   4.76  4.772  4.779  4.786  4.798  26716    1.0
dnu[20]      4.787   0.001  0.017  4.753  4.776  4.787  4.798  4.821  250.0  1.017
dnu[21]      4.744 1.26e-4  0.016  4.713  4.733  4.744  4.755  4.776  16535    1.0
dnu[22]      4.563 1.03e-4  0.015  4.533  4.553  4.563  4.573  4.592  20840    1.0
dnu[23]      4.741 4.19e-5  0.008  4.726  4.735   4.74  4.746  4.756  33183    1.0
dnu[24]      4.686 5.51e-5  0.009  4.669   4.68  4.686  4.692  4.703  24286    1.0
dnu[25]      4.713  1.3e-4  0.016  4.681  4.703  4.713  4.724  4.745  15266    1.0
dnu[26]      4.689 1.18e-4  0.015  4.659  4.679  4.689  4.699  4.717  15756    1.0
dnu[27]      4.679 6.38e-4   0.01  4.658  4.673  4.679  4.686  4.697  237.0  1.016
dnu[28]      4.704 1.07e-4  0.014  4.677  4.695  4.704  4.714  4.731  16785    1.0
dnu[29]      4.661 1.12e-4  0.015  4.631  4.651  4.661  4.671   4.69  18458    1.0
dnu[30]      4.392 7.91e-5  0.009  4.374  4.386  4.392  4.398   4.41  13909  1.002
dnu[31]      4.538  3.2e-5  0.006  4.526  4.534  4.538  4.542   4.55  35744    1.0
dnu[32]      4.253 5.43e-5  0.008  4.238  4.248  4.253  4.258  4.267  19434    1.0
dnu[33]      4.325 5.39e-5  0.008  4.308  4.319  4.325   4.33  4.341  23332    1.0
dnu[34]      4.127 1.16e-4  0.014  4.098  4.118  4.127  4.137  4.155  15333    1.0
dnu[35]      4.306 6.85e-5   0.01  4.285    4.3  4.307  4.313  4.325  22948    1.0
dnu[36]      4.111 1.26e-4  0.016  4.079    4.1  4.111  4.121  4.142  15909    1.0
dnu[37]      3.092 1.06e-4  0.013  3.067  3.084  3.093  3.101  3.116  14152    1.0
numax[1]    155.99   0.033  3.901 148.24 153.41 156.02 158.59 163.64  14139    1.0
numax[2]    154.02   0.047  4.739 144.85 150.93 153.90 156.97 163.74  10334  1.001
numax[3]    134.51   0.001  0.304 133.92 134.31 134.51 134.72 135.11  65242    1.0
numax[4]    126.09 1.17e-5  0.004 126.08 126.08 126.09 126.09 126.09  96837    1.0
numax[5]    119.94   0.025  3.025 113.92 117.97 119.96 121.93 125.85  14392  1.001
numax[6]    109.52   0.025  2.917 103.75 107.61 109.52 111.43 115.29  14123    1.0
numax[7]    98.429 9.86e-4  0.249 97.943 98.261 98.429 98.596 98.916  63573    1.0
numax[8]    95.835   0.021  2.435 91.051 94.223 95.825 97.438 100.68  13352  1.001
numax[9]    77.909   0.009  1.261  75.47 77.053 77.897  78.75 80.427  18853  1.001
numax[10]   74.119   0.017  1.918 70.019 72.917 74.227 75.433 77.636  13473    1.0
numax[11]   68.435 6.53e-5   0.03 68.377 68.415 68.435 68.455 68.494 206973    1.0
numax[12]   63.263   0.017   2.11 59.072 61.927 63.248 64.576 67.528  15329    1.0
numax[13]   55.805   0.021  1.259  53.28 54.972 55.815 56.653 58.243   3546  1.004
numax[14]   54.205   0.012  1.394 51.376 53.282  54.24 55.153 56.847  13230    1.0
numax[15]   53.346   0.012  1.373 50.533 52.462 53.384 54.268 55.962  12847  1.001
numax[16]   49.651   0.013  1.609  46.44 48.624 49.655 50.692 52.819  14345    1.0
numax[17]   48.341   0.002  0.388 47.582  48.08  48.34 48.602 49.104  35238    1.0
numax[18]   46.758   0.011   1.33 44.082 45.893 46.781 47.649 49.331  16031    1.0
numax[19]   45.911   0.002  0.342 45.239 45.681 45.911 46.141  46.58  42877    1.0
numax[20]   45.443   0.076  1.223 43.032 44.639 45.436 46.242  47.87  259.0  1.016
numax[21]   45.473    0.01  1.354 42.837  44.57 45.459 46.362 48.173  17003    1.0
numax[22]   45.857   0.007  1.032 43.799 45.176 45.868 46.555 47.854  22623    1.0
numax[23]   45.542   0.001  0.294 44.966 45.343 45.543 45.741 46.119  40344    1.0
numax[24]    45.04   0.003  0.464  44.13  44.73 45.039  45.35 45.951  29757    1.0
numax[25]   44.915    0.01  1.177 42.626 44.127   44.9 45.694 47.261  15263    1.0
numax[26]   44.875   0.011  1.482 41.898 43.895 44.894 45.872 47.731  16645    1.0
numax[27]   45.181 2.45e-5   0.01 45.162 45.174 45.181 45.188   45.2 157965    1.0
numax[28]   44.511    0.01  1.273 42.021 43.656 44.506 45.369 47.003  16477    1.0
numax[29]   43.189    0.01   1.35 40.503 42.292 43.203 44.093 45.811  18869    1.0
numax[30]   42.679   0.002  0.391 41.908 42.417  42.68 42.942 43.448  34225  1.001
numax[31]   43.167 3.21e-4  0.084 43.003  43.11 43.167 43.223 43.332  68634    1.0
numax[32]   41.563   0.002  0.344 40.887 41.332 41.565 41.797 42.235  31457    1.0
numax[33]   40.775 9.94e-4  0.215 40.352 40.631 40.777 40.921 41.195  46799    1.0
numax[34]   40.415   0.009  1.179 38.041 39.649 40.435 41.207 42.667  15540    1.0
numax[35]    39.88   0.001  0.332 39.228 39.657  39.88 40.102 40.533  49429    1.0
numax[36]   34.148   0.009  1.149 31.888 33.386 34.142 34.908 36.419  16286    1.0
numax[37]   27.289   0.006  0.733 25.809  26.81 27.306 27.785 28.678  14218    1.0
G[1]         3.577   0.001  0.279  3.092  3.385  3.554  3.744  4.191  37050    1.0
G[2]         3.164   0.002  0.311  2.592   2.95  3.152  3.365  3.812  35906    1.0
G[3]         2.496   0.002  0.234  1.938  2.367  2.505  2.642   2.93  14944    1.0
G[4]         3.031   0.002  0.277  2.583  2.852  2.996   3.17   3.69  28996    1.0
G[5]         3.146   0.001  0.256  2.719  2.971  3.119  3.291  3.726  59134    1.0
G[6]         3.713   0.002  0.366    3.0  3.471  3.709  3.952  4.451  38358    1.0
G[7]         2.823   0.001  0.238  2.359  2.666   2.82  2.974  3.304  36393    1.0
G[8]         2.933 7.58e-4  0.158  2.645  2.829  2.925  3.029   3.27  43260    1.0
G[9]         3.072   0.013  0.797   2.22  2.472  2.668  3.825  4.718   4017  1.002
G[10]        3.695   0.004  0.474  2.621  3.422  3.734   4.01  4.549  17433    1.0
G[11]        3.015   0.001  0.156  2.726  2.917   3.01   3.11  3.339  22728    1.0
G[12]        3.769   0.005  0.635   2.35  3.433  3.833  4.192  4.875  16574    1.0
G[13]        2.442   0.054  0.282  1.683  2.318  2.439  2.584  2.996   27.0  1.127
G[14]        2.572 8.95e-4  0.184  2.236  2.443  2.565  2.693  2.952  42426    1.0
G[15]        2.716   0.113  0.374  1.556   2.68  2.797  2.908  3.141   11.0  1.537
G[16]        2.497   0.002  0.217  1.886  2.391  2.512  2.629  2.874  12844    1.0
G[17]        3.264   0.001  0.221  2.887  3.111  3.245  3.393  3.753  33784    1.0
G[18]        2.937   0.001  0.242  2.521  2.768  2.917  3.082  3.473  52306    1.0
G[19]        3.173   0.002  0.348  2.583  2.929  3.146   3.39  3.925  34516    1.0
G[20]        3.196    0.02  0.503   2.33  2.912  3.141  3.447   4.33  655.0  1.009
G[21]        3.194   0.002  0.323  2.681  2.973  3.155  3.375  3.942  27152    1.0
G[22]        2.502   0.006  0.532   1.49  2.136   2.65  2.874  3.325   8882  1.001
G[23]        3.326   0.001  0.247  2.891  3.156  3.308  3.473  3.867  44195    1.0
G[24]        3.384   0.002  0.363  2.731  3.134  3.364  3.608  4.167  35916    1.0
G[25]         2.94   0.001  0.199  2.607  2.802   2.92  3.057  3.387  36157  1.001
G[26]          3.4   0.004  0.549  2.454  2.949  3.437  3.795  4.444  23410    1.0
G[27]        3.471   0.096  0.565  2.592  3.099  3.405  3.829  4.636   34.0  1.053
G[28]        3.444   0.002  0.319  2.884  3.219  3.421  3.647  4.126  41648    1.0
G[29]        3.098   0.004  0.371  2.486  2.863  3.065  3.303  3.925   9661  1.001
G[30]        2.678   0.043   0.59  1.661  2.352  2.522  2.832  4.157  187.0  1.019
G[31]        2.989   0.001  0.229  2.613  2.831  2.965  3.117  3.512  35273    1.0
G[32]        3.266   0.002  0.247   2.83  3.109  3.251  3.407  3.802  15182    1.0
G[33]         3.43   0.001  0.282  2.943  3.232  3.408  3.605  4.042  35752    1.0
G[34]        2.663   0.001  0.183  2.363  2.542  2.647  2.763  3.059  29169    1.0
G[35]        3.612   0.009  0.674   1.95  3.273  3.656  4.045  4.796   6101  1.001
G[36]        2.899   0.002   0.28  2.424  2.713  2.875  3.058  3.527  25072    1.0
G[37]         2.63   0.001  0.174  2.306  2.524   2.63   2.74  2.963  17262    1.0
phi[1]       2.301   0.005  0.626  1.091  1.883   2.29  2.705  3.567  14774    1.0
phi[2]       2.036   0.008  0.823  0.455  1.519  2.006  2.523  3.769  10465  1.001
phi[3]       2.503   0.003  0.356  2.002  2.282  2.445  2.641  3.541  10799    1.0
phi[4]       2.307   0.001   0.27  1.813  2.134  2.293  2.461  2.882  32798    1.0
phi[5]       2.083   0.006  0.658  0.791  1.657  2.077  2.504  3.383  12725  1.001
phi[6]       1.816   0.005  0.568  0.709  1.454  1.807  2.168  2.972  13191  1.001
phi[7]       2.013   0.002  0.297   1.45  1.812  2.005  2.207  2.614  34800    1.0
phi[8]       2.172   0.006  0.671  0.866  1.727  2.164  2.609  3.521  13498  1.001
phi[9]      -0.179   1.909  2.826 -6.003 -1.692  0.768  1.913  2.958    2.0  3.224
phi[10]      1.253   0.004  0.527  0.177  0.928  1.262   1.58   2.28  14230    1.0
phi[11]      1.194   0.001  0.202  0.819  1.063  1.188  1.317    1.6  22402    1.0
phi[12]     -0.751   0.007  0.813 -2.312 -1.246 -0.757  -0.27   0.83  12784    1.0
phi[13]     -0.017   1.943  3.299 -4.811 -3.658    1.8  2.627  5.505    3.0  2.625
phi[14]     -3.528   0.006  0.686 -4.892 -3.982 -3.522 -3.068  -2.19  13948    1.0
phi[15]      1.288   0.236  0.977 -0.171  0.707  1.149  1.634  4.186   17.0  1.264
phi[16]      1.122   0.008  0.932 -0.647  0.519  1.094  1.685  3.081  12314    1.0
phi[17]      0.529   0.001  0.251  0.043   0.36  0.526  0.696  1.026  35054    1.0
phi[18]      0.789   0.005  0.634 -0.484  0.379  0.795  1.206  2.033  16305    1.0
phi[19]      0.197   0.002  0.346 -0.469  -0.04  0.191  0.428  0.887  46236    1.0
phi[20]     -0.319   0.769  3.077 -6.164 -0.843 -0.109  0.524  6.117   16.0  1.246
phi[21]      0.057   0.005  0.619 -1.149 -0.354  0.052  0.463  1.295  18328    1.0
phi[22]     -0.101   1.138  2.754 -5.768 -0.169  0.981  1.603   3.18    6.0  1.619
phi[23]     -0.163   0.001  0.246 -0.641 -0.329 -0.1663.73e-4  0.326  43050    1.0
phi[24]       0.05   0.002  0.346 -0.599 -0.185  0.038  0.274  0.763  30666    1.0
phi[25]      0.519   0.005  0.589 -0.612   0.12  0.507  0.904  1.709  16849    1.0
phi[26]      0.007   0.006   0.75 -1.367 -0.493 -0.035  0.457   1.64  15737    1.0
phi[27]      1.856   2.355  4.107 -6.202 -0.418  0.379  5.844  6.244    3.0  2.045
phi[28]       -0.7   0.004  0.559 -1.772  -1.08 -0.709 -0.328  0.418  17815    1.0
phi[29]     -0.218   0.005   0.68  -1.61 -0.649 -0.194  0.237  1.051  15740    1.0
phi[30]     -2.512   0.761  3.276 -6.149 -5.289 -4.684  0.727  5.549   19.0  1.226
phi[31]      0.454 9.51e-4  0.219  0.004  0.311   0.46  0.604  0.867  53313    1.0
phi[32]      0.384   0.002  0.256 -0.081  0.215  0.374  0.539    0.9  12728    1.0
phi[33]      0.247 9.77e-4  0.205 -0.162  0.111  0.249  0.386  0.645  44255    1.0
phi[34]      1.683   0.006  0.726  0.218  1.213  1.694  2.166  3.084  15837    1.0
phi[35]      0.106   0.015  0.823 -0.738  -0.31 -0.056  0.248  2.979   2834  1.002
phi[36]     -0.227   0.005  0.674 -1.529 -0.676 -0.235  0.213  1.127  17116    1.0
phi[37]      0.498   0.005  0.628 -0.752  0.084  0.505  0.916  1.706  14261    1.0
tau[1]      10.101   0.015  3.532  4.073  7.483  9.877 12.453 17.547  56292    1.0
tau[2]      10.758   0.015  3.601  4.256  8.149 10.605 13.175 18.218  60477    1.0
tau[3]       9.272   0.018  3.867  2.718  6.341  9.093 11.917 17.238  46031    1.0
tau[4]       10.06   0.015  3.623  3.708  7.403  9.876 12.485 17.586  57026    1.0
tau[5]      11.207   0.013  3.465  5.027  8.712  11.04 13.495 18.455  68922    1.0
tau[6]       7.462   0.018  3.408  2.763  4.781  6.814  9.563 15.368  37841    1.0
tau[7]         7.7   0.017  3.914    2.2  4.433  7.167 10.372 16.218  53821    1.0
tau[8]       7.591   0.016  3.707  2.396  4.569   7.01 10.028 15.874  52190    1.0
tau[9]       9.465   0.018  3.905  2.537  6.589  9.346 12.128 17.348  49012    1.0
tau[10]      6.757   0.026  3.954  1.626  3.401  6.009  9.425 15.563  22595    1.0
tau[11]      7.953   0.021  4.063   1.97  4.565  7.564 10.789  16.56  36195    1.0
tau[12]      8.639   0.023  4.275  1.266  5.409  8.599 11.637   17.2  34258    1.0
tau[13]     10.142   0.014  3.685  3.554  7.473  9.993 12.626 17.742  64973    1.0
tau[14]     10.101   0.014  3.585   3.92  7.456  9.877 12.502 17.628  66800    1.0
tau[15]     10.118   0.106   3.62  3.693   7.49  9.958  12.53 17.601   1175  1.007
tau[16]      9.418   0.016  3.859  2.796  6.521  9.237 12.043 17.366  61709    1.0
tau[17]      8.657    0.02  4.003  2.321   5.46  8.413 11.454 16.977  41203    1.0
tau[18]      8.668   0.017  3.939  2.302  5.598  8.421 11.365 16.943  53520    1.0
tau[19]     10.414   0.014  3.628  3.879  7.793 10.258 12.854 17.897  62646    1.0
tau[20]      9.212   0.017  3.875  2.512  6.296  9.051  11.87 17.165  51184    1.0
tau[21]     10.299   0.015  3.684  3.706  7.616  10.16 12.768 17.903  61314    1.0
tau[22]     10.685   0.016  3.699  3.737  8.101 10.585 13.179 18.155  53852    1.0
tau[23]      10.71   0.015  3.577  4.268  8.124 10.562 13.099 18.082  56848    1.0
tau[24]      9.581   0.017  3.737  3.052  6.813  9.405 12.108 17.341  47978    1.0
tau[25]      9.901   0.016  3.673  3.537  7.188  9.689 12.358 17.576  55256    1.0
tau[26]      9.054   0.019   3.93  2.451  6.044   8.86 11.761 17.162  42661    1.0
tau[27]      9.347   0.017  3.849  2.753  6.459  9.169 11.967 17.264  54246    1.0
tau[28]       9.19   0.017  3.818   2.67  6.311  8.983 11.743 17.231  53455    1.0
tau[29]     10.922   0.014  3.556  4.504  8.366 10.776 13.285 18.265  66458    1.0
tau[30]     10.207   0.016  3.785  3.249  7.496 10.098  12.76 17.934  55534    1.0
tau[31]      9.593   0.016  3.747  3.195  6.787  9.382 12.116 17.421  51933    1.0
tau[32]      10.53   0.017  3.646  3.907  7.917 10.399 12.969 18.001  47750    1.0
tau[33]       9.21   0.017  3.769  2.989  6.327  8.966 11.765 17.137  46550    1.0
tau[34]      9.331   0.018  3.977  2.428  6.351  9.222 12.065 17.402  50444    1.0
