kic,dnu,numax,epsilon,alpha,A,G,phi,tau,FeH,Teff,ES,e_eps,e_al,e_A,e_G,e_phi,e_tau
10297313,8.00094532263,103.388400336,0.159817745816,0.00835621585506,0.0273813853596,2.97558268134,1.65107956072,11.404741910799999,0.263,4988.6,RC,0.012,0.0006,0.004,0.10300000000000001,0.22399999999999998,3.5269999999999997
1162746,3.7914440759199994,27.636618971300003,-0.0323214249345,0.0110198566507,0.0505396191904,2.9105454083,-1.2146526102600002,10.7358784261,-0.388,4798.1,RC,0.013999999999999999,0.003,0.006,0.156,0.212,3.634
11615498,6.084070999520001,66.5283577301,0.08291226992989999,0.010689630210200002,0.022741873527799997,3.2940437574400003,0.565168265124,9.70807115908,0.086,4978.6,RC,0.013000000000000001,0.001,0.004,0.303,0.312,3.7310000000000003
11824976,4.14869829655,36.098216648699996,-0.0261097425247,0.014986319720700001,0.046766205500600004,2.56613459789,0.44979563541900003,6.62129618304,0.052,4796.2,RC,0.016,0.002,0.006,0.16399999999999998,0.302,4.177
9656523,4.007493359690001,33.433202506,-0.037625713451400006,0.016074426378399998,0.0270298975805,3.1268784290400005,0.10551609110200001,9.76414646463,0.216,4632.3,RC,0.015,0.002,0.006,0.461,0.387,3.807
5111949,4.80660981396,46.8309995517,-0.0182510131648,0.0152628886511,0.0251261986052,3.05402096565,-0.147982374467,9.99551567008,0.148,4782.7,RC,0.018000000000000002,0.002,0.006999999999999999,0.63,2.838,3.7319999999999998
8872979,6.336919223810001,74.7902887868,0.050608615140899996,0.00869859296086,0.028950456523,3.81391449305,0.462496118016,9.50996533347,0.028,5119.9,RC,0.017,0.002,0.004,0.345,0.213,3.49
11357931,4.12394216261,35.3672138794,-0.030714013480700002,0.017407760605500002,0.0431465811242,2.8054072038099997,0.0572601338214,9.569535194910001,-0.074,4841.1,RC,0.015,0.002,0.005,0.122,0.218,3.775
8693018,7.295527080419999,89.46743969120001,0.105469740393,0.00972376319518,0.0235889261908,4.09417997251,0.947550061556,11.148440369100001,0.143,5039.6,RC,0.012,0.001,0.003,0.29,0.165,3.347
7949599,4.09827022422,33.8751747359,-0.0561875956501,0.0201462822243,0.0269291565492,2.48808110553,0.623921651694,10.6878592379,0.223,4646.4,RC,0.016,0.001,0.01,0.945,3.9760000000000004,3.5989999999999998
7191673,3.61769408563,32.104264094499996,-0.038885406321,0.013094563532100001,0.0390771572178,3.8062438095899997,-0.27792346119000005,7.33381089636,0.293,4627.3,RC,0.021,0.003,0.005,0.311,0.259,4.119
8676927,4.56909894049,42.6121872729,0.0163122823195,0.014556898208200001,0.030708634545,3.63364727018,0.251817780704,7.70301185972,-0.057,4874.4,RC,0.019,0.003,0.004,0.35600000000000004,0.253,3.9419999999999997
6756908,3.46128225439,27.1301212371,-0.0739109950102,0.0176048409294,0.035255473094999996,3.04589148565,-2.22201741553,8.78708685095,0.108,4674.2,RC,0.018000000000000002,0.002,0.006999999999999999,0.496,3.108,3.886
4475934,4.35138251667,39.5844440404,-0.0233016424609,0.0162694345319,0.038639760733300006,2.56502922444,0.612814741887,9.54435008862,0.093,4792.4,RC,0.015,0.001,0.005,0.127,0.24100000000000002,3.548
4141815,4.58344930233,43.0366999784,-0.020264279984400002,0.011984552422200001,0.034395586508,3.0073865910400004,0.563968311985,11.3624987837,0.034,4834.7,RC,0.013000000000000001,0.001,0.005,0.134,0.196,3.437
10613112,4.58948220597,46.280052867100004,0.0293761743554,0.010387235630600001,0.0299606424005,3.74260970612,0.865571876373,10.6128649456,-0.048,4921.6,RC,0.018000000000000002,0.002,0.004,0.308,0.231,3.5980000000000003
9327993,3.9456002846199993,33.6674638197,-0.0681174381685,0.0175676382052,0.0338276101521,2.52364876445,0.0856558399243,9.96657459884,0.262,4592.9,RC,0.015,0.002,0.006,0.354,0.415,3.8680000000000003
6429457,3.05765693332,23.729774966799997,-0.005696447165989999,0.00845765894568,0.0533466391639,2.8040669448299997,0.35737746785499996,8.77418394935,0.031,4657.0,RC,0.016,0.002,0.006,0.221,0.337,3.8819999999999997
11904929,4.65126526594,43.742868924,0.016576398561400002,0.0129439852376,0.0386867208334,3.6509143665199995,0.363867015238,6.73783725548,-0.236,4946.1,RC,0.018000000000000002,0.003,0.005,0.24,0.184,3.92
4469886,5.48962339804,56.978033806599996,0.0189771712878,0.0131030807972,0.0242989725435,2.7978161685400003,0.890346016511,6.54031821367,-0.059,4936.0,RC,0.016,0.001,0.005,0.282,0.499,3.428
3660976,3.87962936536,39.1174171111,-0.092096483101,0.0136874186848,0.038048662475900004,2.52380178728,-1.7303058920195866,11.164399252699999,-0.132,5025.4,RC,0.02,0.002,0.006,0.141,2.544,3.3930000000000002
6762022,4.40077829143,40.5688055339,-0.0318651687168,0.012810523093399999,0.0344829333634,2.81483796057,0.820295998998,4.65544533817,0.088,4798.6,RC,0.013000000000000001,0.002,0.005,0.187,0.258,3.028
6423690,4.056735815940001,33.568731819899995,-0.0303389815217,0.0169120573818,0.0315698403265,3.6524452393,-0.143176546001,12.080984522,-0.45,4885.5,RC,0.016,0.002,0.005,0.39399999999999996,0.34700000000000003,3.391
10603170,4.43158153616,42.043230128699996,-0.0785552179816,0.0148252635352,0.029078005145200002,3.0328672240200003,1.10652413862,7.6063295032300005,0.078,4784.4,RC,0.016,0.002,0.005,0.391,0.852,3.667
10002647,4.23225019164,36.4037656601,-0.00841487932903,0.0147048797386,0.0355734821955,2.5692036019,0.13166817214999998,10.856411944300001,-0.154,4829.7,RC,0.013000000000000001,0.002,0.004,0.179,0.259,3.5860000000000003
6756648,6.716981344450001,83.10739291649999,0.0425334814465,0.00796225062139,0.028227292324299998,3.52668915924,0.764053209128,6.70045763549,0.12,5006.7,RC,0.016,0.002,0.005,0.368,0.462,3.977
5283798,5.30490059431,55.6399559515,0.054167353854099994,0.0139121405824,0.0308624117912,3.6331770652,0.8578282659540001,5.716269337740001,0.18,4833.6,RC,0.013999999999999999,0.0008,0.004,0.16399999999999998,0.21899999999999997,2.275
