kic,dnu,numax,epsilon,alpha,A,G,phi,tau,FeH,Teff,ES,e_eps,e_al,e_A,e_G,e_phi,e_tau
10552202,4.3316260799599995,39.2349309042,0.046946485752699996,0.014373271490499998,0.0240848798458,2.83340701903,0.965083658002,11.6069301177,-0.44,4755.1,RGB,0.013999999999999999,0.002,0.004,0.5329999999999999,0.562,3.6689999999999996
9027871,4.30107871321,42.8835269634,0.0522881726881,0.0147472286603,0.0292743582521,3.04139719074,1.05687341143,10.6153303261,0.193,4650.2,RGB,0.013999999999999999,0.002,0.003,0.251,0.28300000000000003,3.3989999999999996
5112072,10.0621800931,126.18380014600001,0.191127452419,0.00950114559085,0.012672877454500001,3.03641433403,2.3296894117099995,9.88177954859,0.073,4906.1,RGB,0.009000000000000001,0.008,0.003,0.273,0.29,3.4560000000000004
9157260,18.1500473942,235.03146321,0.343035801453,0.00817800512634,0.00885293333277,3.3791498909099995,2.67223100597,10.995771941500001,-0.111,4866.9,RGB,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.21,0.124,3.3680000000000003
6929729,6.0531025955699995,65.3563931945,0.142162434276,0.00907566897308,0.0199179317542,3.2928395772,1.41538890312,9.493841876489999,0.171,4732.1,RGB,0.011000000000000001,0.006999999999999999,0.003,0.27699999999999997,0.213,3.582
10068810,5.34481382183,49.2544928549,0.09078822240000001,0.0154133970423,0.023445230845599997,2.14235016968,1.88720658257,10.5286167068,-0.222,4612.3,RGB,0.009000000000000001,0.001,0.003,0.24,0.531,3.5780000000000003
10546977,4.3516093715099995,42.9067459826,0.0406628992468,0.0148552583093,0.0284309375953,2.9372722217900002,1.73064472689,9.03406221658,0.006,4667.8,RGB,0.013999999999999999,0.002,0.004,0.332,0.305,4.024
3444374,5.73834143197,56.72435699060001,0.10969271381899999,0.012309813337799999,0.023020834751200002,2.26881926202,2.94634684532,2.16407621336,0.156,4581.2,RGB,0.009000000000000001,0.001,0.004,0.266,1.1520000000000001,1.204
6343222,7.37951112542,78.5413761205,0.135198717775,0.014129600217600001,0.0238486420563,2.7332560530000003,1.99694819727,11.004824716099998,0.299,4607.7,RGB,0.006999999999999999,0.001,0.003,0.129,0.125,3.591
7431665,5.46757450244,54.9510276409,0.06402403161619999,0.0140995302388,0.0269053725184,2.8132763036400004,2.5144405361,10.541207329099999,-0.009,4712.5,RGB,0.013999999999999999,0.002,0.004,0.221,0.28,3.557
11973853,14.6220460108,203.72392842,0.312963396489,0.00614169704637,0.00828553774189,3.15266878545,2.95158792583,9.250639423460001,-0.041,5006.9,RGB,0.006999999999999999,0.005,0.001,0.154,0.254,3.302
10992711,4.05273015889,35.270815050900005,0.0187826870602,0.0182629199306,0.029258743149700003,2.39600219516,2.8170923752999997,10.0949511664,-0.178,4534.2,RGB,0.013000000000000001,0.002,0.004,0.35100000000000003,0.8240000000000001,3.5460000000000003
6680734,2.36090363995,17.4968860119,-0.0551891766366,0.0187545137726,0.0414922903051,2.51109236582,-0.0575512652479,10.718078783500001,-0.321,4574.5,RGB,0.013999999999999999,0.002,0.005,0.45399999999999996,0.45899999999999996,3.49
10816748,3.81400864296,32.492084431100004,0.0442603912179,0.0184262541285,0.0311164943011,2.14276760764,-0.192144348375,10.145862211399999,-0.213,4647.3,RGB,0.013000000000000001,0.002,0.004,0.33299999999999996,3.306,5.372999999999999
4139784,4.79904342049,47.6545233717,0.058818278576600005,0.016035949963200003,0.0276029511918,2.8642034106299996,1.37585445523,9.152527685,0.201,4632.2,RGB,0.013999999999999999,0.002,0.003,0.212,0.254,3.989
9163153,12.4754770524,154.871909875,0.275782012488,0.011345023814100002,0.013588538670299998,3.74039232268,1.96519793039,5.19380568197,0.372,4684.3,RGB,0.006999999999999999,0.001,0.001,0.275,0.132,2.169
4991732,8.54347475757,105.981349992,0.18191326119800003,0.00946968021943,0.0163879785965,3.3295316565400004,2.06788302092,6.3435595325,0.169,4832.8,RGB,0.01,0.008,0.003,0.336,0.326,3.1260000000000003
9758246,2.8008478736299995,21.791370374099998,-0.0331716285803,0.0225409087219,0.0399002406385,2.45611766093,0.675143599956,10.0667335705,-0.114,4507.8,RGB,0.013999999999999999,0.002,0.004,0.255,0.354,3.843
4937204,4.40779409389,40.3419017309,0.0591640863031,0.014312196432700002,0.026744148647599997,2.70581404385,1.4273237407100001,11.5146239348,-0.225,4709.3,RGB(S),0.013000000000000001,0.001,0.003,0.265,0.368,3.7710000000000004
10025387,11.484000540899999,141.207865056,0.22853258089499998,0.0108380172272,0.016111151222000002,3.25561617514,2.4640675364099995,11.3030146257,0.103,4813.7,RGB,0.006999999999999999,0.01,0.002,0.13699999999999998,0.142,3.138
7347189,4.03695403625,41.0287980888,0.0633021654757,0.00961490045868,0.029840025250200002,2.97318818389,1.29655285231,9.27689713967,-0.031,4762.8,RGB,0.012,0.001,0.005,0.501,0.574,3.7
9662395,4.43446719506,48.337502898800004,0.0580404374302,0.0154318366442,0.027675711375000002,3.24696635908,0.151435782563,11.307375694300001,0.127,4767.7,AMB,0.015,0.002,0.004,0.35200000000000004,2.5669999999999997,3.645
3847071,6.13977137507,61.926957611199995,0.11352183982999998,0.0141491305736,0.024795829027299997,2.50141569878,2.1715397702200003,8.021635658200001,-0.065,4742.0,RGB,0.008,0.013000000000000001,0.003,0.09699999999999999,0.18,3.0980000000000003
7429055,6.1100189492400006,61.004592895900004,0.10585426336300001,0.015382768016200001,0.0227470595139,2.66950465968,2.1401268409400003,3.94127482878,0.135,4539.8,RGB,0.01,0.001,0.004,0.213,0.20600000000000002,1.857
3835996,4.98513498027,45.963253251800005,0.06340594526,0.0142071852676,0.0278698618898,2.377512266,1.5693048888499999,8.36808896718,-0.18,4706.8,RGB,0.01,0.001,0.003,0.16399999999999998,0.305,3.66
8545291,5.78424086753,55.0973663584,0.124675503761,0.0128463963267,0.021169618170599997,2.44865681316,2.59323081828,1.68221342738,-0.12,4675.1,RGB,0.008,0.011000000000000001,0.003,0.14,0.47700000000000004,0.638
11413138,4.62956105386,46.8941559194,0.0663338953576,0.0118148556942,0.029211200182699997,2.91170941116,1.14976661737,9.88290355594,0.202,4567.5,RGB,0.013999999999999999,0.001,0.003,0.168,0.204,3.576
9291249,4.60382792242,45.4838259167,0.0923993450172,0.012196571377,0.0327029300342,2.57123363502,1.8832975629700002,9.54855017056,0.182,4663.6,RGB,0.012,0.001,0.005,0.134,0.233,3.574
8366239,13.6952961669,185.937841522,0.30332268512899996,0.006319813300749999,0.012650013926299998,3.1310140632300003,2.78885168127,8.92443220822,-0.046,4980.7,RGB,0.006999999999999999,0.006,0.002,0.141,0.19399999999999998,3.389
4040211,4.20570341068,38.8176600184,0.03304849205,0.0170911843258,0.0294081229558,2.9059540042400003,0.9362664568610001,10.4536938913,-0.179,4714.7,RGB,0.013999999999999999,0.002,0.004,0.314,0.342,3.475
8545504,9.23375532761,110.507279934,0.20031391586800001,0.00878540488445,0.0170749620441,2.97027770501,2.6407186976,9.34847278215,-0.058,4898.5,RGB,0.01,0.001,0.003,0.5920000000000001,1.114,4.013999999999999
8824452,5.544546250210001,51.748304429300006,0.0998582444259,0.0132153655006,0.025889430321999998,2.4123449416900002,1.81022029444,9.47420534901,-0.267,4609.8,RGB,0.01,0.002,0.003,0.254,0.27899999999999997,3.5810000000000004
5023732,3.0863005992500003,27.292954085799998,-0.0301750072133,0.019498157571,0.039705822443,2.57370164063,0.561977441293,10.560934657699999,0.078,4580.7,RGB,0.013999999999999999,0.001,0.003,0.16,0.299,3.747
10095409,4.14759484288,39.810974575799996,0.0679214151892,0.0162325448554,0.030676785358700002,3.05635189117,1.5240670309,8.48731537128,-0.037,4715.2,RGB,0.013000000000000001,0.001,0.003,0.22,0.177,3.54
7273672,2.71878252513,21.0884025509,-0.029020202104700004,0.0190872717823,0.04395457444680001,2.4602769059200003,0.518713618805,8.459427678119999,0.021,4458.4,RGB,0.012,0.002,0.004,0.171,0.24100000000000002,3.722
11661782,5.77707529883,60.4351003173,0.09995337990150001,0.011792829408200001,0.022195944292900005,2.70586481003,1.87421586375,10.195552364700001,-0.231,4839.7,RGB,0.011000000000000001,0.01,0.003,0.204,0.28800000000000003,3.572
9650046,5.97134861289,68.5552422181,0.120138333954,0.006394401207689999,0.0203852311283,4.97851768783,0.345893654748,11.486925998299998,0.074,4951.8,RC(S),0.011000000000000001,0.001,0.002,0.353,0.201,3.8480000000000003
11721374,5.94363684303,60.455945829799994,0.118107836483,0.013956122808100001,0.0197405445805,3.25128134278,1.33700701279,9.65950593766,0.156,4621.2,RGB,0.009000000000000001,0.001,0.002,0.273,0.207,3.888
9145955,11.0037242596,131.966494885,0.22367190033700002,0.00827171564674,0.012100534927299999,2.82098130959,2.48135485646,9.362906685539999,-0.281,4947.5,RGB,0.006999999999999999,0.001,0.002,0.326,0.209,3.49
